city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Athens,Greece,37.9838,23.7275,daily,2015-01-01,4.3,3.1,3.6,8.0,5.5,30.0,2.77
Athens,Greece,37.9838,23.7275,daily,2015-01-02,6.6,1.7,4.3,0.0,0.0,19.9,6.23
Athens,Greece,37.9838,23.7275,daily,2015-01-03,11.3,0.7,6.4,0.0,0.0,8.0,8.87
Athens,Greece,37.9838,23.7275,daily,2015-01-04,14.0,6.1,9.6,0.1,0.1,15.9,7.69
Athens,Greece,37.9838,23.7275,daily,2015-01-05,7.4,2.8,4.9,8.4,8.0,20.3,2.49
Athens,Greece,37.9838,23.7275,daily,2015-01-06,5.0,1.4,2.7,1.6,1.3,25.8,8.19
Athens,Greece,37.9838,23.7275,daily,2015-01-07,4.5,0.3,1.9,0.4,0.4,26.8,8.47
Athens,Greece,37.9838,23.7275,daily,2015-01-08,5.0,0.3,2.3,0.0,0.0,9.0,8.03
Athens,Greece,37.9838,23.7275,daily,2015-01-09,7.6,0.2,4.1,0.0,0.0,8.0,10.04
Athens,Greece,37.9838,23.7275,daily,2015-01-10,14.2,3.5,8.1,0.0,0.0,11.3,9.57
Athens,Greece,37.9838,23.7275,daily,2015-01-11,16.8,7.4,11.5,0.0,0.0,13.8,10.26
Athens,Greece,37.9838,23.7275,daily,2015-01-12,15.9,4.9,7.9,7.3,7.3,29.2,6.59
Athens,Greece,37.9838,23.7275,daily,2015-01-13,9.6,5.2,7.6,0.6,0.6,36.3,8.59
Athens,Greece,37.9838,23.7275,daily,2015-01-14,12.6,5.3,9.2,0.0,0.0,15.2,10.67
Athens,Greece,37.9838,23.7275,daily,2015-01-15,13.9,4.2,9.1,0.0,0.0,10.0,11.02
Athens,Greece,37.9838,23.7275,daily,2015-01-16,13.1,3.9,7.9,0.0,0.0,12.2,10.54
Athens,Greece,37.9838,23.7275,daily,2015-01-17,12.9,1.9,7.8,0.0,0.0,8.1,10.62
Athens,Greece,37.9838,23.7275,daily,2015-01-18,13.8,5.9,10.4,0.0,0.0,12.7,7.72
Athens,Greece,37.9838,23.7275,daily,2015-01-19,15.6,8.7,12.0,0.5,0.5,19.3,7.75
Athens,Greece,37.9838,23.7275,daily,2015-01-20,15.8,9.4,12.2,0.0,0.0,11.7,9.66
Athens,Greece,37.9838,23.7275,daily,2015-01-21,16.8,10.3,13.2,0.3,0.3,8.7,9.18
Athens,Greece,37.9838,23.7275,daily,2015-01-22,16.5,8.4,12.6,0.0,0.0,16.6,9.29
Athens,Greece,37.9838,23.7275,daily,2015-01-23,16.2,10.0,13.6,1.7,1.7,19.2,11.25
Athens,Greece,37.9838,23.7275,daily,2015-01-24,13.7,6.3,10.9,0.1,0.1,21.2,8.63
Athens,Greece,37.9838,23.7275,daily,2015-01-25,13.9,8.9,11.3,0.0,0.0,13.3,9.96
Athens,Greece,37.9838,23.7275,daily,2015-01-26,14.6,5.3,10.2,3.3,3.3,10.8,10.33
