city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Berlin,Germany,52.52,13.405,daily,2015-01-01,4.4,0.9,2.6,0.0,0.0,20.4,3.19
Berlin,Germany,52.52,13.405,daily,2015-01-02,7.5,1.6,4.9,2.4,2.4,30.5,0.6
Berlin,Germany,52.52,13.405,daily,2015-01-03,5.1,2.9,3.8,0.2,0.2,30.3,2.13
Berlin,Germany,52.52,13.405,daily,2015-01-04,4.2,1.1,2.8,0.0,0.0,25.4,3.23
Berlin,Germany,52.52,13.405,daily,2015-01-05,3.7,1.1,2.9,5.5,5.4,26.2,0.66
Berlin,Germany,52.52,13.405,daily,2015-01-06,2.5,-0.5,1.0,0.0,0.0,19.4,1.39
Berlin,Germany,52.52,13.405,daily,2015-01-07,4.7,-0.1,2.2,1.7,0.6,17.4,0.85
Berlin,Germany,52.52,13.405,daily,2015-01-08,6.4,0.8,3.4,10.6,10.4,25.2,0.33
Berlin,Germany,52.52,13.405,daily,2015-01-09,8.1,4.3,6.1,3.1,3.1,41.8,1.17
Berlin,Germany,52.52,13.405,daily,2015-01-10,11.6,4.8,8.4,5.2,5.2,38.8,0.57
Berlin,Germany,52.52,13.405,daily,2015-01-11,4.4,2.1,3.4,2.2,2.2,33.2,2.6
Berlin,Germany,52.52,13.405,daily,2015-01-12,7.4,2.0,5.2,3.3,3.3,28.2,0.71
Berlin,Germany,52.52,13.405,daily,2015-01-13,11.2,7.6,9.3,0.8,0.8,27.3,1.44
Berlin,Germany,52.52,13.405,daily,2015-01-14,8.0,2.7,5.6,2.7,2.7,26.4,3.08
Berlin,Germany,52.52,13.405,daily,2015-01-15,9.0,0.1,4.7,1.7,1.7,26.3,1.18
Berlin,Germany,52.52,13.405,daily,2015-01-16,9.3,4.8,7.2,2.1,2.1,24.2,3.21
Berlin,Germany,52.52,13.405,daily,2015-01-17,4.8,-2.5,2.8,4.6,4.6,17.3,2.15
Berlin,Germany,52.52,13.405,daily,2015-01-18,3.0,-2.9,-0.8,0.0,0.0,12.2,4.05
Berlin,Germany,52.52,13.405,daily,2015-01-19,2.9,-3.6,-0.4,0.0,0.0,12.3,2.72
Berlin,Germany,52.52,13.405,daily,2015-01-20,2.4,-0.5,0.7,2.3,1.2,12.9,1.91
Berlin,Germany,52.52,13.405,daily,2015-01-21,1.4,-1.3,-0.0,0.0,0.0,9.0,2.27
Berlin,Germany,52.52,13.405,daily,2015-01-22,0.9,-1.3,-0.2,0.6,0.0,16.3,1.39
