city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Birmingham,UK,52.4862,-1.8904,daily,2015-01-01,12.3,6.8,9.9,1.3,1.3,35.2,0.53
Birmingham,UK,52.4862,-1.8904,daily,2015-01-02,12.4,3.2,6.3,0.2,0.2,30.7,3.55
Birmingham,UK,52.4862,-1.8904,daily,2015-01-03,4.2,1.9,2.9,8.8,8.8,17.6,0.5
Birmingham,UK,52.4862,-1.8904,daily,2015-01-04,4.2,-3.2,0.5,0.0,0.0,14.8,2.29
Birmingham,UK,52.4862,-1.8904,daily,2015-01-05,8.2,4.1,6.7,0.0,0.0,16.0,1.72
Birmingham,UK,52.4862,-1.8904,daily,2015-01-06,8.6,2.1,5.9,0.6,0.6,23.4,2.1
Birmingham,UK,52.4862,-1.8904,daily,2015-01-07,10.1,2.2,6.1,0.4,0.4,32.7,1.18
Birmingham,UK,52.4862,-1.8904,daily,2015-01-08,10.8,4.6,7.2,2.8,2.8,30.0,2.64
Birmingham,UK,52.4862,-1.8904,daily,2015-01-09,13.6,6.6,10.6,1.3,1.3,39.0,2.53
Birmingham,UK,52.4862,-1.8904,daily,2015-01-10,12.3,2.8,7.7,1.2,1.2,41.4,3.51
Birmingham,UK,52.4862,-1.8904,daily,2015-01-11,6.7,2.4,4.7,0.0,0.0,28.6,3.27
Birmingham,UK,52.4862,-1.8904,daily,2015-01-12,9.6,5.7,7.9,6.9,6.9,34.1,0.81
Birmingham,UK,52.4862,-1.8904,daily,2015-01-13,6.9,0.9,3.7,4.0,3.0,22.3,2.07
Birmingham,UK,52.4862,-1.8904,daily,2015-01-14,7.6,0.1,2.9,3.4,3.4,43.8,4.22
Birmingham,UK,52.4862,-1.8904,daily,2015-01-15,9.2,3.2,5.3,5.5,5.5,43.6,3.95
Birmingham,UK,52.4862,-1.8904,daily,2015-01-16,4.5,-1.1,2.2,0.0,0.0,23.5,3.97
Birmingham,UK,52.4862,-1.8904,daily,2015-01-17,4.3,-0.9,1.1,0.0,0.0,21.3,3.7
Birmingham,UK,52.4862,-1.8904,daily,2015-01-18,3.5,-1.4,0.6,0.1,0.1,18.1,3.5
Birmingham,UK,52.4862,-1.8904,daily,2015-01-19,2.5,-3.0,-0.5,0.0,0.0,15.4,4.37
Birmingham,UK,52.4862,-1.8904,daily,2015-01-20,2.4,-4.0,-0.8,2.3,0.8,21.9,4.33
Birmingham,UK,52.4862,-1.8904,daily,2015-01-21,3.7,0.5,2.0,3.9,3.1,21.7,1.22
Birmingham,UK,52.4862,-1.8904,daily,2015-01-22,3.2,-0.4,1.2,0.0,0.0,8.2,2.48
Birmingham,UK,52.4862,-1.8904,daily,2015-01-23,6.9,-1.4,2.1,2.6,2.6,25.0,4.04
