city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Cologne,Germany,50.9375,6.9603,daily,2015-01-01,4.4,-1.9,1.2,0.0,0.0,17.0,3.75
Cologne,Germany,50.9375,6.9603,daily,2015-01-02,8.0,2.2,4.9,8.4,8.4,26.1,1.19
Cologne,Germany,50.9375,6.9603,daily,2015-01-03,3.7,0.9,1.9,6.9,4.9,15.5,0.82
Cologne,Germany,50.9375,6.9603,daily,2015-01-04,5.0,2.0,2.9,0.0,0.0,19.1,3.6
Cologne,Germany,50.9375,6.9603,daily,2015-01-05,4.3,-2.7,0.2,0.0,0.0,12.2,3.93
Cologne,Germany,50.9375,6.9603,daily,2015-01-06,4.4,-3.1,0.2,0.9,0.9,15.6,3.31
Cologne,Germany,50.9375,6.9603,daily,2015-01-07,5.5,1.5,3.3,0.5,0.5,16.6,3.46
Cologne,Germany,50.9375,6.9603,daily,2015-01-08,9.1,2.6,6.0,22.1,22.1,32.1,0.3
Cologne,Germany,50.9375,6.9603,daily,2015-01-09,11.9,5.4,8.4,12.3,12.3,35.6,0.81
Cologne,Germany,50.9375,6.9603,daily,2015-01-10,12.0,4.0,9.6,8.5,8.5,39.5,0.99
Cologne,Germany,50.9375,6.9603,daily,2015-01-11,5.2,2.5,3.8,1.3,1.3,30.6,2.92
Cologne,Germany,50.9375,6.9603,daily,2015-01-12,8.4,5.2,6.5,1.8,1.8,28.0,1.03
Cologne,Germany,50.9375,6.9603,daily,2015-01-13,11.0,6.2,8.9,5.1,5.1,30.5,2.0
Cologne,Germany,50.9375,6.9603,daily,2015-01-14,6.3,1.9,4.1,5.5,5.5,31.1,2.68
Cologne,Germany,50.9375,6.9603,daily,2015-01-15,10.1,3.7,7.9,2.9,2.9,31.6,1.27
Cologne,Germany,50.9375,6.9603,daily,2015-01-16,7.3,3.2,5.5,0.0,0.0,16.6,2.62
Cologne,Germany,50.9375,6.9603,daily,2015-01-17,4.2,-1.6,2.2,0.1,0.1,12.7,3.82
Cologne,Germany,50.9375,6.9603,daily,2015-01-18,3.9,-1.7,0.9,0.0,0.0,16.8,3.62
Cologne,Germany,50.9375,6.9603,daily,2015-01-19,2.4,-2.5,-0.2,0.0,0.0,10.7,3.1
Cologne,Germany,50.9375,6.9603,daily,2015-01-20,2.0,-1.9,0.3,0.0,0.0,9.0,3.32
Cologne,Germany,50.9375,6.9603,daily,2015-01-21,3.0,-2.5,-0.1,0.0,0.0,16.8,4.37
Cologne,Germany,50.9375,6.9603,daily,2015-01-22,2.6,-2.4,0.1,0.0,0.0,12.2,3.12
Cologne,Germany,50.9375,6.9603,daily,2015-01-23,1.8,-1.3,0.1,0.0,0.0,10.5,2.9
Cologne,Germany,50.9375,6.9603,daily,2015-01-24,2.1,-1.4,0.2,6.2,0.0,14.8,1.29
Cologne,Germany,50.9375,6.9603,daily,2015-01-25,2.8,-1.5,1.1,4.5,3.9,10.2,2.88
Cologne,Germany,50.9375,6.9603,daily,2015-01-26,6.3,2.2,3.7,9.2,9.2,21.7,0.53
Cologne,Germany,50.9375,6.9603,daily,2015-01-27,4.9,1.3,2.9,4.0,4.0,17.9,3.74
Cologne,Germany,50.9375,6.9603,daily,2015-01-28,5.8,1.5,3.8,6.6,6.6,34.0,2.44
Cologne,Germany,50.9375,6.9603,daily,2015-01-29,4.7,0.3,2.1,3.0,2.5,23.3,4.45
Cologne,Germany,50.9375,6.9603,daily,2015-01-30,3.1,-1.2,0.8,5.4,0.7,22.3,5.14
Cologne,Germany,50.9375,6.9603,daily,2015-01-31,3.7,-1.3,1.0,2.5,0.0,18.6,4.37
Cologne,Germany,50.9375,6.9603,daily,2015-02-01,3.5,-1.3,0.9,2.5,0.8,15.4,3.52
Cologne,Germany,50.9375,6.9603,daily,2015-02-02,2.6,-1.2,0.4,3.5,1.1,18.9,4.47
Cologne,Germany,50.9375,6.9603,daily,2015-02-03,1.8,-3.1,-0.3,0.6,0.1,10.5,3.08
Cologne,Germany,50.9375,6.9603,daily,2015-02-04,1.9,-4.8,-1.8,0.0,0.0,11.6,5.35
Cologne,Germany,50.9375,6.9603,daily,2015-02-05,0.1,-5.5,-2.8,0.0,0.0,19.6,5.12
Cologne,Germany,50.9375,6.9603,daily,2015-02-06,1.4,-3.0,-1.5,0.0,0.0,24.1,6.83
Cologne,Germany,50.9375,6.9603,daily,2015-02-07,3.0,-5.2,-0.7,0.1,0.1,18.4,6.95
Cologne,Germany,50.9375,6.9603,daily,2015-02-08,4.0,-0.3,2.2,0.5,0.5,27.1,5.88
Cologne,Germany,50.9375,6.9603,daily,2015-02-09,6.0,0.1,3.4,0.2,0.2,18.3,1.89
Cologne,Germany,50.9375,6.9603,daily,2015-02-10,6.2,3.0,4.4,0.2,0.2,12.4,2.39
Cologne,Germany,50.9375,6.9603,daily,2015-02-11,7.0,0.5,3.3,0.0,0.0,14.3,6.56
Cologne,Germany,50.9375,6.9603,daily,2015-02-12,8.3,-1.6,2.2,0.0,0.0,13.8,7.34
Cologne,Germany,50.9375,6.9603,daily,2015-02-13,10.0,-0.2,3.9,0.0,0.0,20.5,8.45
Cologne,Germany,50.9375,6.9603,daily,2015-02-14,9.7,2.7,5.2,0.0,0.0,20.4,6.65
Cologne,Germany,50.9375,6.9603,daily,2015-02-15,8.2,-0.8,2.8,0.0,0.0,11.9,8.32
Cologne,Germany,50.9375,6.9603,daily,2015-02-16,8.3,-2.0,2.2,0.0,0.0,12.8,9.18
Cologne,Germany,50.9375,6.9603,daily,2015-02-17,5.9,0.5,3.3,0.0,0.0,7.9,2.68
Cologne,Germany,50.9375,6.9603,daily,2015-02-18,5.5,1.2,3.1,0.0,0.0,11.3,3.71
Cologne,Germany,50.9375,6.9603,daily,2015-02-19,7.5,-1.8,1.9,0.0,0.0,18.1,9.11
Cologne,Germany,50.9375,6.9603,daily,2015-02-20,7.9,1.0,5.3,6.7,6.7,21.2,2.7
Cologne,Germany,50.9375,6.9603,daily,2015-02-21,6.4,0.0,4.0,5.0,5.0,21.4,8.05
Cologne,Germany,50.9375,6.9603,daily,2015-02-22,6.3,0.5,2.9,0.0,0.0,24.3,7.89
Cologne,Germany,50.9375,6.9603,daily,2015-02-23,7.1,2.0,3.8,10.2,6.4,26.4,3.16
Cologne,Germany,50.9375,6.9603,daily,2015-02-24,6.7,1.6,3.8,1.2,1.2,26.8,6.97
Cologne,Germany,50.9375,6.9603,daily,2015-02-25,8.4,-0.7,3.6,2.0,2.0,18.7,8.85
Cologne,Germany,50.9375,6.9603,daily,2015-02-26,8.9,2.8,5.8,3.1,3.1,18.7,5.5
Cologne,Germany,50.9375,6.9603,daily,2015-02-27,6.2,1.6,4.5,9.7,9.7,22.7,3.73
Cologne,Germany,50.9375,6.9603,daily,2015-02-28,7.9,-1.8,3.5,0.0,0.0,22.0,9.3
Cologne,Germany,50.9375,6.9603,daily,2015-03-01,10.0,3.8,7.0,6.7,6.7,27.1,6.47
Cologne,Germany,50.9375,6.9603,daily,2015-03-02,8.2,2.5,5.0,4.4,4.4,28.2,10.22
Cologne,Germany,50.9375,6.9603,daily,2015-03-03,8.0,1.6,4.2,5.6,5.6,29.8,6.82
Cologne,Germany,50.9375,6.9603,daily,2015-03-04,7.1,0.0,3.4,0.6,0.6,22.7,9.83
Cologne,Germany,50.9375,6.9603,daily,2015-03-05,7.7,1.1,3.8,0.1,0.1,14.4,6.13
Cologne,Germany,50.9375,6.9603,daily,2015-03-06,9.2,-1.6,3.7,0.0,0.0,10.7,8.42
Cologne,Germany,50.9375,6.9603,daily,2015-03-07,13.1,-1.0,5.7,0.0,0.0,15.1,10.79
Cologne,Germany,50.9375,6.9603,daily,2015-03-08,16.3,1.8,8.0,0.0,0.0,13.5,13.16
Cologne,Germany,50.9375,6.9603,daily,2015-03-09,12.7,3.1,7.7,0.0,0.0,8.5,7.37
Cologne,Germany,50.9375,6.9603,daily,2015-03-10,10.5,2.4,6.5,0.7,0.7,11.6,3.48
Cologne,Germany,50.9375,6.9603,daily,2015-03-11,8.6,-1.0,3.6,0.0,0.0,9.9,12.76
Cologne,Germany,50.9375,6.9603,daily,2015-03-12,11.2,-2.2,4.5,0.0,0.0,12.9,13.97
Cologne,Germany,50.9375,6.9603,daily,2015-03-13,7.8,-0.4,4.0,0.0,0.0,15.5,12.2
Cologne,Germany,50.9375,6.9603,daily,2015-03-14,7.6,-1.4,3.3,1.2,1.2,15.1,7.66
Cologne,Germany,50.9375,6.9603,daily,2015-03-15,8.3,1.7,4.8,0.1,0.1,17.7,6.4
