city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Florence,Italy,43.7696,11.2558,daily,2015-01-01,5.3,-4.3,0.2,0.0,0.0,15.7,7.11
Florence,Italy,43.7696,11.2558,daily,2015-01-02,10.6,-0.5,4.3,0.0,0.0,6.6,6.99
Florence,Italy,43.7696,11.2558,daily,2015-01-03,9.8,2.1,5.2,0.0,0.0,7.5,5.09
Florence,Italy,43.7696,11.2558,daily,2015-01-04,13.1,2.8,7.3,0.0,0.0,9.2,5.7
Florence,Italy,43.7696,11.2558,daily,2015-01-05,10.6,-0.1,5.1,0.0,0.0,8.2,7.63
Florence,Italy,43.7696,11.2558,daily,2015-01-06,10.7,1.8,5.6,0.0,0.0,6.4,5.8
Florence,Italy,43.7696,11.2558,daily,2015-01-07,10.7,4.4,7.2,0.0,0.0,6.9,3.42
Florence,Italy,43.7696,11.2558,daily,2015-01-08,12.0,5.0,7.9,0.3,0.3,7.0,6.33
Florence,Italy,43.7696,11.2558,daily,2015-01-09,10.7,4.6,7.7,0.2,0.2,10.0,5.16
Florence,Italy,43.7696,11.2558,daily,2015-01-10,11.1,5.7,7.7,0.1,0.1,8.7,4.88
Florence,Italy,43.7696,11.2558,daily,2015-01-11,11.1,1.4,6.8,2.3,2.3,10.7,3.0
Florence,Italy,43.7696,11.2558,daily,2015-01-12,11.0,-0.6,4.3,0.0,0.0,6.9,7.84
Florence,Italy,43.7696,11.2558,daily,2015-01-13,10.2,-0.2,4.6,0.0,0.0,8.9,6.99
Florence,Italy,43.7696,11.2558,daily,2015-01-14,11.2,3.5,7.3,0.8,0.8,13.8,4.26
Florence,Italy,43.7696,11.2558,daily,2015-01-15,11.0,5.2,7.6,0.0,0.0,8.9,4.86
Florence,Italy,43.7696,11.2558,daily,2015-01-16,12.5,5.6,9.0,5.8,5.8,15.9,4.64
Florence,Italy,43.7696,11.2558,daily,2015-01-17,11.7,5.9,10.0,5.8,5.8,16.6,5.37
Florence,Italy,43.7696,11.2558,daily,2015-01-18,10.8,3.3,6.9,0.0,0.0,7.2,7.66
Florence,Italy,43.7696,11.2558,daily,2015-01-19,10.5,-0.7,4.7,0.0,0.0,6.9,8.37
Florence,Italy,43.7696,11.2558,daily,2015-01-20,9.5,1.6,5.6,0.5,0.5,8.9,3.96
Florence,Italy,43.7696,11.2558,daily,2015-01-21,11.0,5.7,7.7,2.7,2.7,9.1,3.68
Florence,Italy,43.7696,11.2558,daily,2015-01-22,10.3,6.6,8.1,2.1,2.1,12.8,4.36
Florence,Italy,43.7696,11.2558,daily,2015-01-23,9.1,6.3,7.5,0.5,0.5,23.9,4.55
Florence,Italy,43.7696,11.2558,daily,2015-01-24,11.7,2.5,8.3,0.0,0.0,17.6,8.73
Florence,Italy,43.7696,11.2558,daily,2015-01-25,9.1,0.5,4.7,0.4,0.4,18.9,7.81
Florence,Italy,43.7696,11.2558,daily,2015-01-26,8.0,-0.0,4.0,0.0,0.0,18.6,8.86
Florence,Italy,43.7696,11.2558,daily,2015-01-27,8.7,-0.9,2.9,0.0,0.0,8.9,8.49
Florence,Italy,43.7696,11.2558,daily,2015-01-28,8.7,-1.3,3.3,0.0,0.0,13.9,9.94
Florence,Italy,43.7696,11.2558,daily,2015-01-29,7.5,-0.8,3.2,12.1,12.1,15.6,2.01
Florence,Italy,43.7696,11.2558,daily,2015-01-30,8.4,-0.5,5.7,23.0,22.9,23.4,3.65
Florence,Italy,43.7696,11.2558,daily,2015-01-31,9.0,-0.4,4.0,0.7,0.7,10.4,8.25
Florence,Italy,43.7696,11.2558,daily,2015-02-01,7.0,-1.2,2.9,2.2,1.9,6.8,6.33
Florence,Italy,43.7696,11.2558,daily,2015-02-02,8.1,-2.1,2.1,0.3,0.3,8.6,8.79
Florence,Italy,43.7696,11.2558,daily,2015-02-03,7.7,-1.0,3.2,3.8,3.8,10.5,5.66
Florence,Italy,43.7696,11.2558,daily,2015-02-04,6.9,2.7,4.4,9.4,9.2,12.5,3.5
Florence,Italy,43.7696,11.2558,daily,2015-02-05,6.4,2.4,4.2,25.4,22.3,14.8,2.94
Florence,Italy,43.7696,11.2558,daily,2015-02-06,4.7,1.8,2.9,17.2,4.6,19.6,4.74
Florence,Italy,43.7696,11.2558,daily,2015-02-07,4.4,-1.8,2.3,0.0,0.0,20.4,6.45
Florence,Italy,43.7696,11.2558,daily,2015-02-08,5.7,-4.6,1.3,0.0,0.0,23.0,10.87
Florence,Italy,43.7696,11.2558,daily,2015-02-09,6.4,-3.5,2.2,0.0,0.0,20.1,11.54
Florence,Italy,43.7696,11.2558,daily,2015-02-10,13.4,-1.1,5.8,0.0,0.0,5.1,11.52
Florence,Italy,43.7696,11.2558,daily,2015-02-11,15.1,-0.3,6.4,0.0,0.0,7.6,11.56
Florence,Italy,43.7696,11.2558,daily,2015-02-12,14.5,-0.4,6.1,0.0,0.0,8.5,11.88
Florence,Italy,43.7696,11.2558,daily,2015-02-13,12.3,2.6,7.6,0.0,0.0,6.6,8.36
Florence,Italy,43.7696,11.2558,daily,2015-02-14,11.1,3.2,6.7,0.9,0.9,9.8,7.56
