city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-01,3.7,-3.1,-0.3,0.0,0.0,4.1,5.82
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-02,6.5,-4.1,1.6,0.1,0.1,4.9,4.53
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-03,5.1,2.9,4.2,3.8,3.8,9.7,1.38
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-04,6.1,0.5,4.5,6.3,6.3,8.2,3.2
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-05,7.5,-2.3,2.0,0.0,0.0,6.6,6.43
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-06,8.8,-0.5,3.0,0.0,0.0,4.0,6.46
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-07,5.9,-0.9,2.6,0.0,0.0,3.4,4.91
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-08,5.3,2.6,3.9,1.5,1.5,9.2,4.89
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-09,5.8,1.5,4.2,1.0,1.0,10.5,1.54
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-10,11.4,5.9,8.4,0.4,0.4,10.1,2.49
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-11,8.3,0.6,4.7,12.3,11.4,13.9,3.92
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-12,9.5,-2.9,2.9,0.0,0.0,9.2,6.27
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-13,10.5,2.7,5.3,0.0,0.0,12.0,6.49
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-14,7.1,2.7,4.6,11.5,11.5,14.6,2.24
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-15,10.8,-0.3,4.5,0.0,0.0,9.8,5.73
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-16,7.2,2.1,4.5,25.6,10.4,6.8,1.61
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-17,2.4,-0.7,1.4,11.9,0.9,6.1,2.45
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-18,3.8,-3.7,-0.7,0.0,0.0,6.5,6.82
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-19,3.1,-4.3,0.6,6.2,0.1,4.7,2.74
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-20,3.3,0.7,1.9,7.9,0.1,5.4,3.9
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-21,4.5,-3.3,1.1,0.0,0.0,7.9,6.08
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-22,6.0,-2.3,1.8,0.0,0.0,4.0,7.07
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-23,2.3,-1.1,0.4,0.0,0.0,11.0,4.4
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-24,1.1,-2.2,-0.7,2.6,0.0,10.6,3.45
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-25,2.2,-3.0,-0.5,0.0,0.0,18.4,7.02
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-26,1.7,-3.5,-0.4,6.2,0.0,8.4,3.27
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-27,3.6,-0.3,1.4,2.6,0.1,12.8,5.32
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-28,2.5,-1.2,0.5,1.7,0.0,12.0,6.17
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-29,2.7,1.7,2.3,27.7,2.7,15.3,1.56
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-30,2.4,-1.8,0.1,16.8,0.5,17.3,3.45
Geneva,Switzerland,46.2044,6.1432,daily,2015-01-31,1.2,-2.5,-0.8,5.2,0.0,8.7,4.56
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-01,0.0,-2.5,-1.5,11.0,0.0,8.9,2.29
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-02,0.7,-2.5,-1.1,6.6,0.0,9.4,5.42
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-03,1.5,-7.0,-2.6,0.0,0.0,11.1,8.18
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-04,-0.9,-5.8,-3.9,0.0,0.0,13.5,7.57
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-05,-2.0,-6.1,-4.2,0.3,0.0,18.2,5.4
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-06,-1.3,-6.2,-4.5,0.1,0.0,14.0,7.29
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-07,0.3,-5.9,-3.1,0.0,0.0,9.7,9.99
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-08,1.6,-7.5,-2.8,0.0,0.0,21.9,8.63
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-09,2.7,-6.4,-2.2,0.0,0.0,14.0,10.74
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-10,5.3,-3.8,0.5,0.0,0.0,7.7,11.15
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-11,11.2,-4.0,3.1,0.0,0.0,4.3,11.22
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-12,11.9,-2.5,4.4,0.0,0.0,4.3,11.35
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-13,7.6,-0.6,4.0,0.0,0.0,8.4,9.54
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-14,5.3,1.2,3.2,7.1,7.1,8.7,6.94
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-15,8.0,1.1,4.4,0.0,0.0,6.6,9.58
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-16,9.6,-1.2,3.7,0.0,0.0,6.6,11.87
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-17,6.3,-1.4,2.1,0.0,0.0,8.6,11.17
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-18,6.9,-1.0,2.4,0.0,0.0,7.9,11.94
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-19,9.5,-2.0,3.7,0.0,0.0,8.9,12.63
Geneva,Switzerland,46.2044,6.1432,daily,2015-02-20,7.8,-1.3,2.9,0.0,0.0,11.4,13.27
