city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-01,-1.6,-19.4,-8.8,0.0,0.0,2.9,2.96
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-02,3.5,-9.8,-2.4,0.0,0.0,6.8,6.03
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-03,2.4,-4.8,-0.6,0.0,0.0,12.7,4.08
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-04,4.7,-1.9,2.1,0.0,0.0,16.0,6.39
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-05,3.9,-4.0,-0.4,0.0,0.0,12.8,6.25
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-06,3.9,-4.3,-0.6,0.0,0.0,5.9,6.15
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-07,1.2,-2.9,-0.8,0.0,0.0,3.0,2.26
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-08,3.9,-0.8,1.2,0.0,0.0,8.1,2.26
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-09,4.7,0.6,2.5,0.2,0.2,18.5,2.16
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-10,6.9,2.4,4.0,0.6,0.6,18.5,3.43
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-11,6.7,-3.6,3.1,4.7,4.6,17.5,1.23
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-12,7.6,-4.2,0.6,0.0,0.0,15.3,5.93
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-13,7.6,-1.5,2.5,0.0,0.0,19.8,6.66
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-14,7.3,1.2,4.3,0.1,0.1,18.8,4.2
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-15,7.9,1.4,4.5,0.0,0.0,16.7,3.34
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-16,10.2,5.3,7.3,1.6,1.6,22.9,4.3
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-17,10.4,3.7,7.6,4.7,4.7,19.6,3.16
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-18,8.7,3.3,5.3,0.1,0.1,7.1,5.48
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-19,7.3,2.4,4.6,0.0,0.0,4.8,4.82
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-20,6.3,0.7,2.7,0.0,0.0,5.4,5.1
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-21,4.0,-0.4,2.1,0.4,0.4,6.4,1.78
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-22,5.8,2.4,3.9,2.4,2.4,6.5,1.66
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-23,6.4,1.7,3.8,4.3,4.2,11.9,2.97
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-24,4.4,0.2,1.8,2.7,1.5,5.9,3.19
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-25,6.0,-0.1,2.2,0.0,0.0,13.3,5.43
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-26,4.4,-0.7,1.3,0.0,0.0,11.5,6.65
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-27,5.7,-1.5,1.1,0.0,0.0,5.6,7.69
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-28,4.3,-1.9,0.5,0.0,0.0,7.6,8.51
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-29,3.9,-2.7,0.5,4.0,1.0,14.5,3.25
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-30,1.0,-2.6,-0.1,25.2,1.1,8.4,1.34
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-01-31,3.8,-5.3,-0.8,0.1,0.0,7.7,8.11
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-01,1.2,-4.6,-1.4,8.6,0.3,9.6,3.81
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-02,2.1,-7.3,-2.1,0.2,0.0,11.6,7.03
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-03,1.7,-7.1,-2.4,3.2,0.7,6.4,5.54
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-04,2.0,-2.5,-0.5,2.0,0.0,14.9,4.45
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-05,-1.1,-2.7,-1.9,8.0,0.0,18.7,2.56
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-06,-0.9,-2.7,-1.8,16.2,0.0,21.1,2.45
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-07,-0.2,-8.1,-3.5,0.4,0.0,14.4,7.98
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-08,2.3,-14.6,-5.3,0.1,0.1,16.5,8.29
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-09,-0.2,-12.0,-5.1,0.0,0.0,10.2,5.44
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-10,5.8,-6.6,0.1,0.0,0.0,6.9,8.4
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-11,5.8,-1.8,1.1,0.0,0.0,6.8,10.33
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-12,2.0,-1.0,0.1,0.0,0.0,7.9,4.71
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-13,3.1,-2.9,-0.0,0.0,0.0,6.4,8.99
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-14,4.5,-1.1,1.8,0.3,0.3,12.0,3.65
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-15,8.7,0.9,4.5,0.0,0.0,6.8,9.11
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-16,6.8,0.2,3.3,0.0,0.0,11.7,10.57
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-17,4.9,-0.9,1.8,0.0,0.0,14.9,9.58
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-18,3.2,-2.2,-0.1,0.0,0.0,13.7,10.76
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-19,6.7,-2.8,1.2,0.0,0.0,5.1,12.14
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-20,6.6,-2.8,1.0,0.0,0.0,10.0,12.22
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-21,7.5,-3.2,2.4,0.7,0.7,24.0,8.84
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-22,3.1,0.1,1.6,23.2,16.9,9.8,1.12
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-23,6.1,0.9,3.6,3.2,1.9,5.5,3.01
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-24,4.6,2.8,3.9,17.6,17.6,10.0,1.49
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-25,7.8,1.4,4.1,0.9,0.9,14.8,8.73
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-26,9.9,2.4,5.2,0.0,0.0,11.9,10.79
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-27,8.3,0.8,3.8,0.0,0.0,9.0,8.95
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-02-28,8.1,1.1,4.2,0.0,0.0,13.0,8.4
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-01,8.9,1.1,4.8,0.0,0.0,23.1,8.83
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-02,7.7,2.6,5.8,2.5,2.5,16.8,2.92
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-03,9.8,1.2,5.5,0.0,0.0,9.3,11.64
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-04,11.3,1.2,5.2,5.7,5.4,15.9,8.74
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-05,8.0,3.0,4.8,0.1,0.1,32.6,10.76
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-06,8.1,-0.0,4.2,0.0,0.0,23.9,12.2
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-07,9.2,-0.5,4.0,0.0,0.0,21.3,14.33
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-08,8.6,-2.0,3.2,0.0,0.0,17.5,15.93
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-09,8.5,-2.1,2.9,0.0,0.0,14.2,15.67
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-10,10.8,-0.9,5.0,0.0,0.0,7.5,16.06
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-11,13.0,1.1,5.8,1.9,1.9,10.6,10.66
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-12,10.6,1.2,5.7,0.0,0.0,17.2,12.99
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-13,10.1,0.7,5.0,0.0,0.0,9.9,13.36
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-14,8.3,1.0,4.3,0.0,0.0,10.4,11.32
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-15,8.3,1.1,4.6,0.1,0.1,12.2,7.54
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-16,8.3,1.1,4.6,3.0,3.0,10.4,5.23
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-17,12.2,2.0,6.9,0.0,0.0,17.1,13.65
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-18,12.2,2.9,7.8,0.0,0.0,12.3,13.22
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-19,12.7,5.1,8.5,0.0,0.0,8.6,15.31
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-20,12.5,2.3,7.1,0.0,0.0,6.6,14.39
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-21,11.3,-0.6,5.6,0.0,0.0,20.9,17.75
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-22,11.4,3.6,6.9,2.9,2.9,12.3,6.49
Ljubljana,Slovenia,46.0569,14.5058,daily,2015-03-23,10.7,3.4,7.2,0.0,0.0,12.7,10.76
