city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
London,UK,51.5072,-0.1276,daily,2015-01-01,11.2,4.7,7.9,1.4,1.4,34.3,0.9
London,UK,51.5072,-0.1276,daily,2015-01-02,12.4,3.0,7.6,0.2,0.2,33.4,3.88
London,UK,51.5072,-0.1276,daily,2015-01-03,5.1,2.8,4.0,11.4,11.4,18.4,0.43
London,UK,51.5072,-0.1276,daily,2015-01-04,3.7,-0.3,2.2,0.0,0.0,9.9,3.34
London,UK,51.5072,-0.1276,daily,2015-01-05,9.4,3.9,6.5,0.0,0.0,14.3,1.8
London,UK,51.5072,-0.1276,daily,2015-01-06,9.9,1.2,6.2,0.2,0.2,23.2,1.18
London,UK,51.5072,-0.1276,daily,2015-01-07,9.8,0.6,5.4,0.0,0.0,30.5,2.58
London,UK,51.5072,-0.1276,daily,2015-01-08,10.9,5.7,8.3,13.0,13.0,29.0,1.3
London,UK,51.5072,-0.1276,daily,2015-01-09,13.8,7.6,11.1,0.3,0.3,38.3,3.05
London,UK,51.5072,-0.1276,daily,2015-01-10,12.8,3.2,9.1,0.5,0.5,40.4,2.14
London,UK,51.5072,-0.1276,daily,2015-01-11,7.4,3.1,5.3,0.0,0.0,27.3,4.23
London,UK,51.5072,-0.1276,daily,2015-01-12,11.1,7.0,9.7,3.0,3.0,35.9,0.77
London,UK,51.5072,-0.1276,daily,2015-01-13,10.8,3.2,7.3,7.7,7.7,31.7,2.97
London,UK,51.5072,-0.1276,daily,2015-01-14,8.1,2.0,4.4,2.3,2.3,39.9,4.63
London,UK,51.5072,-0.1276,daily,2015-01-15,10.2,4.7,7.4,10.3,10.3,45.9,3.75
London,UK,51.5072,-0.1276,daily,2015-01-16,6.0,-1.1,3.6,0.0,0.0,28.7,2.75
London,UK,51.5072,-0.1276,daily,2015-01-17,5.3,-2.9,0.9,0.7,0.6,17.9,3.57
London,UK,51.5072,-0.1276,daily,2015-01-18,3.1,-2.1,1.0,2.9,2.8,14.4,3.34
London,UK,51.5072,-0.1276,daily,2015-01-19,3.1,-2.0,0.7,0.0,0.0,13.0,4.15
London,UK,51.5072,-0.1276,daily,2015-01-20,3.4,-3.3,0.4,0.4,0.4,19.0,3.48
London,UK,51.5072,-0.1276,daily,2015-01-21,3.2,1.9,2.5,0.4,0.4,22.1,1.68
London,UK,51.5072,-0.1276,daily,2015-01-22,4.1,-1.6,1.1,0.0,0.0,12.2,4.64
London,UK,51.5072,-0.1276,daily,2015-01-23,6.3,-2.8,1.0,1.8,1.8,23.8,4.74
London,UK,51.5072,-0.1276,daily,2015-01-24,7.1,0.4,3.8,4.1,4.1,24.9,5.59
London,UK,51.5072,-0.1276,daily,2015-01-25,7.9,-1.3,3.3,0.0,0.0,19.6,5.08
London,UK,51.5072,-0.1276,daily,2015-01-26,8.7,3.0,6.8,0.1,0.1,19.8,2.59
London,UK,51.5072,-0.1276,daily,2015-01-27,7.7,2.0,4.8,0.0,0.0,15.9,4.41
London,UK,51.5072,-0.1276,daily,2015-01-28,9.4,2.0,5.7,1.1,1.1,37.9,2.59
