city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Lyon,France,45.764,4.8357,daily,2015-01-01,3.4,-3.2,-0.2,0.0,0.0,8.2,6.17
Lyon,France,45.764,4.8357,daily,2015-01-02,5.9,-3.7,1.1,0.0,0.0,5.9,5.0
Lyon,France,45.764,4.8357,daily,2015-01-03,7.9,2.3,5.3,1.4,1.4,8.6,1.16
Lyon,France,45.764,4.8357,daily,2015-01-04,9.3,1.3,6.6,2.1,2.1,15.2,1.58
Lyon,France,45.764,4.8357,daily,2015-01-05,6.3,-3.0,1.2,0.0,0.0,9.2,6.7
Lyon,France,45.764,4.8357,daily,2015-01-06,6.3,-2.8,0.5,0.0,0.0,7.0,6.47
Lyon,France,45.764,4.8357,daily,2015-01-07,6.7,0.8,3.1,0.0,0.0,5.3,3.21
Lyon,France,45.764,4.8357,daily,2015-01-08,10.5,2.3,6.1,1.0,1.0,9.0,4.84
Lyon,France,45.764,4.8357,daily,2015-01-09,8.5,2.8,6.5,1.6,1.6,10.7,1.72
Lyon,France,45.764,4.8357,daily,2015-01-10,14.3,7.7,10.3,0.0,0.0,7.3,4.17
Lyon,France,45.764,4.8357,daily,2015-01-11,9.4,2.0,6.6,4.1,4.1,22.9,4.36
Lyon,France,45.764,4.8357,daily,2015-01-12,8.6,-2.0,2.5,0.0,0.0,10.9,7.21
Lyon,France,45.764,4.8357,daily,2015-01-13,11.8,0.7,7.2,0.0,0.0,26.3,6.2
Lyon,France,45.764,4.8357,daily,2015-01-14,10.7,4.5,8.2,1.8,1.8,17.7,5.04
Lyon,France,45.764,4.8357,daily,2015-01-15,10.9,4.1,8.5,0.0,0.0,29.9,3.1
Lyon,France,45.764,4.8357,daily,2015-01-16,11.9,5.5,9.3,31.7,31.7,24.8,0.7
Lyon,France,45.764,4.8357,daily,2015-01-17,5.9,1.8,4.5,5.8,5.8,15.5,4.34
Lyon,France,45.764,4.8357,daily,2015-01-18,4.3,-1.7,1.3,0.0,0.0,11.5,5.75
Lyon,France,45.764,4.8357,daily,2015-01-19,2.6,0.9,1.7,13.2,8.4,7.8,1.48
Lyon,France,45.764,4.8357,daily,2015-01-20,3.5,1.4,2.3,2.6,1.9,9.0,2.96
Lyon,France,45.764,4.8357,daily,2015-01-21,3.6,0.1,1.8,7.7,3.4,5.1,2.4
Lyon,France,45.764,4.8357,daily,2015-01-22,4.7,-0.3,2.1,0.9,0.3,15.0,5.62
Lyon,France,45.764,4.8357,daily,2015-01-23,3.2,0.6,1.8,0.0,0.0,22.9,2.69
Lyon,France,45.764,4.8357,daily,2015-01-24,2.7,0.5,1.6,2.5,0.3,23.6,4.54
Lyon,France,45.764,4.8357,daily,2015-01-25,3.6,0.7,1.7,0.0,0.0,27.0,5.46
Lyon,France,45.764,4.8357,daily,2015-01-26,3.9,0.7,2.0,7.8,5.5,15.5,1.97
Lyon,France,45.764,4.8357,daily,2015-01-27,5.3,1.8,3.6,3.1,3.1,21.5,4.09
Lyon,France,45.764,4.8357,daily,2015-01-28,6.3,1.5,3.8,1.5,1.5,15.6,2.96
Lyon,France,45.764,4.8357,daily,2015-01-29,5.9,4.2,5.2,14.7,14.7,22.4,1.48
Lyon,France,45.764,4.8357,daily,2015-01-30,6.6,0.3,3.4,2.8,2.6,19.1,6.67
Lyon,France,45.764,4.8357,daily,2015-01-31,5.5,-2.1,1.4,2.0,1.6,9.7,5.55
Lyon,France,45.764,4.8357,daily,2015-02-01,4.1,-1.0,1.7,5.3,1.6,18.8,6.02
Lyon,France,45.764,4.8357,daily,2015-02-02,4.7,-0.2,1.8,1.7,1.2,12.5,6.72
Lyon,France,45.764,4.8357,daily,2015-02-03,3.3,-2.1,0.6,0.0,0.0,14.4,5.17
Lyon,France,45.764,4.8357,daily,2015-02-04,3.2,-0.6,0.8,0.1,0.0,24.5,6.61
Lyon,France,45.764,4.8357,daily,2015-02-05,0.6,-1.8,-0.6,0.9,0.0,31.6,4.07
Lyon,France,45.764,4.8357,daily,2015-02-06,3.1,-1.3,0.3,0.0,0.0,21.3,5.08
Lyon,France,45.764,4.8357,daily,2015-02-07,3.6,-3.0,-0.3,0.0,0.0,13.5,10.2
Lyon,France,45.764,4.8357,daily,2015-02-08,4.7,-1.5,1.1,0.0,0.0,33.8,5.42
Lyon,France,45.764,4.8357,daily,2015-02-09,6.3,-1.0,2.0,0.0,0.0,24.8,10.6
Lyon,France,45.764,4.8357,daily,2015-02-10,6.5,-2.1,1.7,0.0,0.0,12.8,10.25
Lyon,France,45.764,4.8357,daily,2015-02-11,11.2,-3.2,2.6,0.0,0.0,9.8,11.29
Lyon,France,45.764,4.8357,daily,2015-02-12,11.9,-2.1,3.6,0.0,0.0,11.9,10.85
Lyon,France,45.764,4.8357,daily,2015-02-13,12.3,0.3,6.1,0.0,0.0,19.5,8.76
Lyon,France,45.764,4.8357,daily,2015-02-14,9.3,5.4,7.1,6.2,6.2,24.5,5.72
Lyon,France,45.764,4.8357,daily,2015-02-15,7.5,1.6,5.2,13.1,13.1,15.2,5.89
Lyon,France,45.764,4.8357,daily,2015-02-16,9.9,0.6,4.6,0.0,0.0,14.8,10.94
Lyon,France,45.764,4.8357,daily,2015-02-17,7.6,-0.1,3.7,0.0,0.0,16.6,8.01
Lyon,France,45.764,4.8357,daily,2015-02-18,7.8,0.5,3.4,0.0,0.0,14.2,11.05
Lyon,France,45.764,4.8357,daily,2015-02-19,11.1,-1.5,4.2,0.0,0.0,9.6,12.59
Lyon,France,45.764,4.8357,daily,2015-02-20,11.3,1.3,6.0,0.0,0.0,27.7,13.06
Lyon,France,45.764,4.8357,daily,2015-02-21,6.7,1.2,4.3,14.8,13.4,24.9,1.58
Lyon,France,45.764,4.8357,daily,2015-02-22,6.3,-1.7,2.7,0.1,0.1,24.4,8.3
Lyon,France,45.764,4.8357,daily,2015-02-23,10.1,-1.8,4.0,4.6,4.6,13.0,4.06
Lyon,France,45.764,4.8357,daily,2015-02-24,8.1,-0.2,4.2,1.7,1.7,18.2,11.1
Lyon,France,45.764,4.8357,daily,2015-02-25,8.9,1.4,4.7,0.0,0.0,16.0,10.31
Lyon,France,45.764,4.8357,daily,2015-02-26,9.9,0.9,5.5,1.2,1.2,6.9,6.91
Lyon,France,45.764,4.8357,daily,2015-02-27,6.2,2.3,5.0,11.6,11.6,24.1,3.66
Lyon,France,45.764,4.8357,daily,2015-02-28,7.8,-1.2,3.4,0.0,0.0,11.7,12.24
Lyon,France,45.764,4.8357,daily,2015-03-01,10.9,3.8,7.6,4.7,4.7,17.7,3.77
Lyon,France,45.764,4.8357,daily,2015-03-02,13.1,6.8,10.4,4.1,4.1,20.3,10.58
Lyon,France,45.764,4.8357,daily,2015-03-03,12.0,2.9,8.1,0.1,0.1,6.5,10.68
Lyon,France,45.764,4.8357,daily,2015-03-04,8.0,3.2,5.8,6.4,6.4,22.7,10.37
Lyon,France,45.764,4.8357,daily,2015-03-05,7.7,1.9,4.6,0.0,0.0,30.3,13.35
Lyon,France,45.764,4.8357,daily,2015-03-06,10.6,1.0,5.4,0.0,0.0,19.9,15.82
Lyon,France,45.764,4.8357,daily,2015-03-07,13.0,-1.5,5.5,0.0,0.0,8.0,13.63
Lyon,France,45.764,4.8357,daily,2015-03-08,14.9,-1.0,6.6,0.0,0.0,9.0,15.63
Lyon,France,45.764,4.8357,daily,2015-03-09,15.1,0.4,7.7,0.0,0.0,10.7,14.75
Lyon,France,45.764,4.8357,daily,2015-03-10,14.1,0.3,7.9,0.0,0.0,12.8,12.46
Lyon,France,45.764,4.8357,daily,2015-03-11,14.2,4.3,9.3,0.0,0.0,15.7,13.15
Lyon,France,45.764,4.8357,daily,2015-03-12,13.5,0.7,7.1,0.0,0.0,12.2,17.51
Lyon,France,45.764,4.8357,daily,2015-03-13,12.4,0.0,6.8,1.7,1.7,10.2,14.38
