city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Marseille,France,43.2965,5.3698,daily,2015-01-01,9.6,3.9,6.8,0.0,0.0,9.4,7.22
Marseille,France,43.2965,5.3698,daily,2015-01-02,12.1,3.3,7.9,0.0,0.0,22.5,7.37
Marseille,France,43.2965,5.3698,daily,2015-01-03,14.4,7.7,11.0,0.0,0.0,23.4,7.07
Marseille,France,43.2965,5.3698,daily,2015-01-04,14.6,7.8,12.0,0.0,0.0,30.2,7.58
Marseille,France,43.2965,5.3698,daily,2015-01-05,14.9,5.9,9.2,0.0,0.0,10.1,7.65
Marseille,France,43.2965,5.3698,daily,2015-01-06,11.9,4.2,7.5,0.0,0.0,8.0,7.78
Marseille,France,43.2965,5.3698,daily,2015-01-07,11.1,3.3,6.4,0.0,0.0,9.8,7.58
Marseille,France,43.2965,5.3698,daily,2015-01-08,11.6,2.9,7.5,0.0,0.0,20.3,7.48
Marseille,France,43.2965,5.3698,daily,2015-01-09,12.9,8.8,10.9,0.0,0.0,22.9,7.33
Marseille,France,43.2965,5.3698,daily,2015-01-10,16.0,11.7,13.2,0.0,0.0,17.2,7.37
Marseille,France,43.2965,5.3698,daily,2015-01-11,13.8,7.5,10.6,0.0,0.0,36.0,7.66
Marseille,France,43.2965,5.3698,daily,2015-01-12,12.8,4.2,7.9,0.0,0.0,21.6,8.45
Marseille,France,43.2965,5.3698,daily,2015-01-13,13.5,7.1,10.7,0.4,0.4,20.3,4.55
Marseille,France,43.2965,5.3698,daily,2015-01-14,13.3,8.3,10.6,0.0,0.0,14.7,6.67
Marseille,France,43.2965,5.3698,daily,2015-01-15,14.3,5.5,11.2,0.0,0.0,27.1,6.28
Marseille,France,43.2965,5.3698,daily,2015-01-16,14.3,9.7,12.7,8.7,8.7,24.4,3.01
Marseille,France,43.2965,5.3698,daily,2015-01-17,9.7,5.9,7.8,0.2,0.2,22.4,8.24
Marseille,France,43.2965,5.3698,daily,2015-01-18,10.8,1.7,7.3,0.9,0.9,13.8,7.46
Marseille,France,43.2965,5.3698,daily,2015-01-19,10.5,8.4,9.3,11.5,11.5,14.8,4.39
Marseille,France,43.2965,5.3698,daily,2015-01-20,9.5,7.6,8.4,23.9,23.9,8.5,1.99
Marseille,France,43.2965,5.3698,daily,2015-01-21,10.3,6.6,8.5,22.7,22.7,11.4,3.43
Marseille,France,43.2965,5.3698,daily,2015-01-22,10.9,5.1,7.4,0.0,0.0,15.6,8.03
Marseille,France,43.2965,5.3698,daily,2015-01-23,9.0,3.4,5.5,0.0,0.0,29.2,9.4
Marseille,France,43.2965,5.3698,daily,2015-01-24,8.4,3.0,5.3,0.0,0.0,41.9,8.61
Marseille,France,43.2965,5.3698,daily,2015-01-25,9.8,4.0,6.1,0.0,0.0,32.2,9.5
Marseille,France,43.2965,5.3698,daily,2015-01-26,9.3,2.5,5.7,0.0,0.0,20.2,8.73
Marseille,France,43.2965,5.3698,daily,2015-01-27,8.7,4.9,7.1,0.0,0.0,38.4,6.32
Marseille,France,43.2965,5.3698,daily,2015-01-28,9.5,3.3,6.3,0.0,0.0,21.4,9.13
Marseille,France,43.2965,5.3698,daily,2015-01-29,11.0,7.8,9.7,10.0,10.0,23.9,4.12
