city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Porto,Portugal,41.1579,-8.6291,daily,2015-01-01,15.0,2.1,6.7,0.0,0.0,11.6,8.77
Porto,Portugal,41.1579,-8.6291,daily,2015-01-02,14.1,3.1,7.1,0.0,0.0,8.6,8.23
Porto,Portugal,41.1579,-8.6291,daily,2015-01-03,13.7,3.7,7.5,0.0,0.0,8.1,8.71
Porto,Portugal,41.1579,-8.6291,daily,2015-01-04,14.5,2.3,7.4,0.0,0.0,6.3,8.67
Porto,Portugal,41.1579,-8.6291,daily,2015-01-05,12.0,4.3,8.1,0.0,0.0,8.3,8.02
Porto,Portugal,41.1579,-8.6291,daily,2015-01-06,12.2,4.4,8.3,0.0,0.0,10.2,7.99
Porto,Portugal,41.1579,-8.6291,daily,2015-01-07,12.0,3.4,6.4,0.0,0.0,12.2,8.81
Porto,Portugal,41.1579,-8.6291,daily,2015-01-08,12.5,2.4,6.4,0.0,0.0,11.2,8.23
Porto,Portugal,41.1579,-8.6291,daily,2015-01-09,15.2,4.0,7.8,0.0,0.0,11.5,9.14
Porto,Portugal,41.1579,-8.6291,daily,2015-01-10,13.9,4.2,7.9,0.0,0.0,10.5,9.28
Porto,Portugal,41.1579,-8.6291,daily,2015-01-11,14.1,3.5,8.2,0.1,0.1,9.7,7.73
Porto,Portugal,41.1579,-8.6291,daily,2015-01-12,13.8,4.5,8.4,0.0,0.0,11.8,8.68
Porto,Portugal,41.1579,-8.6291,daily,2015-01-13,12.4,8.0,9.9,7.8,7.8,22.8,2.79
Porto,Portugal,41.1579,-8.6291,daily,2015-01-14,12.3,6.0,9.0,0.0,0.0,17.7,6.09
Porto,Portugal,41.1579,-8.6291,daily,2015-01-15,12.0,7.1,10.0,24.2,24.2,32.8,0.8
Porto,Portugal,41.1579,-8.6291,daily,2015-01-16,10.1,5.1,7.8,4.7,4.7,18.7,6.24
Porto,Portugal,41.1579,-8.6291,daily,2015-01-17,9.2,3.2,6.2,11.7,11.7,25.3,4.62
Porto,Portugal,41.1579,-8.6291,daily,2015-01-18,10.2,6.5,8.2,4.8,4.8,25.4,2.52
Porto,Portugal,41.1579,-8.6291,daily,2015-01-19,10.1,5.1,7.2,0.9,0.9,24.6,9.14
Porto,Portugal,41.1579,-8.6291,daily,2015-01-20,9.9,5.5,7.4,1.5,1.5,17.6,7.81
Porto,Portugal,41.1579,-8.6291,daily,2015-01-21,9.9,4.7,7.5,1.9,1.9,25.5,6.55
Porto,Portugal,41.1579,-8.6291,daily,2015-01-22,10.5,7.4,8.9,0.0,0.0,16.7,4.11
Porto,Portugal,41.1579,-8.6291,daily,2015-01-23,13.4,6.7,10.2,0.0,0.0,10.2,8.31
Porto,Portugal,41.1579,-8.6291,daily,2015-01-24,15.6,6.2,10.2,0.0,0.0,9.5,9.85
Porto,Portugal,41.1579,-8.6291,daily,2015-01-25,14.1,3.8,8.0,0.0,0.0,9.8,9.9
Porto,Portugal,41.1579,-8.6291,daily,2015-01-26,13.2,2.1,7.2,0.0,0.0,12.3,10.56
Porto,Portugal,41.1579,-8.6291,daily,2015-01-27,14.8,3.5,8.5,0.0,0.0,11.6,10.94
Porto,Portugal,41.1579,-8.6291,daily,2015-01-28,12.8,4.7,8.9,0.0,0.0,14.7,9.6
Porto,Portugal,41.1579,-8.6291,daily,2015-01-29,12.9,9.2,11.3,8.0,8.0,23.9,1.77
Porto,Portugal,41.1579,-8.6291,daily,2015-01-30,12.9,12.2,12.6,25.2,25.2,34.3,0.84
