city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-01,0.8,-4.1,-1.3,5.8,0.3,20.5,0.17
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-02,1.0,-5.4,-1.8,2.1,0.0,21.0,0.21
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-03,-0.3,-4.3,-1.6,1.1,0.0,17.4,0.28
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-04,7.5,-2.4,2.5,24.6,20.2,51.2,0.06
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-05,2.1,0.4,1.2,4.6,0.4,30.7,0.21
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-06,4.8,-0.0,1.0,10.8,5.1,46.8,0.22
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-07,4.8,1.5,2.5,20.4,11.9,41.0,0.34
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-08,2.1,-1.3,0.0,2.1,0.2,38.5,0.32
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-09,-1.2,-3.6,-2.1,0.5,0.0,20.1,0.3
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-10,-3.0,-6.8,-4.0,0.4,0.0,13.4,0.4
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-11,-3.2,-9.5,-6.5,1.7,0.0,22.6,0.3
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-12,-1.7,-5.8,-4.1,0.0,0.0,16.4,0.48
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-13,1.0,-3.0,-0.4,0.3,0.0,26.1,0.39
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-14,-3.2,-7.6,-4.8,0.0,0.0,18.3,0.69
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-15,-5.3,-7.9,-6.5,0.0,0.0,21.1,0.71
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-16,-2.0,-4.8,-3.3,0.0,0.0,20.8,0.5
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-17,-1.2,-7.4,-4.4,0.2,0.0,19.1,0.7
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-18,1.0,-14.6,-8.3,0.0,0.0,39.2,0.69
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-19,3.4,1.6,2.7,13.2,8.3,45.6,0.37
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-20,3.0,-1.0,0.6,4.7,3.0,24.8,0.88
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-21,2.5,-0.0,1.3,5.7,1.4,33.4,0.53
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-22,2.8,0.7,2.0,10.4,5.7,32.9,0.49
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-23,0.6,-2.8,-1.1,2.7,0.1,29.6,0.84
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-24,5.6,-1.6,0.1,15.2,9.1,42.1,0.48
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-25,5.6,-0.5,2.1,5.8,4.4,46.6,0.55
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-26,6.2,-0.5,1.9,9.5,8.4,39.0,0.58
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-27,5.5,-0.7,1.6,4.6,2.2,28.3,0.62
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-28,-0.8,-7.1,-4.1,0.2,0.0,12.4,1.32
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-29,-0.7,-5.7,-2.6,0.0,0.0,23.1,1.65
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-30,-3.5,-6.7,-5.9,0.0,0.0,15.6,1.8
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-01-31,-4.0,-9.9,-6.5,1.0,0.0,14.5,1.5
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-01,-0.1,-4.3,-1.8,5.4,0.1,17.1,0.63
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-02,-0.7,-9.6,-4.4,0.0,0.0,22.8,1.91
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-03,3.5,-14.6,-7.8,0.6,0.6,27.8,0.98
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-04,4.6,2.1,3.3,2.9,2.9,28.6,0.97
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-05,5.2,4.2,4.6,0.5,0.5,25.5,1.06
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-06,5.7,0.7,2.8,6.1,4.7,42.5,1.73
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-07,6.9,1.0,3.8,1.3,0.8,34.2,1.25
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-08,6.9,5.4,6.1,10.2,10.2,37.9,0.26
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-09,6.8,1.2,3.1,9.2,5.1,34.5,1.0
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-10,1.8,-2.9,-1.4,0.8,0.1,38.4,2.5
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-11,-2.8,-3.9,-3.4,0.1,0.0,25.0,2.71
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-12,-4.0,-9.6,-5.8,0.0,0.0,18.8,2.39
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-13,-2.9,-6.8,-4.9,0.0,0.0,12.7,3.34
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-14,6.6,-2.6,3.0,35.5,30.9,39.3,0.42
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-15,5.8,-0.9,1.7,5.6,3.2,28.2,2.01
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-16,-0.6,-3.6,-2.9,1.5,0.1,36.0,3.07
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-17,2.4,-4.5,-2.0,6.4,0.2,36.8,2.13
Reykjavik,Iceland,64.1466,-21.9426,daily,2015-02-18,4.5,2.2,3.2,16.0,15.4,37.5,1.38
