city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Riga,Latvia,56.9496,24.1052,daily,2015-01-01,4.1,1.5,2.3,0.7,0.7,24.5,1.24
Riga,Latvia,56.9496,24.1052,daily,2015-01-02,6.6,2.8,4.2,5.6,5.6,42.0,0.36
Riga,Latvia,56.9496,24.1052,daily,2015-01-03,3.7,1.7,2.5,0.0,0.0,37.1,1.42
Riga,Latvia,56.9496,24.1052,daily,2015-01-04,1.7,0.3,0.8,6.4,1.3,41.0,0.42
Riga,Latvia,56.9496,24.1052,daily,2015-01-05,0.3,-6.4,-3.5,0.2,0.0,29.5,0.97
Riga,Latvia,56.9496,24.1052,daily,2015-01-06,-6.5,-12.3,-9.2,0.0,0.0,21.7,2.24
Riga,Latvia,56.9496,24.1052,daily,2015-01-07,-7.4,-12.3,-9.3,0.0,0.0,29.6,1.63
Riga,Latvia,56.9496,24.1052,daily,2015-01-08,1.2,-7.4,-2.0,3.8,0.6,30.1,0.69
Riga,Latvia,56.9496,24.1052,daily,2015-01-09,2.0,-0.2,0.8,8.3,3.0,25.7,0.84
Riga,Latvia,56.9496,24.1052,daily,2015-01-10,3.5,-0.7,0.4,5.9,0.3,37.2,1.28
Riga,Latvia,56.9496,24.1052,daily,2015-01-11,2.4,-2.0,0.9,7.1,3.5,38.2,1.54
Riga,Latvia,56.9496,24.1052,daily,2015-01-12,3.8,-2.8,-0.7,3.4,1.2,34.2,1.69
Riga,Latvia,56.9496,24.1052,daily,2015-01-13,5.6,2.4,3.6,3.5,3.5,38.2,2.41
Riga,Latvia,56.9496,24.1052,daily,2015-01-14,5.5,0.8,3.3,4.2,4.2,25.8,0.84
Riga,Latvia,56.9496,24.1052,daily,2015-01-15,2.3,-0.2,0.8,0.0,0.0,32.8,2.5
Riga,Latvia,56.9496,24.1052,daily,2015-01-16,4.4,0.9,2.6,1.2,0.5,32.8,0.76
Riga,Latvia,56.9496,24.1052,daily,2015-01-17,1.6,0.8,1.2,5.1,3.7,24.0,0.4
Riga,Latvia,56.9496,24.1052,daily,2015-01-18,3.3,-0.4,1.0,0.0,0.0,22.9,1.94
Riga,Latvia,56.9496,24.1052,daily,2015-01-19,0.1,-2.0,-0.8,0.0,0.0,16.5,1.17
Riga,Latvia,56.9496,24.1052,daily,2015-01-20,-1.1,-3.1,-2.2,0.0,0.0,23.4,1.47
Riga,Latvia,56.9496,24.1052,daily,2015-01-21,-1.0,-2.8,-1.7,2.0,0.0,26.1,0.99
Riga,Latvia,56.9496,24.1052,daily,2015-01-22,-0.5,-2.1,-1.4,0.1,0.0,14.2,1.23
Riga,Latvia,56.9496,24.1052,daily,2015-01-23,-0.0,-1.5,-1.0,0.0,0.0,13.2,1.14
Riga,Latvia,56.9496,24.1052,daily,2015-01-24,-1.0,-3.8,-2.6,0.0,0.0,17.3,2.26
Riga,Latvia,56.9496,24.1052,daily,2015-01-25,-1.3,-3.2,-2.3,0.8,0.0,10.1,1.23
Riga,Latvia,56.9496,24.1052,daily,2015-01-26,-0.3,-3.6,-2.0,0.0,0.0,16.5,2.26
Riga,Latvia,56.9496,24.1052,daily,2015-01-27,-1.8,-2.9,-2.3,0.0,0.0,21.6,2.01
Riga,Latvia,56.9496,24.1052,daily,2015-01-28,-0.4,-2.9,-1.4,0.0,0.0,24.5,1.58
Riga,Latvia,56.9496,24.1052,daily,2015-01-29,0.7,-0.9,-0.0,0.5,0.0,35.0,1.62
Riga,Latvia,56.9496,24.1052,daily,2015-01-30,1.0,-2.0,-0.1,0.0,0.0,29.5,2.81
Riga,Latvia,56.9496,24.1052,daily,2015-01-31,3.7,0.6,2.1,4.8,4.3,26.0,1.28
Riga,Latvia,56.9496,24.1052,daily,2015-02-01,1.0,-0.1,0.5,2.0,0.1,33.4,2.32
Riga,Latvia,56.9496,24.1052,daily,2015-02-02,1.3,-0.9,0.1,0.0,0.0,29.0,2.24
Riga,Latvia,56.9496,24.1052,daily,2015-02-03,1.3,-2.5,-1.1,0.0,0.0,20.2,3.77
Riga,Latvia,56.9496,24.1052,daily,2015-02-04,0.6,-3.3,-1.7,0.0,0.0,9.9,2.5
Riga,Latvia,56.9496,24.1052,daily,2015-02-05,-1.8,-5.2,-3.4,0.0,0.0,10.0,2.59
Riga,Latvia,56.9496,24.1052,daily,2015-02-06,1.2,-2.9,-0.7,1.2,0.0,28.3,1.25
Riga,Latvia,56.9496,24.1052,daily,2015-02-07,1.6,-0.5,0.5,2.5,1.2,34.7,1.84
Riga,Latvia,56.9496,24.1052,daily,2015-02-08,-0.9,-3.2,-2.1,3.4,0.0,40.4,4.45
Riga,Latvia,56.9496,24.1052,daily,2015-02-09,-0.1,-6.0,-2.3,1.3,0.3,19.9,1.94
Riga,Latvia,56.9496,24.1052,daily,2015-02-10,4.1,-3.0,1.0,0.0,0.0,14.5,4.57
Riga,Latvia,56.9496,24.1052,daily,2015-02-11,1.6,-4.2,-0.8,0.0,0.0,19.0,3.3
Riga,Latvia,56.9496,24.1052,daily,2015-02-12,2.1,-0.2,0.7,0.0,0.0,24.0,2.93
Riga,Latvia,56.9496,24.1052,daily,2015-02-13,0.7,-0.8,-0.0,0.0,0.0,16.2,2.7
Riga,Latvia,56.9496,24.1052,daily,2015-02-14,1.3,-0.7,0.1,0.0,0.0,14.2,3.1
Riga,Latvia,56.9496,24.1052,daily,2015-02-15,-0.2,-6.0,-2.8,0.0,0.0,28.6,5.63
Riga,Latvia,56.9496,24.1052,daily,2015-02-16,-1.8,-8.0,-5.2,0.0,0.0,27.3,6.95
Riga,Latvia,56.9496,24.1052,daily,2015-02-17,0.3,-5.7,-2.9,0.0,0.0,28.1,7.13
Riga,Latvia,56.9496,24.1052,daily,2015-02-18,4.7,-2.2,1.7,2.6,2.6,29.5,2.45
Riga,Latvia,56.9496,24.1052,daily,2015-02-19,5.3,1.8,3.6,0.3,0.3,20.9,1.98
Riga,Latvia,56.9496,24.1052,daily,2015-02-20,4.7,0.9,2.3,0.0,0.0,22.4,5.19
Riga,Latvia,56.9496,24.1052,daily,2015-02-21,7.0,1.2,3.2,0.0,0.0,26.2,5.16
Riga,Latvia,56.9496,24.1052,daily,2015-02-22,5.9,1.1,2.9,0.0,0.0,32.2,5.09
Riga,Latvia,56.9496,24.1052,daily,2015-02-23,4.8,-0.1,2.8,0.0,0.0,26.9,3.77
Riga,Latvia,56.9496,24.1052,daily,2015-02-24,5.3,2.2,3.8,3.9,3.9,23.5,1.63
Riga,Latvia,56.9496,24.1052,daily,2015-02-25,5.7,0.1,2.6,0.0,0.0,10.3,5.3
Riga,Latvia,56.9496,24.1052,daily,2015-02-26,4.5,-1.0,1.2,0.0,0.0,6.5,5.58
Riga,Latvia,56.9496,24.1052,daily,2015-02-27,3.8,-0.4,1.5,0.0,0.0,8.1,3.18
Riga,Latvia,56.9496,24.1052,daily,2015-02-28,4.1,-0.2,1.7,0.2,0.2,11.2,4.88
Riga,Latvia,56.9496,24.1052,daily,2015-03-01,4.4,0.6,2.6,0.0,0.0,23.5,3.14
Riga,Latvia,56.9496,24.1052,daily,2015-03-02,5.4,2.5,3.7,4.2,4.1,22.5,2.91
Riga,Latvia,56.9496,24.1052,daily,2015-03-03,3.8,1.3,2.5,7.6,6.4,31.2,2.6
Riga,Latvia,56.9496,24.1052,daily,2015-03-04,4.3,-0.9,1.6,0.0,0.0,23.1,6.35
Riga,Latvia,56.9496,24.1052,daily,2015-03-05,2.8,-2.1,-0.0,0.2,0.1,16.0,6.61
Riga,Latvia,56.9496,24.1052,daily,2015-03-06,4.2,-3.5,0.7,2.3,0.7,24.2,6.22
Riga,Latvia,56.9496,24.1052,daily,2015-03-07,6.7,1.1,4.4,0.2,0.2,29.2,4.89
Riga,Latvia,56.9496,24.1052,daily,2015-03-08,12.1,6.0,8.3,0.0,0.0,28.5,9.54
Riga,Latvia,56.9496,24.1052,daily,2015-03-09,8.8,1.0,5.8,0.0,0.0,19.9,3.32
Riga,Latvia,56.9496,24.1052,daily,2015-03-10,7.1,-0.8,4.1,0.0,0.0,23.7,6.63
Riga,Latvia,56.9496,24.1052,daily,2015-03-11,8.4,1.8,4.5,0.0,0.0,18.6,9.63
Riga,Latvia,56.9496,24.1052,daily,2015-03-12,6.0,0.6,2.7,0.0,0.0,21.1,8.54
Riga,Latvia,56.9496,24.1052,daily,2015-03-13,7.3,-0.8,3.1,0.0,0.0,24.6,11.94
Riga,Latvia,56.9496,24.1052,daily,2015-03-14,8.1,1.3,4.1,0.0,0.0,17.4,10.62
Riga,Latvia,56.9496,24.1052,daily,2015-03-15,9.7,0.8,4.7,0.0,0.0,16.2,10.44
Riga,Latvia,56.9496,24.1052,daily,2015-03-16,10.5,-0.2,4.9,0.0,0.0,17.7,12.6
Riga,Latvia,56.9496,24.1052,daily,2015-03-17,11.5,0.8,5.5,0.0,0.0,15.9,12.72
Riga,Latvia,56.9496,24.1052,daily,2015-03-18,11.4,-1.6,4.4,0.0,0.0,12.6,13.27
Riga,Latvia,56.9496,24.1052,daily,2015-03-19,10.6,-2.2,3.7,0.0,0.0,10.5,13.24
Riga,Latvia,56.9496,24.1052,daily,2015-03-20,8.8,-1.4,3.4,3.0,2.7,14.9,9.06
Riga,Latvia,56.9496,24.1052,daily,2015-03-21,2.1,-2.8,0.1,2.3,0.1,30.7,5.63
Riga,Latvia,56.9496,24.1052,daily,2015-03-22,-0.0,-3.9,-1.6,0.0,0.0,24.1,10.34
Riga,Latvia,56.9496,24.1052,daily,2015-03-23,3.5,-1.1,1.8,0.5,0.3,32.8,3.96
Riga,Latvia,56.9496,24.1052,daily,2015-03-24,6.9,0.5,4.1,0.0,0.0,26.1,6.38
Riga,Latvia,56.9496,24.1052,daily,2015-03-25,7.8,-0.9,3.4,0.0,0.0,18.0,12.47
Riga,Latvia,56.9496,24.1052,daily,2015-03-26,9.5,0.1,5.2,0.0,0.0,30.3,10.5
Riga,Latvia,56.9496,24.1052,daily,2015-03-27,12.3,6.0,8.5,4.8,4.8,27.1,5.71
Riga,Latvia,56.9496,24.1052,daily,2015-03-28,7.8,1.5,4.4,5.8,5.8,22.2,2.8
Riga,Latvia,56.9496,24.1052,daily,2015-03-29,7.4,0.3,4.2,0.0,0.0,30.8,6.48
Riga,Latvia,56.9496,24.1052,daily,2015-03-30,6.4,1.4,3.8,7.5,6.2,40.8,3.54
Riga,Latvia,56.9496,24.1052,daily,2015-03-31,7.8,2.1,4.4,3.3,3.3,35.8,10.82
Riga,Latvia,56.9496,24.1052,daily,2015-04-01,5.1,1.7,3.1,4.5,4.5,19.6,7.24
Riga,Latvia,56.9496,24.1052,daily,2015-04-02,4.8,0.8,2.3,4.4,4.0,21.7,7.44
Riga,Latvia,56.9496,24.1052,daily,2015-04-03,4.2,0.6,2.0,2.0,1.6,20.7,9.35
Riga,Latvia,56.9496,24.1052,daily,2015-04-04,4.2,0.6,2.1,1.4,1.0,20.8,10.14
Riga,Latvia,56.9496,24.1052,daily,2015-04-05,6.0,0.6,3.0,1.0,1.0,14.7,13.41
Riga,Latvia,56.9496,24.1052,daily,2015-04-06,7.6,-0.2,3.8,0.1,0.1,18.6,15.65
Riga,Latvia,56.9496,24.1052,daily,2015-04-07,8.7,2.0,4.8,0.0,0.0,25.2,10.78
Riga,Latvia,56.9496,24.1052,daily,2015-04-08,10.1,1.9,5.4,0.0,0.0,38.7,15.61
Riga,Latvia,56.9496,24.1052,daily,2015-04-09,11.6,3.2,6.9,0.0,0.0,31.0,16.84
Riga,Latvia,56.9496,24.1052,daily,2015-04-10,13.3,3.4,7.8,0.0,0.0,18.4,18.28
Riga,Latvia,56.9496,24.1052,daily,2015-04-11,16.7,3.0,9.8,0.0,0.0,14.3,18.95
Riga,Latvia,56.9496,24.1052,daily,2015-04-12,10.0,5.1,8.1,2.3,2.3,37.4,12.49
Riga,Latvia,56.9496,24.1052,daily,2015-04-13,6.2,3.0,4.5,8.7,8.7,30.5,3.63
Riga,Latvia,56.9496,24.1052,daily,2015-04-14,7.0,1.9,4.7,1.3,1.3,28.8,19.52
Riga,Latvia,56.9496,24.1052,daily,2015-04-15,10.2,1.5,5.9,9.5,9.5,27.8,11.45
Riga,Latvia,56.9496,24.1052,daily,2015-04-16,9.8,2.3,6.3,5.9,5.9,31.4,17.26
Riga,Latvia,56.9496,24.1052,daily,2015-04-17,6.6,2.2,4.1,1.7,1.7,20.0,15.76
Riga,Latvia,56.9496,24.1052,daily,2015-04-18,7.5,1.5,4.6,0.0,0.0,22.5,15.9
Riga,Latvia,56.9496,24.1052,daily,2015-04-19,8.1,2.2,5.3,0.1,0.1,29.3,15.34
Riga,Latvia,56.9496,24.1052,daily,2015-04-20,7.7,3.2,5.6,0.3,0.3,35.0,15.25
Riga,Latvia,56.9496,24.1052,daily,2015-04-21,9.7,2.6,6.1,0.0,0.0,23.3,18.87
Riga,Latvia,56.9496,24.1052,daily,2015-04-22,13.0,3.3,7.6,0.0,0.0,25.7,17.4
Riga,Latvia,56.9496,24.1052,daily,2015-04-23,11.4,2.8,7.2,0.0,0.0,32.8,19.38
Riga,Latvia,56.9496,24.1052,daily,2015-04-24,11.8,3.0,7.7,0.4,0.4,27.4,20.01
Riga,Latvia,56.9496,24.1052,daily,2015-04-25,16.2,4.4,10.5,0.0,0.0,14.4,18.05
Riga,Latvia,56.9496,24.1052,daily,2015-04-26,16.4,8.1,12.2,0.0,0.0,14.5,12.32
Riga,Latvia,56.9496,24.1052,daily,2015-04-27,17.9,5.6,12.9,0.4,0.4,15.9,17.83
Riga,Latvia,56.9496,24.1052,daily,2015-04-28,13.1,7.4,11.0,9.0,9.0,24.5,12.44
Riga,Latvia,56.9496,24.1052,daily,2015-04-29,10.1,3.8,6.6,6.9,6.9,31.7,12.38
Riga,Latvia,56.9496,24.1052,daily,2015-04-30,13.6,3.6,9.2,0.0,0.0,18.7,19.25
Riga,Latvia,56.9496,24.1052,daily,2015-05-01,15.2,7.8,11.3,0.2,0.2,21.3,15.27
Riga,Latvia,56.9496,24.1052,daily,2015-05-02,11.4,4.8,7.2,5.7,5.7,28.2,15.75
Riga,Latvia,56.9496,24.1052,daily,2015-05-03,10.6,3.5,7.1,0.0,0.0,19.2,17.37
Riga,Latvia,56.9496,24.1052,daily,2015-05-04,14.2,1.1,9.4,1.1,1.1,17.7,16.91
Riga,Latvia,56.9496,24.1052,daily,2015-05-05,16.7,9.3,13.2,0.2,0.2,22.8,12.54
Riga,Latvia,56.9496,24.1052,daily,2015-05-06,16.3,10.6,13.7,5.5,5.5,27.1,8.5
Riga,Latvia,56.9496,24.1052,daily,2015-05-07,16.9,8.6,12.2,0.6,0.6,14.0,19.04
Riga,Latvia,56.9496,24.1052,daily,2015-05-08,13.7,6.1,10.2,0.0,0.0,21.6,20.91
Riga,Latvia,56.9496,24.1052,daily,2015-05-09,14.0,4.8,9.7,0.0,0.0,16.4,25.2
Riga,Latvia,56.9496,24.1052,daily,2015-05-10,17.4,7.0,12.0,2.2,2.2,21.3,14.52
Riga,Latvia,56.9496,24.1052,daily,2015-05-11,11.9,5.8,9.0,0.1,0.1,17.2,16.17
Riga,Latvia,56.9496,24.1052,daily,2015-05-12,17.7,6.7,13.3,0.3,0.3,29.2,19.93
Riga,Latvia,56.9496,24.1052,daily,2015-05-13,13.1,8.5,11.1,6.0,6.0,31.3,17.16
Riga,Latvia,56.9496,24.1052,daily,2015-05-14,13.2,6.3,9.8,3.9,3.9,20.4,18.0
Riga,Latvia,56.9496,24.1052,daily,2015-05-15,10.0,5.0,7.5,1.7,1.7,25.7,21.41
Riga,Latvia,56.9496,24.1052,daily,2015-05-16,10.5,3.8,7.5,1.7,1.7,30.3,21.63
Riga,Latvia,56.9496,24.1052,daily,2015-05-17,11.8,4.4,8.2,6.3,6.3,26.5,13.85
Riga,Latvia,56.9496,24.1052,daily,2015-05-18,9.5,5.7,7.5,6.7,6.7,26.8,14.67
Riga,Latvia,56.9496,24.1052,daily,2015-05-19,16.0,5.3,11.1,0.5,0.5,18.1,21.74
Riga,Latvia,56.9496,24.1052,daily,2015-05-20,16.4,8.2,12.9,0.8,0.8,18.9,20.58
