city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Rome,Italy,41.9028,12.4964,daily,2015-01-01,7.8,-0.9,2.7,0.0,0.0,23.2,8.29
Rome,Italy,41.9028,12.4964,daily,2015-01-02,9.7,0.2,4.8,0.0,0.0,9.5,7.92
Rome,Italy,41.9028,12.4964,daily,2015-01-03,11.9,1.4,7.3,0.0,0.0,9.7,4.53
Rome,Italy,41.9028,12.4964,daily,2015-01-04,14.0,7.6,10.5,0.1,0.1,16.9,6.59
Rome,Italy,41.9028,12.4964,daily,2015-01-05,10.8,2.6,6.7,0.0,0.0,15.8,8.33
Rome,Italy,41.9028,12.4964,daily,2015-01-06,12.3,1.7,6.2,0.0,0.0,7.4,8.01
Rome,Italy,41.9028,12.4964,daily,2015-01-07,12.7,3.4,7.5,0.0,0.0,7.4,6.23
Rome,Italy,41.9028,12.4964,daily,2015-01-08,12.3,4.8,8.6,0.0,0.0,6.0,4.53
Rome,Italy,41.9028,12.4964,daily,2015-01-09,13.2,6.2,9.2,0.0,0.0,7.3,6.61
Rome,Italy,41.9028,12.4964,daily,2015-01-10,14.3,6.5,10.2,0.0,0.0,9.1,6.38
Rome,Italy,41.9028,12.4964,daily,2015-01-11,13.8,8.5,11.1,0.1,0.1,19.2,2.66
Rome,Italy,41.9028,12.4964,daily,2015-01-12,12.7,3.4,7.8,0.0,0.0,12.3,8.78
Rome,Italy,41.9028,12.4964,daily,2015-01-13,12.8,2.0,7.0,0.1,0.1,9.0,8.95
Rome,Italy,41.9028,12.4964,daily,2015-01-14,13.3,5.8,9.2,0.0,0.0,8.9,4.66
Rome,Italy,41.9028,12.4964,daily,2015-01-15,13.2,4.5,8.8,0.0,0.0,12.1,6.79
Rome,Italy,41.9028,12.4964,daily,2015-01-16,14.0,5.6,9.7,0.0,0.0,17.9,7.92
Rome,Italy,41.9028,12.4964,daily,2015-01-17,13.7,8.2,11.1,3.2,3.2,18.1,4.97
Rome,Italy,41.9028,12.4964,daily,2015-01-18,12.0,6.7,9.1,4.4,4.4,8.2,5.48
Rome,Italy,41.9028,12.4964,daily,2015-01-19,12.6,2.8,7.8,1.5,1.5,8.3,8.43
Rome,Italy,41.9028,12.4964,daily,2015-01-20,11.2,7.2,8.8,8.6,8.6,13.8,3.79
Rome,Italy,41.9028,12.4964,daily,2015-01-21,12.0,5.6,8.5,6.1,6.1,15.7,5.34
Rome,Italy,41.9028,12.4964,daily,2015-01-22,11.9,6.7,8.7,2.0,2.0,13.3,5.49
Rome,Italy,41.9028,12.4964,daily,2015-01-23,11.8,7.0,9.0,2.1,2.1,25.2,6.35
Rome,Italy,41.9028,12.4964,daily,2015-01-24,13.2,5.9,8.5,0.0,0.0,17.4,9.29
Rome,Italy,41.9028,12.4964,daily,2015-01-25,11.4,4.0,6.9,0.0,0.0,16.1,9.36
Rome,Italy,41.9028,12.4964,daily,2015-01-26,11.4,3.2,6.6,0.0,0.0,12.2,9.18
Rome,Italy,41.9028,12.4964,daily,2015-01-27,9.3,0.8,4.7,0.0,0.0,15.7,10.4
Rome,Italy,41.9028,12.4964,daily,2015-01-28,9.5,1.7,5.0,0.0,0.0,25.2,10.45
Rome,Italy,41.9028,12.4964,daily,2015-01-29,10.0,-1.0,5.4,11.9,11.9,22.6,3.73
Rome,Italy,41.9028,12.4964,daily,2015-01-30,12.7,4.8,9.3,17.8,17.8,36.0,5.64
Rome,Italy,41.9028,12.4964,daily,2015-01-31,9.3,3.0,6.1,16.2,16.2,11.8,4.91
Rome,Italy,41.9028,12.4964,daily,2015-02-01,8.3,2.1,4.9,3.9,3.9,12.0,7.48
Rome,Italy,41.9028,12.4964,daily,2015-02-02,9.2,1.0,4.4,1.6,1.6,10.7,11.3
Rome,Italy,41.9028,12.4964,daily,2015-02-03,9.1,2.0,6.1,9.5,9.5,18.4,6.4
Rome,Italy,41.9028,12.4964,daily,2015-02-04,11.9,7.1,8.9,13.7,13.7,21.4,5.14
Rome,Italy,41.9028,12.4964,daily,2015-02-05,10.7,5.6,8.6,20.0,20.0,20.9,4.54
Rome,Italy,41.9028,12.4964,daily,2015-02-06,10.0,3.6,6.6,0.5,0.5,10.8,8.19
Rome,Italy,41.9028,12.4964,daily,2015-02-07,10.7,1.2,5.8,5.0,5.0,9.8,9.12
Rome,Italy,41.9028,12.4964,daily,2015-02-08,10.1,-0.9,4.9,0.1,0.1,25.0,10.39
Rome,Italy,41.9028,12.4964,daily,2015-02-09,7.0,1.0,3.8,0.0,0.0,27.9,12.21
Rome,Italy,41.9028,12.4964,daily,2015-02-10,14.0,1.4,6.9,0.0,0.0,14.3,12.1
Rome,Italy,41.9028,12.4964,daily,2015-02-11,14.2,3.0,8.5,0.0,0.0,11.2,12.1
Rome,Italy,41.9028,12.4964,daily,2015-02-12,13.0,4.7,8.5,0.3,0.3,9.7,9.82
Rome,Italy,41.9028,12.4964,daily,2015-02-13,11.8,5.2,8.2,2.1,2.1,6.9,7.27
Rome,Italy,41.9028,12.4964,daily,2015-02-14,11.7,3.8,8.0,0.3,0.3,14.6,10.09
Rome,Italy,41.9028,12.4964,daily,2015-02-15,12.2,6.3,9.1,0.0,0.0,16.3,8.65
Rome,Italy,41.9028,12.4964,daily,2015-02-16,11.0,5.8,8.8,11.4,11.4,17.2,4.49
Rome,Italy,41.9028,12.4964,daily,2015-02-17,16.9,4.6,9.9,0.0,0.0,13.0,13.31
Rome,Italy,41.9028,12.4964,daily,2015-02-18,13.5,4.5,8.5,0.0,0.0,11.5,13.29
