city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Seville,Spain,37.3891,-5.9845,daily,2015-01-01,15.3,1.8,7.6,0.0,0.0,14.3,10.86
Seville,Spain,37.3891,-5.9845,daily,2015-01-02,15.4,4.9,9.1,0.0,0.0,12.5,10.65
Seville,Spain,37.3891,-5.9845,daily,2015-01-03,17.0,5.0,9.8,0.0,0.0,12.0,10.68
Seville,Spain,37.3891,-5.9845,daily,2015-01-04,17.6,3.8,9.7,0.0,0.0,10.0,10.91
Seville,Spain,37.3891,-5.9845,daily,2015-01-05,14.7,2.6,8.4,0.0,0.0,8.0,10.65
Seville,Spain,37.3891,-5.9845,daily,2015-01-06,13.4,2.3,7.7,0.0,0.0,7.4,7.91
Seville,Spain,37.3891,-5.9845,daily,2015-01-07,14.2,2.3,7.1,0.0,0.0,10.0,10.5
Seville,Spain,37.3891,-5.9845,daily,2015-01-08,15.9,4.1,9.1,0.0,0.0,13.0,10.79
Seville,Spain,37.3891,-5.9845,daily,2015-01-09,17.1,6.5,10.8,0.0,0.0,16.9,11.12
Seville,Spain,37.3891,-5.9845,daily,2015-01-10,18.1,6.9,11.3,0.0,0.0,12.3,11.0
Seville,Spain,37.3891,-5.9845,daily,2015-01-11,17.9,3.5,9.8,0.0,0.0,9.4,11.12
Seville,Spain,37.3891,-5.9845,daily,2015-01-12,18.0,6.5,11.0,0.0,0.0,10.4,10.66
Seville,Spain,37.3891,-5.9845,daily,2015-01-13,18.3,5.3,10.6,0.0,0.0,10.2,11.07
Seville,Spain,37.3891,-5.9845,daily,2015-01-14,17.7,5.1,10.8,0.0,0.0,9.7,10.5
Seville,Spain,37.3891,-5.9845,daily,2015-01-15,16.4,6.9,11.4,2.4,2.4,21.4,10.02
Seville,Spain,37.3891,-5.9845,daily,2015-01-16,13.0,7.0,10.2,7.8,7.8,20.8,8.97
Seville,Spain,37.3891,-5.9845,daily,2015-01-17,11.8,2.1,7.1,0.0,0.0,9.6,11.22
Seville,Spain,37.3891,-5.9845,daily,2015-01-18,10.6,7.2,9.2,22.5,22.5,20.1,1.95
Seville,Spain,37.3891,-5.9845,daily,2015-01-19,12.7,6.0,9.3,2.4,2.4,24.5,10.73
Seville,Spain,37.3891,-5.9845,daily,2015-01-20,8.0,2.9,5.6,1.9,1.9,8.9,3.94
