city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Warsaw,Poland,52.2297,21.0122,daily,2015-01-01,2.2,-0.4,0.8,0.2,0.2,17.9,1.34
Warsaw,Poland,52.2297,21.0122,daily,2015-01-02,5.3,-0.5,2.9,3.8,3.8,32.0,0.74
Warsaw,Poland,52.2297,21.0122,daily,2015-01-03,3.5,0.5,2.3,3.2,1.6,33.5,1.81
Warsaw,Poland,52.2297,21.0122,daily,2015-01-04,1.8,0.3,0.9,0.3,0.1,26.7,3.0
Warsaw,Poland,52.2297,21.0122,daily,2015-01-05,1.6,-1.8,-0.3,0.0,0.0,25.0,3.14
Warsaw,Poland,52.2297,21.0122,daily,2015-01-06,-2.3,-10.4,-6.0,0.0,0.0,21.0,3.84
Warsaw,Poland,52.2297,21.0122,daily,2015-01-07,-4.6,-10.9,-7.7,0.7,0.0,20.8,2.04
Warsaw,Poland,52.2297,21.0122,daily,2015-01-08,1.1,-4.2,-0.6,1.0,0.5,24.1,2.03
Warsaw,Poland,52.2297,21.0122,daily,2015-01-09,4.1,0.9,3.0,12.2,9.4,32.0,1.53
Warsaw,Poland,52.2297,21.0122,daily,2015-01-10,10.0,3.2,5.2,6.1,6.1,37.1,0.72
Warsaw,Poland,52.2297,21.0122,daily,2015-01-11,4.0,1.6,2.7,0.1,0.1,35.3,3.41
Warsaw,Poland,52.2297,21.0122,daily,2015-01-12,4.5,1.5,3.1,2.7,2.7,30.7,1.68
Warsaw,Poland,52.2297,21.0122,daily,2015-01-13,6.5,4.3,5.5,0.9,0.9,25.0,0.95
Warsaw,Poland,52.2297,21.0122,daily,2015-01-14,6.9,1.3,4.8,1.2,1.2,20.9,1.84
Warsaw,Poland,52.2297,21.0122,daily,2015-01-15,3.4,0.2,1.4,0.0,0.0,19.1,1.89
Warsaw,Poland,52.2297,21.0122,daily,2015-01-16,7.6,1.4,3.9,0.0,0.0,19.1,3.98
Warsaw,Poland,52.2297,21.0122,daily,2015-01-17,7.8,2.0,4.1,0.3,0.3,18.3,3.48
Warsaw,Poland,52.2297,21.0122,daily,2015-01-18,3.5,-0.6,1.8,1.8,1.8,6.9,2.61
Warsaw,Poland,52.2297,21.0122,daily,2015-01-19,0.2,-1.5,-0.5,0.0,0.0,13.7,2.46
Warsaw,Poland,52.2297,21.0122,daily,2015-01-20,1.1,-1.0,0.0,1.4,0.0,15.5,1.38
Warsaw,Poland,52.2297,21.0122,daily,2015-01-21,4.8,0.3,1.9,0.3,0.0,10.2,2.07
Warsaw,Poland,52.2297,21.0122,daily,2015-01-22,2.9,0.5,1.3,6.6,1.6,13.1,2.23
Warsaw,Poland,52.2297,21.0122,daily,2015-01-23,1.6,-0.7,0.5,1.8,0.6,13.7,1.31
Warsaw,Poland,52.2297,21.0122,daily,2015-01-24,0.3,-1.2,-0.5,1.5,0.0,11.8,1.19
Warsaw,Poland,52.2297,21.0122,daily,2015-01-25,-0.5,-1.9,-1.0,3.1,0.0,15.4,1.58
Warsaw,Poland,52.2297,21.0122,daily,2015-01-26,0.5,-3.7,-1.6,0.0,0.0,11.5,2.24
Warsaw,Poland,52.2297,21.0122,daily,2015-01-27,1.0,-3.2,-0.7,0.8,0.1,18.5,3.0
Warsaw,Poland,52.2297,21.0122,daily,2015-01-28,1.6,-0.9,0.6,1.6,1.3,20.0,2.28
Warsaw,Poland,52.2297,21.0122,daily,2015-01-29,2.4,-2.3,0.2,1.0,0.0,24.3,2.47
Warsaw,Poland,52.2297,21.0122,daily,2015-01-30,3.2,-2.7,0.7,1.8,1.8,21.4,3.19
