city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Zagreb,Croatia,45.815,15.9819,daily,2015-01-01,-4.3,-19.2,-10.4,0.0,0.0,6.3,1.7
Zagreb,Croatia,45.815,15.9819,daily,2015-01-02,3.1,-8.4,-1.9,0.2,0.2,8.1,6.07
Zagreb,Croatia,45.815,15.9819,daily,2015-01-03,4.5,-5.0,0.3,1.9,1.9,7.6,3.0
Zagreb,Croatia,45.815,15.9819,daily,2015-01-04,6.2,-3.4,1.1,1.0,1.0,9.4,6.42
Zagreb,Croatia,45.815,15.9819,daily,2015-01-05,3.2,-6.3,-0.6,0.4,0.3,8.1,5.22
Zagreb,Croatia,45.815,15.9819,daily,2015-01-06,4.1,-2.5,0.7,0.0,0.0,6.9,4.6
Zagreb,Croatia,45.815,15.9819,daily,2015-01-07,1.3,-2.8,-1.0,0.0,0.0,5.9,4.33
Zagreb,Croatia,45.815,15.9819,daily,2015-01-08,1.8,-2.3,-0.2,0.0,0.0,7.7,3.65
Zagreb,Croatia,45.815,15.9819,daily,2015-01-09,4.4,-1.7,2.2,0.1,0.1,14.3,3.42
Zagreb,Croatia,45.815,15.9819,daily,2015-01-10,9.4,3.6,5.4,0.0,0.0,16.5,5.34
Zagreb,Croatia,45.815,15.9819,daily,2015-01-11,10.8,0.8,3.9,8.7,8.6,21.6,2.79
Zagreb,Croatia,45.815,15.9819,daily,2015-01-12,8.6,-3.8,1.6,0.0,0.0,10.4,5.78
Zagreb,Croatia,45.815,15.9819,daily,2015-01-13,10.6,-2.0,3.3,0.0,0.0,13.6,6.98
Zagreb,Croatia,45.815,15.9819,daily,2015-01-14,11.2,0.7,5.3,0.3,0.3,15.6,6.31
Zagreb,Croatia,45.815,15.9819,daily,2015-01-15,9.1,-0.0,4.3,0.0,0.0,11.3,4.86
Zagreb,Croatia,45.815,15.9819,daily,2015-01-16,13.8,4.1,7.6,0.0,0.0,17.1,6.74
Zagreb,Croatia,45.815,15.9819,daily,2015-01-17,13.6,2.5,7.9,0.0,0.0,17.9,4.49
Zagreb,Croatia,45.815,15.9819,daily,2015-01-18,8.5,4.3,6.5,0.3,0.3,8.9,3.39
Zagreb,Croatia,45.815,15.9819,daily,2015-01-19,6.1,3.4,5.2,0.2,0.2,7.7,1.35
Zagreb,Croatia,45.815,15.9819,daily,2015-01-20,6.2,2.5,4.4,2.6,2.6,5.5,2.96
Zagreb,Croatia,45.815,15.9819,daily,2015-01-21,6.4,4.7,5.5,0.1,0.1,8.8,0.91
Zagreb,Croatia,45.815,15.9819,daily,2015-01-22,7.6,5.5,6.3,0.1,0.1,10.7,1.6
Zagreb,Croatia,45.815,15.9819,daily,2015-01-23,6.1,3.7,5.4,18.3,18.3,25.3,0.55
Zagreb,Croatia,45.815,15.9819,daily,2015-01-24,3.3,1.0,1.9,12.0,6.2,21.8,1.83
Zagreb,Croatia,45.815,15.9819,daily,2015-01-25,3.1,0.8,1.7,4.5,1.9,13.5,2.89
Zagreb,Croatia,45.815,15.9819,daily,2015-01-26,3.6,-0.0,1.6,0.0,0.0,16.7,5.53
Zagreb,Croatia,45.815,15.9819,daily,2015-01-27,3.2,-1.5,0.3,1.0,0.5,6.2,4.44
Zagreb,Croatia,45.815,15.9819,daily,2015-01-28,4.1,-2.9,0.5,0.0,0.0,10.4,6.61
Zagreb,Croatia,45.815,15.9819,daily,2015-01-29,3.6,-3.7,0.2,0.6,0.6,10.8,3.91
Zagreb,Croatia,45.815,15.9819,daily,2015-01-30,6.9,0.4,2.3,15.3,12.7,19.9,2.44
Zagreb,Croatia,45.815,15.9819,daily,2015-01-31,5.5,-3.3,1.3,0.1,0.0,11.6,9.09
Zagreb,Croatia,45.815,15.9819,daily,2015-02-01,5.0,-2.3,1.0,6.2,3.9,10.7,5.6
Zagreb,Croatia,45.815,15.9819,daily,2015-02-02,4.5,-2.5,1.4,0.5,0.1,10.0,9.13
Zagreb,Croatia,45.815,15.9819,daily,2015-02-03,6.0,-1.6,1.0,0.5,0.2,6.8,7.66
Zagreb,Croatia,45.815,15.9819,daily,2015-02-04,3.8,-2.5,0.7,3.2,1.5,17.2,2.91
Zagreb,Croatia,45.815,15.9819,daily,2015-02-05,1.5,-0.0,0.8,12.4,1.5,22.6,1.71
Zagreb,Croatia,45.815,15.9819,daily,2015-02-06,0.6,-1.6,-0.9,28.1,0.1,26.9,1.34
Zagreb,Croatia,45.815,15.9819,daily,2015-02-07,0.2,-10.2,-2.6,1.0,0.0,17.1,5.47
Zagreb,Croatia,45.815,15.9819,daily,2015-02-08,1.4,-14.6,-5.7,0.1,0.1,17.8,8.0
Zagreb,Croatia,45.815,15.9819,daily,2015-02-09,-0.9,-10.7,-3.8,4.0,0.0,10.2,5.66
Zagreb,Croatia,45.815,15.9819,daily,2015-02-10,2.9,-1.8,0.4,1.4,1.0,6.5,3.22
Zagreb,Croatia,45.815,15.9819,daily,2015-02-11,6.1,0.9,3.0,0.0,0.0,5.8,5.71
Zagreb,Croatia,45.815,15.9819,daily,2015-02-12,5.0,0.5,2.4,0.0,0.0,5.2,4.88
Zagreb,Croatia,45.815,15.9819,daily,2015-02-13,5.6,-1.7,1.4,0.0,0.0,6.1,10.69
Zagreb,Croatia,45.815,15.9819,daily,2015-02-14,6.5,-1.1,2.5,0.0,0.0,8.2,9.44
