city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-01,1.8,-5.9,-2.2,0.0,0.0,9.1,5.31
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-02,4.4,-4.4,0.5,2.8,2.8,10.0,3.23
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-03,8.8,1.4,4.5,12.0,12.0,26.0,1.84
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-04,7.9,0.8,3.2,4.1,4.1,18.5,4.21
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-05,4.9,-0.3,1.9,0.0,0.0,4.0,5.73
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-06,6.8,-0.3,2.4,0.0,0.0,6.6,5.69
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-07,3.7,-0.4,1.4,0.0,0.0,6.1,2.99
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-08,6.8,0.1,3.9,0.9,0.9,20.2,4.14
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-09,10.1,2.6,6.9,3.0,3.0,30.5,1.77
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-10,13.3,9.5,11.3,4.4,4.4,24.8,2.87
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-11,9.0,1.6,4.2,13.1,10.7,21.5,3.68
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-12,8.4,-0.9,2.6,0.0,0.0,12.9,5.01
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-13,9.2,-1.3,2.0,0.0,0.0,8.6,6.36
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-14,6.0,0.1,3.5,11.2,11.2,18.5,2.02
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-15,10.0,0.0,3.9,0.0,0.0,4.9,5.25
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-16,8.4,2.5,4.5,6.2,5.9,11.8,3.65
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-17,2.6,0.5,1.7,12.9,7.0,9.2,1.53
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-18,3.2,-2.4,0.2,0.0,0.0,5.4,4.72
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-19,4.1,-0.8,1.6,0.3,0.1,3.9,5.27
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-20,3.4,-1.4,1.0,4.7,0.9,7.4,2.7
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-21,3.7,-1.6,0.4,0.0,0.0,8.2,5.28
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-22,4.2,-0.8,1.1,0.0,0.0,6.3,5.15
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-23,2.0,-1.1,0.2,0.0,0.0,7.7,2.29
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-24,2.1,-2.1,-0.2,1.0,0.0,10.1,3.13
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-25,1.5,-0.9,0.0,2.5,0.0,10.6,5.16
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-26,1.7,-0.9,0.2,6.2,0.3,10.5,3.48
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-27,2.4,-2.1,0.5,2.6,0.5,11.6,5.37
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-28,2.8,-2.5,0.1,1.1,0.2,12.2,5.79
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-29,3.5,0.4,2.0,12.2,6.8,11.4,3.52
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-30,1.4,-1.1,0.1,10.1,0.8,24.3,5.85
Zurich,Switzerland,47.3769,8.5417,daily,2015-01-31,2.4,-2.5,-0.2,1.7,0.0,9.6,5.84
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-01,1.0,-5.0,-1.4,4.8,0.2,15.7,5.57
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-02,0.4,-2.4,-1.0,7.3,0.1,18.4,4.27
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-03,-0.2,-7.3,-3.8,0.0,0.0,11.0,7.83
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-04,-0.6,-7.9,-3.5,0.0,0.0,15.9,6.68
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-05,-1.9,-4.0,-2.9,1.6,0.0,21.5,3.41
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-06,-1.0,-4.1,-2.4,0.0,0.0,26.9,3.74
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-07,-0.3,-5.7,-3.4,0.0,0.0,20.6,9.28
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-08,0.3,-4.5,-2.1,0.9,0.0,9.4,3.99
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-09,1.7,-2.1,-0.6,0.0,0.0,6.0,3.99
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-10,4.0,-4.2,-0.9,0.0,0.0,10.9,9.44
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-11,6.6,-1.8,1.3,0.0,0.0,8.1,9.89
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-12,8.2,-2.8,2.0,0.0,0.0,2.5,10.44
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-13,7.3,-6.2,1.2,0.0,0.0,5.4,9.02
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-14,6.5,-0.2,2.2,0.1,0.1,8.4,7.77
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-15,4.7,-2.2,1.0,0.0,0.0,6.7,7.95
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-16,6.7,-2.8,1.1,0.0,0.0,6.0,10.89
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-17,6.2,-2.5,1.2,0.0,0.0,9.2,10.83
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-18,3.7,-2.7,0.1,0.0,0.0,12.6,8.37
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-19,8.8,-3.4,2.2,0.0,0.0,4.2,11.55
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-20,10.8,-0.3,4.1,0.0,0.0,7.9,12.11
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-21,6.0,-0.1,2.3,4.4,2.5,11.3,5.38
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-22,4.4,-1.4,1.1,2.2,0.2,6.4,8.75
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-23,3.5,-1.6,1.2,8.8,7.2,8.2,2.4
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-24,4.5,-0.1,1.9,1.2,1.2,11.9,6.75
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-25,5.7,-0.9,2.2,0.2,0.0,5.9,10.81
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-26,6.8,-0.5,2.8,0.0,0.0,6.9,13.26
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-27,3.5,1.1,1.9,10.1,4.3,13.9,2.43
Zurich,Switzerland,47.3769,8.5417,daily,2015-02-28,5.7,-0.2,2.6,0.3,0.1,8.6,8.88
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-01,9.1,-0.5,4.3,2.6,1.8,11.8,2.76
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-02,8.6,1.5,6.0,16.6,16.6,22.0,5.94
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-03,9.3,-1.4,3.6,0.0,0.0,12.4,11.01
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-04,5.6,-1.4,2.5,3.8,3.0,11.6,8.38
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-05,5.0,-2.2,1.1,1.0,0.2,14.7,10.9
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-06,7.5,-2.2,2.2,0.0,0.0,9.7,14.71
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-07,11.0,-1.0,4.4,0.0,0.0,7.1,13.42
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-08,13.5,0.9,7.0,0.0,0.0,8.2,14.28
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-09,13.8,2.5,7.6,0.0,0.0,7.6,15.23
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-10,13.7,1.3,7.5,0.0,0.0,7.5,13.69
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-11,7.9,-0.4,4.7,0.0,0.0,10.2,5.95
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-12,8.6,-2.0,3.0,0.0,0.0,18.1,16.16
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-13,9.3,-0.9,3.4,0.0,0.0,11.7,16.44
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-14,8.8,-2.4,2.8,0.0,0.0,11.4,16.17
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-15,11.0,-0.9,4.5,0.0,0.0,14.1,15.64
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-16,14.5,3.5,8.4,0.0,0.0,7.3,14.91
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-17,16.5,4.2,9.9,0.0,0.0,5.9,16.55
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-18,16.2,2.6,9.5,0.0,0.0,8.0,15.92
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-19,14.6,3.7,9.2,0.0,0.0,10.0,15.64
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-20,14.4,2.9,8.8,0.0,0.0,8.9,17.88
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-21,12.1,4.5,7.5,6.3,6.3,10.5,7.31
Zurich,Switzerland,47.3769,8.5417,daily,2015-03-22,8.8,2.0,4.8,2.4,2.4,22.5,10.54
