city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Barcelona,Spain,41.3851,2.1734,daily,2015-01-01,11.6,3.7,6.9,0.0,0.0,15.8,7.75
Barcelona,Spain,41.3851,2.1734,daily,2015-01-02,13.3,3.0,7.3,0.0,0.0,9.5,8.51
Barcelona,Spain,41.3851,2.1734,daily,2015-01-03,14.8,4.8,8.6,0.0,0.0,10.0,8.44
Barcelona,Spain,41.3851,2.1734,daily,2015-01-04,14.9,6.2,9.7,0.0,0.0,8.7,8.54
Barcelona,Spain,41.3851,2.1734,daily,2015-01-05,12.9,5.5,8.6,0.0,0.0,9.7,8.38
Barcelona,Spain,41.3851,2.1734,daily,2015-01-06,12.1,6.2,8.7,0.0,0.0,11.5,7.69
Barcelona,Spain,41.3851,2.1734,daily,2015-01-07,12.4,5.1,8.4,0.0,0.0,11.8,6.71
Barcelona,Spain,41.3851,2.1734,daily,2015-01-08,12.9,4.6,7.4,0.0,0.0,11.0,8.87
Barcelona,Spain,41.3851,2.1734,daily,2015-01-09,14.5,4.6,8.2,0.0,0.0,9.3,8.98
Barcelona,Spain,41.3851,2.1734,daily,2015-01-10,16.5,6.7,10.2,0.0,0.0,11.3,8.8
Barcelona,Spain,41.3851,2.1734,daily,2015-01-11,14.3,4.9,9.9,0.0,0.0,9.2,8.16
Barcelona,Spain,41.3851,2.1734,daily,2015-01-12,15.3,5.5,9.7,0.0,0.0,14.9,9.28
Barcelona,Spain,41.3851,2.1734,daily,2015-01-13,14.6,8.4,11.0,0.0,0.0,18.2,6.42
Barcelona,Spain,41.3851,2.1734,daily,2015-01-14,13.8,6.2,9.6,0.0,0.0,12.0,9.22
Barcelona,Spain,41.3851,2.1734,daily,2015-01-15,14.8,5.0,9.5,0.0,0.0,16.3,8.9
Barcelona,Spain,41.3851,2.1734,daily,2015-01-16,12.6,5.7,8.8,1.1,1.1,18.3,4.41
Barcelona,Spain,41.3851,2.1734,daily,2015-01-17,10.7,4.3,7.8,0.0,0.0,11.9,8.41
Barcelona,Spain,41.3851,2.1734,daily,2015-01-18,11.5,2.1,7.0,1.1,1.1,18.9,8.98
Barcelona,Spain,41.3851,2.1734,daily,2015-01-19,8.3,6.6,7.3,10.9,10.9,16.5,1.61
Barcelona,Spain,41.3851,2.1734,daily,2015-01-20,8.9,6.2,7.4,0.4,0.4,8.6,5.72
Barcelona,Spain,41.3851,2.1734,daily,2015-01-21,9.5,3.6,6.6,0.0,0.0,8.7,9.19
Barcelona,Spain,41.3851,2.1734,daily,2015-01-22,11.3,3.4,7.3,0.0,0.0,15.8,9.79
Barcelona,Spain,41.3851,2.1734,daily,2015-01-23,11.9,1.6,6.2,0.0,0.0,18.9,10.41
Barcelona,Spain,41.3851,2.1734,daily,2015-01-24,12.4,2.8,7.3,0.0,0.0,13.0,10.18
