city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-01,-7.3,-17.6,-11.9,0.0,0.0,11.9,6.79
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-02,0.0,-10.7,-4.4,0.2,0.2,9.1,5.15
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-03,3.3,-2.8,0.2,1.2,1.2,13.6,4.9
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-04,3.1,-1.4,1.0,3.9,3.8,27.2,4.09
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-05,1.6,-1.9,-0.4,5.0,0.1,22.7,5.58
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-06,0.2,-5.6,-1.8,0.4,0.0,18.3,5.48
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-07,-4.0,-11.3,-7.8,0.0,0.0,10.0,5.92
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-08,-2.1,-12.3,-5.3,0.2,0.0,15.1,1.83
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-09,4.5,-1.7,1.5,0.0,0.0,13.4,5.53
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-10,7.7,-0.8,4.0,5.8,5.8,13.1,0.94
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-11,10.2,-1.4,2.8,3.2,3.1,24.6,6.64
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-12,5.4,-1.0,1.3,0.5,0.5,22.1,5.04
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-13,10.3,-2.0,2.4,0.0,0.0,11.9,7.55
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-14,9.7,-4.2,1.3,0.0,0.0,9.6,7.8
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-15,8.5,0.7,3.8,0.0,0.0,16.6,7.55
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-16,10.5,0.0,4.2,0.0,0.0,17.8,7.62
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-17,12.3,1.8,6.6,0.0,0.0,19.3,7.23
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-18,11.2,5.4,7.9,5.8,5.8,17.1,2.57
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-19,8.3,3.0,6.0,1.8,1.8,9.0,3.65
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-20,10.4,4.8,7.2,0.8,0.8,14.8,3.91
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-21,10.6,4.4,6.9,0.9,0.9,13.8,5.61
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-22,12.0,3.3,6.8,0.4,0.4,21.3,7.78
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-23,8.9,5.2,6.6,3.3,3.3,20.9,2.72
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-24,6.4,1.8,4.3,7.4,7.4,12.8,1.49
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-25,2.9,0.1,1.4,2.4,0.9,13.5,2.88
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-26,3.0,-0.2,1.3,0.6,0.0,11.3,2.26
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-27,2.9,0.2,1.2,1.2,0.8,10.3,3.0
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-28,2.7,-0.7,0.9,0.8,0.3,11.0,3.49
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-29,8.0,-1.8,2.5,0.0,0.0,15.5,7.69
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-30,9.9,3.6,7.3,1.7,1.7,34.3,4.75
Belgrade,Serbia,44.7866,20.4489,daily,2015-01-31,7.2,0.6,3.3,0.0,0.0,15.2,9.14
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-01,4.2,1.1,2.1,8.9,8.4,17.5,1.75
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-02,4.6,-0.7,1.5,3.0,1.5,14.7,5.47
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-03,7.2,-2.8,2.0,0.0,0.0,14.0,9.8
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-04,8.3,1.9,4.1,3.3,3.3,21.7,4.1
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-05,6.7,1.1,3.4,1.5,1.5,16.2,3.33
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-06,5.1,0.0,2.8,16.8,5.2,26.7,3.32
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-07,2.1,-0.8,0.5,1.2,0.0,7.7,5.99
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-08,1.0,-2.9,-0.9,4.2,0.0,28.7,4.15
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-09,-0.1,-4.0,-2.4,0.5,0.0,23.0,8.23
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-10,2.5,-2.1,0.2,0.5,0.0,15.9,6.59
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-11,4.1,-0.5,1.3,0.0,0.0,13.3,6.35
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-12,3.6,-3.4,-0.5,0.0,0.0,8.1,11.31
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-13,8.2,-4.0,1.3,0.0,0.0,10.2,11.56
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-14,9.8,-1.8,2.8,0.0,0.0,13.0,11.85
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-15,9.8,-0.4,3.3,0.0,0.0,17.1,11.89
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-16,7.9,-0.6,2.6,0.0,0.0,19.3,11.35
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-17,3.5,-4.4,-0.2,0.0,0.0,19.8,11.69
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-18,3.4,-4.9,-1.6,0.0,0.0,10.9,12.75
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-19,5.1,-4.8,-0.3,0.0,0.0,9.7,12.15
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-20,7.2,-3.1,1.2,0.0,0.0,11.2,12.65
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-21,12.2,-1.3,4.8,0.0,0.0,14.1,13.18
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-22,10.6,3.8,6.9,5.2,5.2,24.6,5.63
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-23,14.8,5.2,8.9,3.5,3.5,19.7,12.51
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-24,15.3,4.6,9.0,0.0,0.0,15.7,12.31
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-25,10.3,4.9,7.5,7.3,7.3,9.8,4.64
Belgrade,Serbia,44.7866,20.4489,daily,2015-02-26,7.3,4.1,5.9,3.4,3.4,16.6,3.15
