city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Brussels,Belgium,50.8503,4.3517,daily,2015-01-01,3.5,-0.2,1.7,0.0,0.0,31.3,3.2
Brussels,Belgium,50.8503,4.3517,daily,2015-01-02,9.8,2.5,6.1,1.3,1.3,32.0,2.38
Brussels,Belgium,50.8503,4.3517,daily,2015-01-03,3.4,1.7,2.4,13.1,11.5,18.9,0.46
Brussels,Belgium,50.8503,4.3517,daily,2015-01-04,5.6,-0.5,2.7,0.0,0.0,12.2,3.41
Brussels,Belgium,50.8503,4.3517,daily,2015-01-05,3.6,-0.8,0.8,0.0,0.0,14.9,3.79
Brussels,Belgium,50.8503,4.3517,daily,2015-01-06,5.3,-1.6,1.5,0.0,0.0,21.8,3.46
Brussels,Belgium,50.8503,4.3517,daily,2015-01-07,4.7,-0.3,2.3,0.0,0.0,25.8,3.6
Brussels,Belgium,50.8503,4.3517,daily,2015-01-08,9.3,4.1,6.5,15.9,15.9,33.6,0.23
Brussels,Belgium,50.8503,4.3517,daily,2015-01-09,12.6,5.2,9.4,1.5,1.5,38.6,1.07
Brussels,Belgium,50.8503,4.3517,daily,2015-01-10,12.4,4.2,9.7,1.6,1.6,40.0,0.9
Brussels,Belgium,50.8503,4.3517,daily,2015-01-11,6.9,3.1,5.0,0.0,0.0,31.4,3.86
Brussels,Belgium,50.8503,4.3517,daily,2015-01-12,9.8,6.6,8.2,0.0,0.0,35.3,0.84
Brussels,Belgium,50.8503,4.3517,daily,2015-01-13,10.9,6.1,9.2,4.2,4.2,38.0,0.7
Brussels,Belgium,50.8503,4.3517,daily,2015-01-14,5.9,3.2,4.4,6.9,6.7,32.3,2.97
Brussels,Belgium,50.8503,4.3517,daily,2015-01-15,9.6,6.0,8.1,5.6,5.6,44.4,0.87
Brussels,Belgium,50.8503,4.3517,daily,2015-01-16,7.3,3.2,5.1,0.5,0.5,24.8,4.82
Brussels,Belgium,50.8503,4.3517,daily,2015-01-17,3.7,-1.0,1.6,0.0,0.0,22.2,5.28
Brussels,Belgium,50.8503,4.3517,daily,2015-01-18,4.0,0.8,2.0,6.4,4.6,21.3,3.4
Brussels,Belgium,50.8503,4.3517,daily,2015-01-19,2.7,-1.1,0.9,6.0,0.3,8.3,2.64
Brussels,Belgium,50.8503,4.3517,daily,2015-01-20,3.0,-2.8,-0.0,0.0,0.0,9.7,4.16
Brussels,Belgium,50.8503,4.3517,daily,2015-01-21,3.1,-1.7,0.0,0.0,0.0,12.2,4.98
Brussels,Belgium,50.8503,4.3517,daily,2015-01-22,0.6,-2.1,-0.7,0.0,0.0,13.1,3.35
Brussels,Belgium,50.8503,4.3517,daily,2015-01-23,1.6,-1.5,-0.3,0.0,0.0,14.7,4.09
Brussels,Belgium,50.8503,4.3517,daily,2015-01-24,5.2,-1.1,1.6,6.4,1.6,24.3,4.27
Brussels,Belgium,50.8503,4.3517,daily,2015-01-25,4.9,0.4,2.9,0.5,0.5,17.1,2.13
Brussels,Belgium,50.8503,4.3517,daily,2015-01-26,8.0,3.4,5.5,1.8,1.8,20.9,0.66
Brussels,Belgium,50.8503,4.3517,daily,2015-01-27,6.1,2.1,3.7,0.5,0.5,16.6,3.74
