city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Budapest,Hungary,47.4979,19.0402,daily,2015-01-01,-0.1,-7.3,-3.4,0.0,0.0,7.1,3.71
Budapest,Hungary,47.4979,19.0402,daily,2015-01-02,4.6,-3.6,0.6,2.3,2.3,19.7,4.6
Budapest,Hungary,47.4979,19.0402,daily,2015-01-03,4.9,0.9,2.5,2.9,0.6,21.6,4.28
Budapest,Hungary,47.4979,19.0402,daily,2015-01-04,4.4,0.3,1.8,2.3,0.0,25.1,5.31
Budapest,Hungary,47.4979,19.0402,daily,2015-01-05,2.9,-0.8,0.7,1.2,0.2,23.3,4.63
Budapest,Hungary,47.4979,19.0402,daily,2015-01-06,1.6,-5.0,-1.8,0.0,0.0,17.2,5.53
Budapest,Hungary,47.4979,19.0402,daily,2015-01-07,-3.8,-6.5,-5.2,0.0,0.0,10.2,3.34
Budapest,Hungary,47.4979,19.0402,daily,2015-01-08,-1.8,-5.0,-3.4,0.0,0.0,10.2,2.95
Budapest,Hungary,47.4979,19.0402,daily,2015-01-09,7.2,-2.1,3.5,2.1,2.1,26.3,3.54
Budapest,Hungary,47.4979,19.0402,daily,2015-01-10,11.4,4.7,7.7,7.1,7.1,25.2,0.87
Budapest,Hungary,47.4979,19.0402,daily,2015-01-11,12.0,2.1,5.2,4.0,4.0,27.1,1.15
Budapest,Hungary,47.4979,19.0402,daily,2015-01-12,7.3,1.3,3.6,0.3,0.1,24.9,5.62
Budapest,Hungary,47.4979,19.0402,daily,2015-01-13,8.2,-2.1,2.0,0.0,0.0,11.0,5.98
Budapest,Hungary,47.4979,19.0402,daily,2015-01-14,6.8,-2.4,1.8,0.1,0.1,8.2,5.85
Budapest,Hungary,47.4979,19.0402,daily,2015-01-15,6.4,0.6,2.9,0.0,0.0,19.2,6.33
Budapest,Hungary,47.4979,19.0402,daily,2015-01-16,10.8,1.5,5.1,0.0,0.0,18.1,5.5
Budapest,Hungary,47.4979,19.0402,daily,2015-01-17,9.6,1.9,5.2,0.0,0.0,12.6,4.1
Budapest,Hungary,47.4979,19.0402,daily,2015-01-18,6.8,3.1,4.5,0.0,0.0,8.2,2.29
