city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-01,14.1,9.1,11.6,3.2,3.2,38.3,0.76
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-02,7.8,5.0,5.9,0.0,0.0,33.6,3.39
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-03,5.7,2.3,4.5,9.5,8.6,18.4,1.45
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-04,7.0,-0.4,3.8,0.0,0.0,16.4,1.74
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-05,10.2,6.6,8.8,0.0,0.0,21.0,0.84
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-06,9.4,3.5,5.7,2.2,2.2,27.2,3.42
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-07,11.8,5.6,9.1,3.2,3.2,35.5,0.73
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-08,8.8,5.3,6.5,2.9,2.9,38.4,3.29
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-09,13.8,7.4,10.9,0.9,0.9,42.3,1.26
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-10,13.1,3.3,6.7,1.6,1.6,42.1,3.74
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-11,7.8,3.0,5.6,0.0,0.0,32.4,2.29
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-12,9.6,4.7,6.8,3.1,3.1,36.2,2.97
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-13,4.6,0.6,2.3,0.0,0.0,28.9,3.53
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-14,9.4,0.2,3.6,8.6,8.6,44.2,2.02
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-15,5.9,3.0,4.3,0.6,0.6,43.5,3.79
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-16,3.8,1.1,2.2,0.0,0.0,26.9,4.29
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-17,4.0,0.8,1.8,0.0,0.0,23.9,3.99
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-18,5.1,-0.9,1.8,0.0,0.0,25.3,3.63
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-19,2.0,-2.3,0.3,0.0,0.0,15.0,2.9
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-20,4.5,2.4,3.5,6.0,5.9,19.1,1.15
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-21,3.9,0.3,2.1,1.0,1.0,16.8,3.18
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-22,4.3,-0.1,1.8,0.0,0.0,13.6,2.95
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-23,9.6,2.3,6.1,2.5,2.5,25.5,0.9
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-24,6.3,1.5,3.5,0.0,0.0,21.9,4.95
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-25,11.1,3.2,7.7,0.6,0.6,23.2,2.94
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-26,9.1,4.8,6.2,0.4,0.4,23.2,3.91
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-27,7.7,5.2,6.3,0.0,0.0,22.7,3.14
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-28,9.1,2.0,4.8,1.3,1.3,39.4,5.02
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-29,3.6,1.4,2.3,1.5,0.6,41.1,4.61
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-30,5.1,2.0,3.5,1.2,1.0,39.9,4.85
Dublin,Ireland,53.3498,-6.2603,daily,2015-01-31,4.3,1.6,2.7,0.0,0.0,36.1,5.73
Dublin,Ireland,53.3498,-6.2603,daily,2015-02-01,3.6,-0.2,1.5,0.0,0.0,27.3,5.89
