city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Helsinki,Finland,60.1699,24.9384,daily,2015-01-01,3.0,1.1,1.9,0.0,0.0,18.3,0.51
Helsinki,Finland,60.1699,24.9384,daily,2015-01-02,5.0,1.9,3.1,9.0,8.6,35.5,0.13
Helsinki,Finland,60.1699,24.9384,daily,2015-01-03,2.1,0.2,1.4,2.4,0.8,32.1,0.44
Helsinki,Finland,60.1699,24.9384,daily,2015-01-04,0.0,-4.7,-2.3,0.0,0.0,22.6,0.66
Helsinki,Finland,60.1699,24.9384,daily,2015-01-05,-5.4,-11.5,-9.0,0.0,0.0,19.5,1.02
Helsinki,Finland,60.1699,24.9384,daily,2015-01-06,-5.6,-12.1,-9.7,0.0,0.0,17.8,1.27
Helsinki,Finland,60.1699,24.9384,daily,2015-01-07,-2.4,-5.3,-3.4,0.0,0.0,25.9,0.57
Helsinki,Finland,60.1699,24.9384,daily,2015-01-08,2.7,-2.4,0.8,5.2,2.3,25.5,0.32
Helsinki,Finland,60.1699,24.9384,daily,2015-01-09,1.6,-1.4,-0.3,0.0,0.0,14.2,0.71
Helsinki,Finland,60.1699,24.9384,daily,2015-01-10,-0.4,-2.0,-1.2,2.6,0.0,27.5,0.79
Helsinki,Finland,60.1699,24.9384,daily,2015-01-11,-1.1,-13.5,-6.1,6.3,0.0,28.5,0.68
Helsinki,Finland,60.1699,24.9384,daily,2015-01-12,-2.9,-14.4,-11.7,2.5,0.0,25.0,1.14
Helsinki,Finland,60.1699,24.9384,daily,2015-01-13,2.6,-2.0,0.3,4.1,0.6,31.0,1.29
Helsinki,Finland,60.1699,24.9384,daily,2015-01-14,2.3,0.1,1.2,4.7,0.5,23.7,1.35
Helsinki,Finland,60.1699,24.9384,daily,2015-01-15,1.8,0.1,0.8,0.0,0.0,25.0,1.38
Helsinki,Finland,60.1699,24.9384,daily,2015-01-16,3.7,0.1,2.3,10.3,1.8,34.4,0.87
Helsinki,Finland,60.1699,24.9384,daily,2015-01-17,3.4,0.6,2.2,2.0,1.4,30.8,1.05
Helsinki,Finland,60.1699,24.9384,daily,2015-01-18,2.0,-0.2,1.0,0.2,0.2,21.0,1.01
Helsinki,Finland,60.1699,24.9384,daily,2015-01-19,0.2,-2.8,-1.2,0.4,0.0,16.5,0.9
Helsinki,Finland,60.1699,24.9384,daily,2015-01-20,-1.8,-2.9,-2.3,0.0,0.0,16.6,0.78
Helsinki,Finland,60.1699,24.9384,daily,2015-01-21,-2.6,-5.2,-3.5,0.0,0.0,20.7,1.36
