city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-01,12.9,6.4,9.4,0.0,0.0,12.3,10.0
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-02,12.9,5.6,9.1,0.0,0.0,12.9,10.06
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-03,13.0,5.5,9.1,0.0,0.0,11.7,10.14
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-04,13.8,6.3,9.6,0.0,0.0,12.0,10.24
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-05,11.9,4.3,8.3,0.0,0.0,10.9,8.93
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-06,12.1,8.0,10.0,0.0,0.0,10.6,8.75
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-07,11.4,4.7,8.0,0.0,0.0,12.5,9.17
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-08,12.5,4.4,8.4,0.0,0.0,17.1,10.32
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-09,13.5,5.6,9.3,0.0,0.0,17.3,10.54
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-10,14.9,5.9,9.9,0.0,0.0,13.0,10.27
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-11,13.7,9.0,11.1,0.0,0.0,18.1,10.26
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-12,14.5,6.1,10.2,0.0,0.0,11.4,9.92
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-13,12.8,6.9,10.2,0.1,0.1,11.2,7.38
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-14,13.7,10.8,11.8,0.1,0.1,10.7,8.7
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-15,14.2,11.0,12.6,13.1,13.1,37.6,5.32
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-16,11.4,9.1,10.1,2.2,2.2,30.6,8.1
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-17,11.4,8.5,10.0,8.7,8.7,33.7,5.72
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-18,12.5,10.2,11.8,9.0,9.0,44.7,6.01
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-19,11.4,8.3,9.8,0.0,0.0,47.4,10.97
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-20,10.9,9.3,10.1,3.4,3.4,33.3,8.5
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-21,11.6,8.9,10.1,2.0,2.0,35.2,6.83
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-22,12.3,10.0,11.1,0.5,0.5,31.2,3.55
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-23,13.9,10.8,12.2,0.0,0.0,25.5,8.6
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-24,13.1,9.2,10.9,0.0,0.0,19.8,11.22
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-25,14.2,6.8,10.1,0.0,0.0,20.9,12.07
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-26,13.7,8.8,10.8,0.0,0.0,28.0,12.12
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-27,13.7,9.1,11.0,0.0,0.0,25.0,11.93
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-28,13.3,9.6,11.3,0.0,0.0,37.5,11.8
Lisbon,Portugal,38.7223,-9.1393,daily,2015-01-29,13.8,11.4,12.6,0.6,0.6,28.5,6.26
