city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Nice,France,43.7102,7.262,daily,2015-01-01,10.8,2.7,7.9,0.0,0.0,8.4,7.21
Nice,France,43.7102,7.262,daily,2015-01-02,13.4,4.8,9.3,0.0,0.0,6.5,7.21
Nice,France,43.7102,7.262,daily,2015-01-03,12.6,6.9,10.2,0.0,0.0,8.3,6.47
Nice,France,43.7102,7.262,daily,2015-01-04,16.0,5.3,10.2,0.0,0.0,9.4,7.56
Nice,France,43.7102,7.262,daily,2015-01-05,14.5,6.0,10.9,0.0,0.0,12.0,7.25
Nice,France,43.7102,7.262,daily,2015-01-06,12.5,5.1,9.1,0.0,0.0,7.7,7.78
Nice,France,43.7102,7.262,daily,2015-01-07,11.4,8.2,9.8,0.0,0.0,5.2,5.14
Nice,France,43.7102,7.262,daily,2015-01-08,12.3,7.0,9.5,0.0,0.0,9.9,7.41
Nice,France,43.7102,7.262,daily,2015-01-09,13.5,6.3,9.9,0.0,0.0,10.6,7.09
Nice,France,43.7102,7.262,daily,2015-01-10,14.6,5.9,10.6,0.0,0.0,7.2,6.94
Nice,France,43.7102,7.262,daily,2015-01-11,17.0,6.8,11.5,0.0,0.0,13.7,7.97
Nice,France,43.7102,7.262,daily,2015-01-12,13.8,7.2,10.5,0.0,0.0,11.8,7.98
Nice,France,43.7102,7.262,daily,2015-01-13,12.1,5.4,8.2,0.0,0.0,9.9,5.55
Nice,France,43.7102,7.262,daily,2015-01-14,14.5,4.0,8.5,0.0,0.0,16.5,8.01
Nice,France,43.7102,7.262,daily,2015-01-15,12.8,3.9,8.8,0.4,0.4,10.6,6.71
Nice,France,43.7102,7.262,daily,2015-01-16,12.9,7.8,10.9,22.2,22.2,12.4,3.2
Nice,France,43.7102,7.262,daily,2015-01-17,12.3,4.3,9.3,1.0,1.0,15.8,8.01
Nice,France,43.7102,7.262,daily,2015-01-18,11.0,2.5,6.8,0.0,0.0,10.2,8.46
Nice,France,43.7102,7.262,daily,2015-01-19,9.2,5.6,7.7,4.0,3.9,7.8,4.93
Nice,France,43.7102,7.262,daily,2015-01-20,11.4,4.5,7.5,0.0,0.0,9.2,6.43
Nice,France,43.7102,7.262,daily,2015-01-21,8.8,4.7,7.2,11.4,8.1,15.4,2.52
Nice,France,43.7102,7.262,daily,2015-01-22,11.5,3.8,8.0,0.9,0.6,11.5,7.91
Nice,France,43.7102,7.262,daily,2015-01-23,15.4,3.3,8.2,0.0,0.0,8.4,9.11
Nice,France,43.7102,7.262,daily,2015-01-24,13.8,3.9,9.5,0.0,0.0,11.2,9.01
Nice,France,43.7102,7.262,daily,2015-01-25,13.1,2.8,8.1,0.0,0.0,12.3,9.51
Nice,France,43.7102,7.262,daily,2015-01-26,11.2,3.7,7.9,0.1,0.1,10.1,8.5
Nice,France,43.7102,7.262,daily,2015-01-27,10.7,7.4,9.0,0.0,0.0,8.2,8.49
Nice,France,43.7102,7.262,daily,2015-01-28,10.9,5.5,8.0,0.0,0.0,10.5,6.08
Nice,France,43.7102,7.262,daily,2015-01-29,11.8,3.9,7.6,4.4,4.0,19.7,7.14
Nice,France,43.7102,7.262,daily,2015-01-30,8.5,5.0,7.1,1.2,1.0,27.3,10.5
Nice,France,43.7102,7.262,daily,2015-01-31,10.1,1.8,6.5,0.1,0.1,12.2,10.07
Nice,France,43.7102,7.262,daily,2015-02-01,10.3,1.8,6.1,0.0,0.0,8.7,10.44
Nice,France,43.7102,7.262,daily,2015-02-02,10.5,0.7,5.8,0.0,0.0,5.9,10.93
