city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Oslo,Norway,59.9139,10.7522,daily,2015-01-01,5.5,-5.3,1.3,0.7,0.7,20.2,0.69
Oslo,Norway,59.9139,10.7522,daily,2015-01-02,6.6,2.3,4.3,0.4,0.4,24.0,0.94
Oslo,Norway,59.9139,10.7522,daily,2015-01-03,3.6,-1.8,0.5,0.0,0.0,23.2,1.21
Oslo,Norway,59.9139,10.7522,daily,2015-01-04,0.3,-4.0,-1.6,0.0,0.0,12.2,1.26
Oslo,Norway,59.9139,10.7522,daily,2015-01-05,-0.5,-4.2,-2.3,0.3,0.0,9.6,0.96
Oslo,Norway,59.9139,10.7522,daily,2015-01-06,3.0,0.2,2.0,13.9,9.9,18.4,0.19
Oslo,Norway,59.9139,10.7522,daily,2015-01-07,3.6,0.2,1.1,4.7,1.0,19.1,0.46
Oslo,Norway,59.9139,10.7522,daily,2015-01-08,5.3,-3.7,1.8,1.9,1.9,21.1,1.37
Oslo,Norway,59.9139,10.7522,daily,2015-01-09,-1.7,-5.7,-3.5,0.0,0.0,11.6,1.18
Oslo,Norway,59.9139,10.7522,daily,2015-01-10,1.5,-4.5,-0.6,14.7,0.0,19.1,0.29
Oslo,Norway,59.9139,10.7522,daily,2015-01-11,-1.1,-10.6,-4.2,3.1,0.0,9.7,0.8
Oslo,Norway,59.9139,10.7522,daily,2015-01-12,3.3,-11.6,-2.2,3.5,0.1,20.5,0.58
Oslo,Norway,59.9139,10.7522,daily,2015-01-13,2.7,-1.4,0.9,0.3,0.2,21.5,1.13
Oslo,Norway,59.9139,10.7522,daily,2015-01-14,-0.8,-3.4,-2.3,0.0,0.0,13.1,1.33
Oslo,Norway,59.9139,10.7522,daily,2015-01-15,3.6,-2.9,1.2,15.3,0.9,24.5,0.29
Oslo,Norway,59.9139,10.7522,daily,2015-01-16,4.2,0.8,2.7,6.0,3.1,23.8,0.92
Oslo,Norway,59.9139,10.7522,daily,2015-01-17,0.7,-4.6,-1.5,0.0,0.0,19.8,1.69
Oslo,Norway,59.9139,10.7522,daily,2015-01-18,-2.1,-5.8,-3.5,0.4,0.0,10.6,1.09
Oslo,Norway,59.9139,10.7522,daily,2015-01-19,-0.9,-6.1,-2.8,4.9,0.0,15.1,0.78
Oslo,Norway,59.9139,10.7522,daily,2015-01-20,-0.4,-2.8,-1.4,6.9,0.0,15.6,0.73
Oslo,Norway,59.9139,10.7522,daily,2015-01-21,-0.9,-1.8,-1.3,5.2,0.0,14.1,0.89
Oslo,Norway,59.9139,10.7522,daily,2015-01-22,-1.2,-9.0,-3.6,3.4,0.0,12.3,1.07
Oslo,Norway,59.9139,10.7522,daily,2015-01-23,0.5,-9.9,-6.9,1.5,0.0,19.1,1.52
Oslo,Norway,59.9139,10.7522,daily,2015-01-24,1.1,-4.9,-0.4,6.7,0.0,23.4,1.1
Oslo,Norway,59.9139,10.7522,daily,2015-01-25,-1.9,-8.8,-6.8,0.0,0.0,12.4,2.07
Oslo,Norway,59.9139,10.7522,daily,2015-01-26,2.9,-2.9,0.8,3.9,3.3,16.6,0.75
Oslo,Norway,59.9139,10.7522,daily,2015-01-27,-2.5,-7.3,-4.9,0.0,0.0,11.3,2.71
Oslo,Norway,59.9139,10.7522,daily,2015-01-28,3.2,-4.5,1.1,11.6,2.6,20.3,0.73
