city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Prague,Czech,50.0755,14.4378,daily,2015-01-01,3.9,1.2,1.9,1.2,1.2,17.0,1.59
Prague,Czech,50.0755,14.4378,daily,2015-01-02,4.3,1.0,2.7,1.9,1.9,29.9,1.17
Prague,Czech,50.0755,14.4378,daily,2015-01-03,3.1,0.5,1.8,1.7,0.0,24.4,2.23
Prague,Czech,50.0755,14.4378,daily,2015-01-04,3.3,0.6,1.8,2.4,1.0,26.1,3.2
Prague,Czech,50.0755,14.4378,daily,2015-01-05,2.5,0.5,1.4,4.0,0.3,23.7,1.26
Prague,Czech,50.0755,14.4378,daily,2015-01-06,1.8,-1.9,0.1,0.5,0.0,11.6,3.22
Prague,Czech,50.0755,14.4378,daily,2015-01-07,1.8,-2.3,-0.2,1.4,0.3,11.8,1.29
Prague,Czech,50.0755,14.4378,daily,2015-01-08,6.9,-0.5,2.9,4.9,4.5,33.5,1.65
Prague,Czech,50.0755,14.4378,daily,2015-01-09,8.0,3.2,6.1,3.1,3.1,38.2,2.12
Prague,Czech,50.0755,14.4378,daily,2015-01-10,12.6,6.1,10.3,9.4,9.4,37.8,1.17
Prague,Czech,50.0755,14.4378,daily,2015-01-11,5.5,1.6,3.1,1.0,0.6,33.2,3.61
Prague,Czech,50.0755,14.4378,daily,2015-01-12,5.3,1.8,4.0,1.5,1.1,28.7,2.25
Prague,Czech,50.0755,14.4378,daily,2015-01-13,10.9,4.2,7.1,0.0,0.0,22.9,4.93
Prague,Czech,50.0755,14.4378,daily,2015-01-14,9.0,2.4,6.5,0.9,0.9,24.8,4.36
Prague,Czech,50.0755,14.4378,daily,2015-01-15,7.3,-1.4,3.3,0.0,0.0,19.7,3.27
Prague,Czech,50.0755,14.4378,daily,2015-01-16,6.7,0.4,3.0,0.0,0.0,15.9,4.09
Prague,Czech,50.0755,14.4378,daily,2015-01-17,4.5,-0.1,2.4,3.0,3.0,11.3,1.51
Prague,Czech,50.0755,14.4378,daily,2015-01-18,4.0,-1.4,1.4,0.0,0.0,9.0,3.09
Prague,Czech,50.0755,14.4378,daily,2015-01-19,3.1,-0.9,1.1,0.0,0.0,10.2,2.31
Prague,Czech,50.0755,14.4378,daily,2015-01-20,3.1,-1.7,0.4,0.0,0.0,8.7,1.85
Prague,Czech,50.0755,14.4378,daily,2015-01-21,2.5,-1.7,0.5,0.0,0.0,11.2,2.48
Prague,Czech,50.0755,14.4378,daily,2015-01-22,6.0,1.6,4.1,0.4,0.4,13.1,1.22
Prague,Czech,50.0755,14.4378,daily,2015-01-23,3.6,-0.6,1.1,1.4,0.1,15.0,0.88
Prague,Czech,50.0755,14.4378,daily,2015-01-24,1.2,-2.0,-0.6,0.0,0.0,12.0,2.62
Prague,Czech,50.0755,14.4378,daily,2015-01-25,2.7,-1.0,0.5,0.9,0.3,21.5,3.48
Prague,Czech,50.0755,14.4378,daily,2015-01-26,3.8,-1.1,1.2,0.9,0.0,17.9,3.71
Prague,Czech,50.0755,14.4378,daily,2015-01-27,3.2,-0.2,1.6,4.3,0.8,17.9,3.43
Prague,Czech,50.0755,14.4378,daily,2015-01-28,4.5,0.4,1.9,0.2,0.0,23.9,4.08
Prague,Czech,50.0755,14.4378,daily,2015-01-29,4.0,-0.0,1.9,0.6,0.0,21.6,6.67
Prague,Czech,50.0755,14.4378,daily,2015-01-30,4.2,-2.0,1.0,0.1,0.0,22.7,3.56
Prague,Czech,50.0755,14.4378,daily,2015-01-31,2.6,-2.4,-0.3,0.3,0.0,23.1,3.83
Prague,Czech,50.0755,14.4378,daily,2015-02-01,4.0,-2.6,-0.1,0.0,0.0,14.3,4.91
Prague,Czech,50.0755,14.4378,daily,2015-02-02,2.5,-1.9,-0.2,0.1,0.0,13.2,4.49
Prague,Czech,50.0755,14.4378,daily,2015-02-03,2.8,-3.9,-0.4,0.0,0.0,18.3,5.4
Prague,Czech,50.0755,14.4378,daily,2015-02-04,0.9,-4.7,-2.2,0.0,0.0,10.4,5.36
Prague,Czech,50.0755,14.4378,daily,2015-02-05,0.3,-4.7,-2.1,0.0,0.0,17.6,5.14
Prague,Czech,50.0755,14.4378,daily,2015-02-06,0.6,-4.4,-2.0,0.0,0.0,21.7,6.89
Prague,Czech,50.0755,14.4378,daily,2015-02-07,1.5,-5.6,-2.1,0.0,0.0,20.2,7.62
Prague,Czech,50.0755,14.4378,daily,2015-02-08,1.4,-2.6,-0.6,1.9,0.1,29.5,6.79
Prague,Czech,50.0755,14.4378,daily,2015-02-09,4.2,-3.1,1.4,2.2,0.2,22.3,2.72
Prague,Czech,50.0755,14.4378,daily,2015-02-10,5.8,1.3,3.3,0.0,0.0,17.9,3.57
Prague,Czech,50.0755,14.4378,daily,2015-02-11,4.8,-1.6,2.0,0.0,0.0,6.6,5.01
Prague,Czech,50.0755,14.4378,daily,2015-02-12,6.9,-3.5,0.4,0.0,0.0,8.6,8.6
Prague,Czech,50.0755,14.4378,daily,2015-02-13,6.4,-3.7,-0.0,0.0,0.0,9.3,8.51
Prague,Czech,50.0755,14.4378,daily,2015-02-14,5.8,-4.4,-0.3,0.0,0.0,7.9,8.48
Prague,Czech,50.0755,14.4378,daily,2015-02-15,8.3,-3.1,3.2,0.0,0.0,20.2,4.89
Prague,Czech,50.0755,14.4378,daily,2015-02-16,9.3,-1.0,3.2,0.0,0.0,18.7,9.54
Prague,Czech,50.0755,14.4378,daily,2015-02-17,7.4,-2.5,2.1,0.0,0.0,11.0,9.0
Prague,Czech,50.0755,14.4378,daily,2015-02-18,4.0,-1.5,1.7,0.0,0.0,6.7,4.07
Prague,Czech,50.0755,14.4378,daily,2015-02-19,7.3,-3.1,1.0,0.0,0.0,11.2,9.23
Prague,Czech,50.0755,14.4378,daily,2015-02-20,10.2,-2.3,2.7,0.0,0.0,13.9,10.22
Prague,Czech,50.0755,14.4378,daily,2015-02-21,10.5,-3.6,2.7,0.0,0.0,11.3,9.91
Prague,Czech,50.0755,14.4378,daily,2015-02-22,5.1,-1.4,2.0,0.0,0.0,12.6,5.09
Prague,Czech,50.0755,14.4378,daily,2015-02-23,7.7,-2.8,2.5,1.0,1.0,16.4,8.21
Prague,Czech,50.0755,14.4378,daily,2015-02-24,7.8,1.4,4.4,0.0,0.0,12.4,5.9
Prague,Czech,50.0755,14.4378,daily,2015-02-25,7.2,-2.2,2.3,0.0,0.0,10.5,7.66
Prague,Czech,50.0755,14.4378,daily,2015-02-26,7.1,-2.9,2.1,0.0,0.0,9.0,8.79
Prague,Czech,50.0755,14.4378,daily,2015-02-27,8.6,-2.3,2.9,0.0,0.0,8.9,9.03
Prague,Czech,50.0755,14.4378,daily,2015-02-28,5.8,0.3,2.8,0.0,0.0,8.9,5.58
Prague,Czech,50.0755,14.4378,daily,2015-03-01,5.6,-1.5,3.1,2.6,2.6,18.0,4.95
Prague,Czech,50.0755,14.4378,daily,2015-03-02,9.0,2.4,5.7,4.1,4.1,25.1,9.31
Prague,Czech,50.0755,14.4378,daily,2015-03-03,8.0,0.7,4.0,0.3,0.3,27.8,12.15
Prague,Czech,50.0755,14.4378,daily,2015-03-04,7.3,0.2,3.7,1.7,1.7,20.1,10.99
Prague,Czech,50.0755,14.4378,daily,2015-03-05,5.3,-0.4,2.1,1.3,1.0,19.0,9.1
Prague,Czech,50.0755,14.4378,daily,2015-03-06,5.4,-0.7,2.8,0.1,0.1,10.5,4.99
Prague,Czech,50.0755,14.4378,daily,2015-03-07,10.7,-2.5,4.0,0.0,0.0,8.8,12.8
Prague,Czech,50.0755,14.4378,daily,2015-03-08,13.2,-0.4,5.7,0.0,0.0,12.2,13.01
Prague,Czech,50.0755,14.4378,daily,2015-03-09,11.0,-2.3,4.3,0.0,0.0,9.4,13.19
Prague,Czech,50.0755,14.4378,daily,2015-03-10,12.4,-2.6,5.7,0.0,0.0,11.0,14.11
Prague,Czech,50.0755,14.4378,daily,2015-03-11,6.9,1.9,4.5,2.4,2.4,20.9,8.86
Prague,Czech,50.0755,14.4378,daily,2015-03-12,6.4,1.6,3.8,0.6,0.6,17.3,8.2
Prague,Czech,50.0755,14.4378,daily,2015-03-13,5.7,1.2,3.2,0.5,0.5,15.3,6.57
Prague,Czech,50.0755,14.4378,daily,2015-03-14,5.7,0.9,3.0,2.6,2.5,13.1,5.79
Prague,Czech,50.0755,14.4378,daily,2015-03-15,9.4,1.4,4.9,1.0,0.7,24.2,6.15
Prague,Czech,50.0755,14.4378,daily,2015-03-16,13.2,4.1,8.4,0.0,0.0,33.0,12.83
Prague,Czech,50.0755,14.4378,daily,2015-03-17,14.3,4.2,9.4,0.0,0.0,24.8,14.03
Prague,Czech,50.0755,14.4378,daily,2015-03-18,13.1,0.4,6.7,0.0,0.0,12.6,15.7
Prague,Czech,50.0755,14.4378,daily,2015-03-19,10.8,-1.9,4.5,0.0,0.0,9.2,16.42
Prague,Czech,50.0755,14.4378,daily,2015-03-20,11.6,-0.3,4.9,0.0,0.0,7.8,16.51
Prague,Czech,50.0755,14.4378,daily,2015-03-21,13.3,-1.9,5.8,0.0,0.0,17.7,14.8
Prague,Czech,50.0755,14.4378,daily,2015-03-22,5.9,-0.1,3.5,0.0,0.0,16.8,9.26
Prague,Czech,50.0755,14.4378,daily,2015-03-23,9.2,-2.7,3.1,0.0,0.0,9.3,16.28
Prague,Czech,50.0755,14.4378,daily,2015-03-24,13.7,-0.6,6.7,0.0,0.0,12.5,15.04
Prague,Czech,50.0755,14.4378,daily,2015-03-25,16.2,-0.7,9.3,0.0,0.0,19.7,15.67
Prague,Czech,50.0755,14.4378,daily,2015-03-26,14.0,7.8,10.4,4.9,4.9,14.7,9.1
Prague,Czech,50.0755,14.4378,daily,2015-03-27,11.3,5.0,7.4,2.8,2.8,17.5,10.08
Prague,Czech,50.0755,14.4378,daily,2015-03-28,8.5,3.2,6.0,0.1,0.1,17.4,10.3
Prague,Czech,50.0755,14.4378,daily,2015-03-29,12.1,4.6,8.7,5.0,5.0,31.9,5.86
Prague,Czech,50.0755,14.4378,daily,2015-03-30,9.7,2.8,6.9,3.5,3.5,34.9,13.0
Prague,Czech,50.0755,14.4378,daily,2015-03-31,12.8,2.0,6.7,8.3,5.9,38.2,10.77
Prague,Czech,50.0755,14.4378,daily,2015-04-01,6.8,1.6,4.0,1.8,1.5,31.1,14.7
Prague,Czech,50.0755,14.4378,daily,2015-04-02,4.8,0.8,2.6,7.4,5.5,30.7,7.88
Prague,Czech,50.0755,14.4378,daily,2015-04-03,7.8,-0.3,3.6,0.2,0.2,22.2,15.02
Prague,Czech,50.0755,14.4378,daily,2015-04-04,7.5,-2.3,2.9,0.5,0.5,12.4,16.95
Prague,Czech,50.0755,14.4378,daily,2015-04-05,7.3,-2.2,2.8,0.4,0.4,13.8,18.19
Prague,Czech,50.0755,14.4378,daily,2015-04-06,6.5,-2.6,2.0,3.0,2.6,18.4,16.15
Prague,Czech,50.0755,14.4378,daily,2015-04-07,10.4,-2.8,4.6,0.0,0.0,16.1,18.64
Prague,Czech,50.0755,14.4378,daily,2015-04-08,8.7,5.4,7.2,0.0,0.0,17.6,6.53
Prague,Czech,50.0755,14.4378,daily,2015-04-09,14.0,4.3,8.8,0.0,0.0,8.1,16.96
Prague,Czech,50.0755,14.4378,daily,2015-04-10,16.8,3.1,10.0,0.0,0.0,8.4,16.55
Prague,Czech,50.0755,14.4378,daily,2015-04-11,19.4,2.7,12.1,0.2,0.2,17.6,16.11
