city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Tallinn,Estonia,59.437,24.7536,daily,2015-01-01,4.8,1.5,3.1,0.0,0.0,27.6,0.4
Tallinn,Estonia,59.437,24.7536,daily,2015-01-02,6.1,3.1,4.2,7.5,7.4,41.2,0.12
Tallinn,Estonia,59.437,24.7536,daily,2015-01-03,3.1,0.7,2.2,4.0,1.5,43.4,0.55
Tallinn,Estonia,59.437,24.7536,daily,2015-01-04,0.6,-2.5,-1.1,2.5,0.3,32.4,0.67
Tallinn,Estonia,59.437,24.7536,daily,2015-01-05,-2.9,-7.2,-6.2,0.0,0.0,23.4,0.88
Tallinn,Estonia,59.437,24.7536,daily,2015-01-06,-6.9,-10.8,-8.5,0.0,0.0,19.9,1.46
Tallinn,Estonia,59.437,24.7536,daily,2015-01-07,-5.1,-9.8,-6.8,0.0,0.0,28.9,0.94
Tallinn,Estonia,59.437,24.7536,daily,2015-01-08,2.8,-4.8,0.1,4.5,2.1,30.8,0.3
Tallinn,Estonia,59.437,24.7536,daily,2015-01-09,2.3,-0.8,0.9,0.0,0.0,16.4,0.53
Tallinn,Estonia,59.437,24.7536,daily,2015-01-10,-0.0,-1.3,-0.6,5.5,0.0,30.6,1.03
Tallinn,Estonia,59.437,24.7536,daily,2015-01-11,-0.3,-8.7,-2.9,3.9,0.0,32.6,0.54
Tallinn,Estonia,59.437,24.7536,daily,2015-01-12,-1.0,-10.2,-7.5,3.1,0.0,26.6,1.07
Tallinn,Estonia,59.437,24.7536,daily,2015-01-13,3.6,0.6,1.9,3.5,0.9,35.3,1.61
Tallinn,Estonia,59.437,24.7536,daily,2015-01-14,2.9,0.7,1.6,0.9,0.3,31.2,1.42
Tallinn,Estonia,59.437,24.7536,daily,2015-01-15,2.3,-0.5,0.7,0.3,0.2,30.0,1.45
Tallinn,Estonia,59.437,24.7536,daily,2015-01-16,4.0,-0.5,2.3,6.0,0.8,36.0,0.75
Tallinn,Estonia,59.437,24.7536,daily,2015-01-17,3.2,1.3,2.5,2.3,2.3,32.9,0.73
Tallinn,Estonia,59.437,24.7536,daily,2015-01-18,3.0,1.2,2.1,2.9,2.9,30.9,1.08
Tallinn,Estonia,59.437,24.7536,daily,2015-01-19,1.0,-0.3,0.3,1.6,0.5,16.1,1.34
Tallinn,Estonia,59.437,24.7536,daily,2015-01-20,0.5,-1.7,-0.6,0.0,0.0,19.5,1.13
Tallinn,Estonia,59.437,24.7536,daily,2015-01-21,-2.1,-5.6,-3.5,0.0,0.0,22.9,1.39
Tallinn,Estonia,59.437,24.7536,daily,2015-01-22,-4.4,-6.5,-5.3,0.0,0.0,18.4,1.27
Tallinn,Estonia,59.437,24.7536,daily,2015-01-23,-0.7,-4.8,-2.5,0.1,0.0,16.8,1.18
Tallinn,Estonia,59.437,24.7536,daily,2015-01-24,-1.0,-3.5,-2.2,0.0,0.0,21.7,1.63
Tallinn,Estonia,59.437,24.7536,daily,2015-01-25,-2.3,-4.9,-3.7,0.0,0.0,20.0,1.95
Tallinn,Estonia,59.437,24.7536,daily,2015-01-26,-0.0,-5.0,-2.2,0.0,0.0,18.9,1.48
