city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Turin,Italy,45.0703,7.6869,daily,2015-01-01,4.2,-2.4,0.3,0.0,0.0,6.2,6.5
Turin,Italy,45.0703,7.6869,daily,2015-01-02,8.9,-1.6,3.2,0.0,0.0,5.4,6.59
Turin,Italy,45.0703,7.6869,daily,2015-01-03,11.4,1.2,5.8,0.0,0.0,4.7,6.22
Turin,Italy,45.0703,7.6869,daily,2015-01-04,13.6,1.5,6.9,0.0,0.0,6.8,7.05
Turin,Italy,45.0703,7.6869,daily,2015-01-05,9.1,-1.7,3.3,0.0,0.0,6.8,7.02
Turin,Italy,45.0703,7.6869,daily,2015-01-06,9.1,0.0,3.2,0.0,0.0,6.1,6.99
Turin,Italy,45.0703,7.6869,daily,2015-01-07,6.1,-0.9,2.2,0.0,0.0,6.1,6.25
Turin,Italy,45.0703,7.6869,daily,2015-01-08,6.4,-0.2,2.5,0.0,0.0,5.8,6.49
Turin,Italy,45.0703,7.6869,daily,2015-01-09,9.3,-0.1,4.5,0.0,0.0,5.8,6.0
Turin,Italy,45.0703,7.6869,daily,2015-01-10,14.6,2.5,7.3,0.0,0.0,6.6,5.11
Turin,Italy,45.0703,7.6869,daily,2015-01-11,13.5,0.1,5.9,0.0,0.0,11.5,7.08
Turin,Italy,45.0703,7.6869,daily,2015-01-12,8.8,-1.6,3.2,0.0,0.0,6.6,7.52
Turin,Italy,45.0703,7.6869,daily,2015-01-13,7.1,-0.9,3.6,0.0,0.0,6.3,3.7
Turin,Italy,45.0703,7.6869,daily,2015-01-14,8.7,4.4,5.6,0.0,0.0,7.8,4.95
Turin,Italy,45.0703,7.6869,daily,2015-01-15,6.1,1.4,4.4,0.0,0.0,5.4,1.61
Turin,Italy,45.0703,7.6869,daily,2015-01-16,5.3,2.8,4.2,9.3,9.3,7.3,1.18
Turin,Italy,45.0703,7.6869,daily,2015-01-17,7.7,2.8,5.1,0.6,0.6,4.6,4.33
Turin,Italy,45.0703,7.6869,daily,2015-01-18,4.6,-1.8,2.3,0.0,0.0,6.8,2.59
Turin,Italy,45.0703,7.6869,daily,2015-01-19,4.9,2.3,3.5,0.0,0.0,3.8,3.04
Turin,Italy,45.0703,7.6869,daily,2015-01-20,4.0,1.7,2.8,0.7,0.5,7.7,2.02
Turin,Italy,45.0703,7.6869,daily,2015-01-21,2.9,-1.5,1.1,14.2,7.0,6.5,1.72
Turin,Italy,45.0703,7.6869,daily,2015-01-22,4.4,-4.5,1.2,6.3,2.3,7.2,4.11
Turin,Italy,45.0703,7.6869,daily,2015-01-23,10.4,-6.5,0.5,0.0,0.0,8.4,8.58
Turin,Italy,45.0703,7.6869,daily,2015-01-24,9.0,-6.1,0.3,0.0,0.0,8.6,8.18
Turin,Italy,45.0703,7.6869,daily,2015-01-25,7.7,-5.1,1.0,0.0,0.0,7.8,9.09
Turin,Italy,45.0703,7.6869,daily,2015-01-26,5.8,-3.3,1.8,0.0,0.0,6.5,7.66
Turin,Italy,45.0703,7.6869,daily,2015-01-27,7.3,1.1,3.8,0.0,0.0,5.8,7.86
Turin,Italy,45.0703,7.6869,daily,2015-01-28,7.5,-3.7,2.5,0.0,0.0,6.4,8.88
Turin,Italy,45.0703,7.6869,daily,2015-01-29,4.4,-0.6,1.4,2.5,0.1,8.3,7.93
Turin,Italy,45.0703,7.6869,daily,2015-01-30,4.5,-4.9,-0.4,1.8,0.0,15.2,10.02
Turin,Italy,45.0703,7.6869,daily,2015-01-31,5.3,-6.1,0.1,0.0,0.0,8.0,8.05
Turin,Italy,45.0703,7.6869,daily,2015-02-01,7.7,-6.7,-0.5,0.0,0.0,9.6,9.98
Turin,Italy,45.0703,7.6869,daily,2015-02-02,7.7,-4.2,0.6,0.0,0.0,10.7,10.32
Turin,Italy,45.0703,7.6869,daily,2015-02-03,3.2,-3.3,0.1,0.4,0.0,6.9,3.79
