city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Valencia,Spain,39.4699,-0.3763,daily,2015-01-01,13.4,4.5,8.4,0.0,0.0,9.9,6.05
Valencia,Spain,39.4699,-0.3763,daily,2015-01-02,15.5,4.1,8.3,0.0,0.0,13.6,9.68
Valencia,Spain,39.4699,-0.3763,daily,2015-01-03,19.0,5.6,10.5,0.0,0.0,16.8,9.78
Valencia,Spain,39.4699,-0.3763,daily,2015-01-04,17.8,6.9,11.1,0.0,0.0,17.3,9.54
Valencia,Spain,39.4699,-0.3763,daily,2015-01-05,14.7,5.3,9.1,0.0,0.0,8.4,9.37
Valencia,Spain,39.4699,-0.3763,daily,2015-01-06,14.2,5.6,9.2,0.0,0.0,11.4,8.61
Valencia,Spain,39.4699,-0.3763,daily,2015-01-07,14.2,6.4,9.8,0.0,0.0,9.3,6.77
Valencia,Spain,39.4699,-0.3763,daily,2015-01-08,14.7,5.5,9.4,0.0,0.0,8.9,9.78
Valencia,Spain,39.4699,-0.3763,daily,2015-01-09,17.6,5.2,9.6,0.0,0.0,14.1,10.13
Valencia,Spain,39.4699,-0.3763,daily,2015-01-10,20.9,6.6,11.4,0.0,0.0,16.4,10.4
Valencia,Spain,39.4699,-0.3763,daily,2015-01-11,19.6,7.6,12.0,0.0,0.0,17.1,9.63
Valencia,Spain,39.4699,-0.3763,daily,2015-01-12,16.0,6.3,10.4,0.0,0.0,8.7,8.95
Valencia,Spain,39.4699,-0.3763,daily,2015-01-13,19.9,6.1,11.4,0.0,0.0,12.5,10.23
Valencia,Spain,39.4699,-0.3763,daily,2015-01-14,18.3,7.7,11.9,0.0,0.0,15.4,10.22
Valencia,Spain,39.4699,-0.3763,daily,2015-01-15,19.6,7.5,12.0,0.0,0.0,15.6,10.24
Valencia,Spain,39.4699,-0.3763,daily,2015-01-16,14.2,9.2,12.1,0.2,0.2,27.8,8.73
Valencia,Spain,39.4699,-0.3763,daily,2015-01-17,14.3,4.8,9.2,0.0,0.0,16.2,10.94
Valencia,Spain,39.4699,-0.3763,daily,2015-01-18,12.1,3.4,7.7,0.8,0.8,12.1,7.42
Valencia,Spain,39.4699,-0.3763,daily,2015-01-19,10.7,6.0,8.0,9.5,9.5,13.3,3.37
Valencia,Spain,39.4699,-0.3763,daily,2015-01-20,11.6,3.9,7.2,0.0,0.0,11.6,8.44
Valencia,Spain,39.4699,-0.3763,daily,2015-01-21,13.9,3.9,8.2,0.2,0.2,19.5,10.44
Valencia,Spain,39.4699,-0.3763,daily,2015-01-22,13.1,6.1,8.5,0.0,0.0,15.9,10.03
Valencia,Spain,39.4699,-0.3763,daily,2015-01-23,14.3,5.5,8.9,0.0,0.0,13.5,11.52
Valencia,Spain,39.4699,-0.3763,daily,2015-01-24,16.2,5.2,9.6,0.0,0.0,16.4,11.83
