city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-01,2.2,0.5,1.5,0.0,0.0,22.0,0.91
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-02,4.5,1.4,2.5,4.8,4.4,39.3,0.25
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-03,2.4,1.1,1.8,2.2,1.7,34.4,1.01
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-04,1.0,-0.3,0.3,3.2,0.0,30.1,1.48
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-05,-0.3,-8.0,-3.0,0.6,0.0,27.4,2.19
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-06,-8.5,-14.9,-11.6,0.0,0.0,19.1,3.06
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-07,-11.2,-16.0,-13.3,0.0,0.0,22.8,2.84
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-08,-0.7,-11.4,-5.6,1.2,0.0,25.9,1.39
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-09,2.0,-1.3,0.5,10.8,0.2,31.1,1.54
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-10,3.9,-0.7,0.4,6.6,1.7,34.2,1.4
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-11,2.2,0.0,1.3,3.0,0.5,39.3,2.43
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-12,3.0,-1.7,-0.3,3.3,1.6,28.5,2.4
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-13,5.1,3.1,4.2,3.2,3.2,29.5,1.58
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-14,5.2,1.3,4.0,1.5,1.2,24.6,1.09
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-15,2.2,-1.3,0.1,0.0,0.0,21.6,2.59
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-16,2.7,0.5,1.4,1.6,0.8,27.0,1.0
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-17,3.9,0.1,1.9,0.6,0.6,18.8,2.51
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-18,2.1,-2.4,-0.1,0.0,0.0,11.5,1.98
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-19,-0.4,-3.3,-1.8,0.0,0.0,13.6,1.61
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-20,-1.4,-3.5,-2.5,0.4,0.0,22.0,2.67
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-21,-0.2,-1.5,-1.0,5.3,0.0,22.7,1.11
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-22,0.9,-1.4,-0.6,0.0,0.0,8.0,2.15
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-23,0.8,-1.6,-0.2,2.9,0.0,10.3,1.29
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-24,-0.3,-2.7,-1.8,0.4,0.0,14.3,1.76
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-25,0.7,-0.9,0.1,1.7,0.5,9.6,1.5
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-26,-0.9,-4.9,-1.9,0.1,0.0,9.8,1.77
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-27,-0.1,-4.2,-1.5,0.0,0.0,14.5,2.14
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-28,0.2,-0.9,-0.5,0.4,0.0,19.4,1.76
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-29,0.3,-1.7,-0.6,0.6,0.0,24.9,2.37
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-30,1.4,-0.9,0.3,0.0,0.0,23.3,2.3
Vilnius,Lithuania,54.6872,25.2797,daily,2015-01-31,4.5,-0.7,2.2,4.1,3.5,23.0,0.83
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-01,1.2,-1.4,-0.2,0.0,0.0,31.8,3.09
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-02,1.3,-2.4,-0.7,0.0,0.0,18.9,3.74
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-03,0.9,-6.1,-2.2,0.9,0.0,7.4,3.11
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-04,0.9,-3.1,-1.2,0.0,0.0,5.7,3.46
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-05,0.0,-4.6,-2.0,0.4,0.0,10.7,2.55
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-06,-0.4,-5.2,-2.3,0.6,0.0,22.0,2.89
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-07,1.0,-0.3,0.3,1.7,0.0,26.0,1.81
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-08,-0.3,-4.4,-2.5,0.6,0.0,28.8,5.18
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-09,-1.2,-6.8,-4.1,0.0,0.0,18.8,3.91
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-10,1.3,-4.8,-1.2,0.0,0.0,14.3,1.7
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-11,1.0,0.0,0.4,0.0,0.0,10.0,2.31
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-12,1.1,-0.8,0.0,0.0,0.0,20.5,2.66
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-13,0.9,-1.9,-0.4,0.0,0.0,11.2,2.98
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-14,2.9,-4.1,-1.0,0.0,0.0,14.1,6.24
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-15,0.9,-8.0,-3.4,0.0,0.0,22.4,2.84
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-16,-4.3,-9.2,-7.2,0.0,0.0,17.9,7.95
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-17,-1.2,-8.7,-5.2,0.0,0.0,22.1,7.95
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-18,1.6,-5.1,-1.2,1.5,0.3,21.3,4.6
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-19,2.9,0.8,1.9,3.3,1.0,18.0,1.5
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-20,5.3,-0.4,1.7,0.0,0.0,17.1,7.29
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-21,6.5,-1.5,2.5,0.0,0.0,21.6,6.77
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-22,6.2,-0.4,2.1,0.5,0.5,17.5,7.46
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-23,7.6,-2.4,2.9,0.1,0.1,21.0,8.1
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-24,6.3,1.4,3.9,0.0,0.0,18.9,1.78
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-25,6.9,1.5,3.9,0.1,0.1,7.9,3.63
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-26,4.9,2.5,3.3,0.0,0.0,9.3,1.92
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-27,4.0,0.7,2.1,4.5,2.8,10.1,3.19
Vilnius,Lithuania,54.6872,25.2797,daily,2015-02-28,4.4,0.5,2.1,2.1,0.3,10.2,4.04
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-01,6.2,1.6,3.9,0.0,0.0,16.8,2.98
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-02,6.2,3.2,4.4,4.1,4.1,23.5,3.15
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-03,5.0,1.6,2.7,1.1,1.1,26.9,5.97
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-04,4.3,-1.7,0.9,3.1,1.3,19.5,5.49
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-05,2.1,-1.6,0.1,5.1,0.3,16.6,5.75
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-06,3.7,-3.0,0.1,0.0,0.0,13.4,6.51
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-07,4.8,-0.6,2.5,0.6,0.0,18.7,3.08
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-08,10.9,4.3,6.7,0.0,0.0,22.8,7.6
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-09,9.8,3.9,6.6,0.0,0.0,17.0,4.97
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-10,9.7,1.2,5.1,0.0,0.0,10.7,7.12
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-11,8.3,1.3,4.1,0.0,0.0,11.8,8.06
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-12,5.9,1.1,3.4,0.0,0.0,23.9,5.35
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-13,6.7,0.1,3.7,0.0,0.0,29.3,8.99
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-14,5.9,1.8,4.1,0.0,0.0,23.8,5.55
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-15,9.1,1.4,4.6,0.0,0.0,14.7,8.35
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-16,10.1,-0.4,4.6,0.0,0.0,16.3,13.45
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-17,10.9,0.2,5.1,0.0,0.0,13.8,13.86
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-18,10.4,-1.7,4.3,0.0,0.0,13.3,14.0
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-19,8.5,-3.1,2.7,0.0,0.0,10.6,14.41
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-20,9.4,-2.2,3.5,0.0,0.0,17.0,14.25
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-21,4.2,-2.1,2.0,5.8,3.8,24.5,4.28
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-22,0.5,-4.5,-2.3,0.0,0.0,22.9,14.53
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-23,4.3,-3.0,1.0,0.0,0.0,23.2,11.9
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-24,10.1,-0.2,4.4,0.0,0.0,19.9,15.13
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-25,11.2,-2.0,4.7,0.5,0.5,11.9,12.59
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-26,14.7,1.0,8.4,0.1,0.1,18.7,11.88
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-27,14.7,5.5,9.9,1.5,1.5,21.3,12.94
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-28,10.4,5.1,7.5,5.6,5.6,17.0,3.77
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-29,7.1,2.5,5.4,2.4,2.4,23.9,3.19
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-30,8.5,1.4,4.0,4.3,2.8,28.5,4.51
Vilnius,Lithuania,54.6872,25.2797,daily,2015-03-31,8.1,2.7,4.8,2.8,2.8,22.7,11.72
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-01,6.9,1.4,3.4,9.2,7.6,28.6,6.91
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-02,6.2,0.7,2.8,3.3,3.0,22.3,11.53
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-03,5.3,0.4,2.5,4.4,3.1,13.0,8.44
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-04,5.3,-1.1,1.9,3.8,1.4,14.3,10.61
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-05,6.3,-1.1,2.3,1.1,1.1,9.7,10.9
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-06,7.8,-1.6,2.9,0.8,0.8,15.6,12.01
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-07,8.6,-1.9,3.8,0.5,0.5,19.8,14.04
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-08,12.6,0.4,5.7,0.2,0.2,29.7,15.49
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-09,11.3,1.2,6.4,0.0,0.0,25.1,19.41
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-10,13.9,3.7,8.6,0.0,0.0,20.5,19.1
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-11,17.2,3.5,10.7,0.0,0.0,13.3,19.71
Vilnius,Lithuania,54.6872,25.2797,daily,2015-04-12,11.5,4.8,8.4,2.3,2.3,30.7,13.92
