city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-01,4.0,0.3,1.9,0.0,0.0,16.3,2.57
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-02,5.0,0.6,2.5,6.6,6.6,21.8,0.44
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-03,3.1,0.1,1.3,13.7,7.9,14.9,0.76
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-04,4.2,1.2,2.4,0.0,0.0,16.2,3.14
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-05,2.0,-1.4,0.1,0.0,0.0,10.5,3.91
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-06,1.5,-4.9,-2.0,0.0,0.0,10.9,3.69
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-07,3.5,-2.7,1.6,0.1,0.1,12.7,1.86
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-08,8.6,1.0,5.2,11.1,11.1,31.3,0.3
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-09,11.1,5.4,8.0,8.9,8.9,31.5,0.8
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-10,12.5,5.3,10.5,9.0,9.0,34.0,1.05
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-11,5.0,2.8,4.1,0.1,0.1,26.7,3.64
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-12,7.2,4.5,5.6,0.6,0.6,28.3,1.21
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-13,11.6,5.1,8.4,1.8,1.8,28.9,3.57
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-14,7.9,1.1,5.2,3.9,3.9,28.0,2.57
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-15,10.5,1.3,7.3,1.2,1.2,25.5,2.58
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-16,8.2,3.9,6.2,10.4,10.4,20.7,1.3
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-17,4.6,-2.1,2.7,0.4,0.4,8.4,2.66
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-18,3.6,-2.5,0.2,0.0,0.0,15.6,4.02
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-19,3.4,-2.3,0.3,0.0,0.0,6.9,4.74
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-20,3.0,-1.0,0.4,0.2,0.0,6.6,3.9
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-21,3.3,-2.3,0.0,0.0,0.0,12.3,4.38
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-22,2.9,-0.6,0.8,0.0,0.0,14.3,2.46
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-23,3.3,-0.8,1.0,0.0,0.0,11.8,3.51
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-24,2.0,-2.5,0.0,2.1,0.0,15.1,2.4
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-25,4.2,-0.0,1.5,0.8,0.8,10.3,2.69
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-26,3.8,0.4,1.4,10.5,4.9,19.5,0.8
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-27,4.6,0.7,2.4,1.6,1.3,17.4,3.81
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-28,4.3,1.4,2.8,4.6,4.6,31.7,1.75
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-29,4.0,-0.7,1.4,7.3,4.5,21.3,4.05
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-30,2.5,-0.6,1.0,5.1,1.4,21.3,4.83
Frankfurt,Germany,50.1109,8.6821,daily,2015-01-31,2.9,-1.9,0.7,0.5,0.0,17.6,3.99
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-01,2.2,-1.0,0.5,1.3,0.0,11.7,3.91
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-02,2.8,-0.6,0.8,1.1,0.7,16.0,4.22
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-03,2.1,-3.4,-0.2,0.0,0.0,9.9,5.67
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-04,1.1,-4.9,-1.8,0.0,0.0,13.4,4.98
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-05,1.0,-5.7,-2.2,0.0,0.0,23.8,5.77
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-06,1.9,-3.1,-1.2,0.0,0.0,25.6,7.56
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-07,2.9,-4.0,-0.9,0.0,0.0,14.4,8.05
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-08,3.3,-2.5,1.4,0.4,0.4,21.6,6.55
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-09,4.9,-0.2,2.8,0.3,0.2,15.5,1.88
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-10,5.8,1.5,3.8,0.1,0.1,10.5,2.83
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-11,5.8,-2.3,1.6,0.0,0.0,8.4,6.11
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-12,6.0,-2.5,0.7,0.0,0.0,6.4,7.66
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-13,8.4,-2.9,1.4,0.0,0.0,10.2,8.63
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-14,7.3,-2.2,1.5,0.2,0.2,11.3,6.94
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-15,6.6,-3.3,0.6,0.0,0.0,9.0,9.14
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-16,7.2,-2.9,1.3,0.0,0.0,7.1,9.45
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-17,4.6,-1.0,1.4,0.0,0.0,6.6,4.66
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-18,5.0,-1.7,2.4,0.0,0.0,7.6,5.16
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-19,6.1,-3.0,0.5,0.0,0.0,12.8,10.16
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-20,10.4,-2.6,4.5,0.0,0.0,20.9,9.26
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-21,6.4,0.5,4.4,1.8,1.8,24.0,5.57
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-22,5.7,-0.3,2.5,0.0,0.0,13.7,6.56
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-23,4.5,0.3,2.3,9.5,2.1,20.7,1.48
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-24,6.6,0.4,3.2,0.0,0.0,20.7,6.39
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-25,7.6,-2.0,2.7,0.9,0.9,11.9,8.99
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-26,8.8,1.0,4.5,0.0,0.0,12.4,7.61
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-27,3.6,1.2,2.6,9.0,8.7,15.0,1.7
Frankfurt,Germany,50.1109,8.6821,daily,2015-02-28,7.0,-1.4,2.4,0.0,0.0,14.4,9.3
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-01,9.5,1.5,5.5,3.8,3.7,23.7,2.97
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-02,9.0,2.8,6.2,3.9,3.9,27.0,10.27
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-03,9.7,0.5,5.0,2.4,2.4,23.7,10.96
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-04,7.8,-0.6,3.6,0.8,0.8,17.7,10.93
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-05,7.3,1.4,4.1,0.0,0.0,16.9,8.06
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-06,8.5,-1.1,4.0,0.0,0.0,9.7,8.43
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-07,10.4,-1.7,4.0,0.0,0.0,9.2,11.02
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-08,12.9,0.2,6.6,0.0,0.0,8.4,10.99
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-09,14.1,-0.8,6.8,0.0,0.0,9.0,13.0
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-10,8.9,0.9,5.8,1.3,1.3,8.6,4.47
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-11,8.2,-0.6,3.7,0.0,0.0,11.5,13.0
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-12,10.4,-1.9,4.0,0.0,0.0,11.5,12.98
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-13,7.3,-0.9,3.4,0.0,0.0,14.5,9.74
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-14,7.6,-1.0,3.6,0.0,0.0,14.8,7.27
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-15,8.5,2.1,4.8,1.7,1.7,15.0,7.07
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-16,13.4,1.4,6.6,0.0,0.0,12.2,14.84
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-17,15.4,1.4,8.0,0.0,0.0,11.4,14.8
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-18,16.6,1.7,9.1,0.0,0.0,9.4,15.22
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-19,14.5,3.5,8.7,0.0,0.0,10.5,14.35
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-20,13.5,0.1,7.5,0.0,0.0,8.0,16.81
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-21,8.6,0.4,4.6,0.3,0.3,11.8,8.85
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-22,8.0,1.7,4.4,0.0,0.0,22.1,12.05
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-23,11.0,-1.4,5.1,0.0,0.0,6.9,14.64
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-24,12.7,2.7,7.5,0.0,0.0,10.8,13.0
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-25,16.1,3.4,9.1,0.0,0.0,21.0,15.96
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-26,8.8,4.7,6.3,2.1,2.1,15.8,6.28
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-27,10.3,2.3,6.7,0.5,0.5,21.8,13.78
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-28,12.1,1.0,6.6,1.8,1.8,20.1,11.57
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-29,10.8,8.1,9.6,12.3,12.3,35.9,2.1
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-30,10.0,4.9,7.4,2.5,2.5,32.6,15.56
Frankfurt,Germany,50.1109,8.6821,daily,2015-03-31,11.6,4.1,8.8,6.4,6.4,39.5,12.07
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-01,8.5,2.8,5.3,1.1,1.1,30.1,15.5
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-02,8.0,1.0,4.9,6.7,6.7,26.0,12.3
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-03,10.6,-0.8,5.1,0.0,0.0,8.9,17.04
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-04,8.1,1.5,4.2,3.7,3.7,16.7,8.25
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-05,9.5,-0.8,4.4,0.0,0.0,13.6,17.8
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-06,9.6,-0.6,4.3,0.1,0.1,14.6,12.83
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-07,11.9,-0.9,5.6,0.0,0.0,8.7,20.89
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-08,14.6,2.5,8.3,0.0,0.0,9.5,16.82
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-09,16.8,2.1,10.7,0.0,0.0,9.1,19.93
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-10,19.8,7.0,13.1,0.0,0.0,10.7,21.34
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-11,16.6,6.8,11.7,2.2,2.2,23.3,16.56
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-12,16.9,5.8,11.5,0.0,0.0,14.5,16.93
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-13,13.4,7.3,10.3,0.0,0.0,14.3,14.87
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-14,19.6,3.3,12.0,0.0,0.0,15.8,19.63
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-15,22.7,5.7,14.9,0.0,0.0,13.1,22.51
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-16,20.9,6.8,14.8,0.0,0.0,14.0,20.75
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-17,14.1,6.9,10.4,0.5,0.5,17.6,19.07
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-18,12.3,3.9,8.2,0.0,0.0,15.9,19.82
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-19,15.0,0.9,8.8,0.0,0.0,12.3,23.6
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-20,17.3,2.8,10.9,0.0,0.0,14.1,23.27
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-21,20.2,3.9,12.7,0.0,0.0,9.4,23.93
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-22,14.8,4.5,9.6,0.0,0.0,16.2,22.83
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-23,15.8,3.2,10.3,0.0,0.0,8.4,22.37
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-24,19.4,4.9,12.8,0.0,0.0,9.8,24.36
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-25,17.0,7.5,12.3,2.0,2.0,18.6,10.59
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-26,19.8,8.9,14.4,0.5,0.5,14.8,19.8
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-27,14.5,7.2,10.9,10.6,10.6,22.7,9.51
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-28,12.8,5.3,8.8,1.8,1.8,16.5,16.28
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-29,14.4,3.5,9.8,0.0,0.0,9.7,16.86
Frankfurt,Germany,50.1109,8.6821,daily,2015-04-30,15.3,6.4,10.2,3.3,3.3,21.0,19.81
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-01,10.6,6.7,8.8,1.9,1.9,7.2,7.04
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-02,14.7,6.5,10.8,0.0,0.0,6.7,14.08
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-03,14.6,8.9,12.3,6.9,6.9,14.6,1.98
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-04,21.1,13.1,17.1,0.7,0.7,17.8,19.09
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-05,23.7,13.7,18.3,0.6,0.6,27.8,15.93
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-06,17.5,10.8,14.2,0.2,0.2,25.5,22.4
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-07,16.3,9.1,13.0,0.1,0.1,19.1,19.1
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-08,20.7,7.7,15.0,0.2,0.2,7.8,23.98
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-09,19.8,12.7,15.9,0.5,0.5,22.8,20.46
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-10,19.2,10.7,14.7,0.0,0.0,14.6,18.56
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-11,23.4,8.6,16.6,0.0,0.0,10.9,20.23
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-12,26.9,12.1,18.4,2.6,2.6,20.9,20.29
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-13,20.1,8.4,15.0,0.6,0.6,8.1,25.89
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-14,18.0,9.6,14.3,0.8,0.8,10.3,22.78
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-15,19.8,11.3,15.4,0.0,0.0,16.5,22.95
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-16,17.6,7.3,13.4,0.0,0.0,16.3,18.78
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-17,17.0,9.0,13.9,0.0,0.0,9.5,17.6
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-18,21.2,8.9,15.8,0.0,0.0,17.8,25.78
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-19,17.2,9.1,13.9,0.2,0.2,23.0,22.31
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-20,15.3,7.0,11.0,1.2,1.2,14.1,20.93
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-21,15.7,4.4,11.5,0.0,0.0,12.8,21.88
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-22,18.4,7.4,14.2,0.0,0.0,8.9,19.63
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-23,20.1,10.4,16.0,0.0,0.0,12.4,16.4
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-24,18.6,11.7,15.2,0.0,0.0,10.8,11.75
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-25,19.0,10.9,14.9,1.3,1.3,14.3,16.8
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-26,15.7,8.0,12.2,0.6,0.6,17.9,17.61
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-27,15.3,6.5,11.3,0.0,0.0,8.8,17.64
Frankfurt,Germany,50.1109,8.6821,daily,2015-05-28,19.8,7.5,14.5,0.1,0.1,21.1,16.24
