city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Madrid,Spain,40.4168,-3.7038,daily,2015-01-01,9.0,-3.0,2.3,0.0,0.0,6.6,9.59
Madrid,Spain,40.4168,-3.7038,daily,2015-01-02,9.7,-3.5,2.2,0.0,0.0,4.6,9.13
Madrid,Spain,40.4168,-3.7038,daily,2015-01-03,9.6,-1.7,3.2,0.0,0.0,8.0,9.25
Madrid,Spain,40.4168,-3.7038,daily,2015-01-04,12.1,-1.9,4.0,0.0,0.0,5.4,9.34
Madrid,Spain,40.4168,-3.7038,daily,2015-01-05,10.4,0.2,4.6,0.0,0.0,8.4,9.32
Madrid,Spain,40.4168,-3.7038,daily,2015-01-06,8.7,-2.0,3.0,0.0,0.0,9.0,9.5
Madrid,Spain,40.4168,-3.7038,daily,2015-01-07,8.3,-2.7,1.7,0.0,0.0,5.8,9.77
Madrid,Spain,40.4168,-3.7038,daily,2015-01-08,9.7,-2.3,2.2,0.0,0.0,9.4,9.93
Madrid,Spain,40.4168,-3.7038,daily,2015-01-09,11.7,-1.5,3.8,0.0,0.0,6.2,9.86
Madrid,Spain,40.4168,-3.7038,daily,2015-01-10,10.9,-1.7,4.1,0.0,0.0,10.5,10.07
Madrid,Spain,40.4168,-3.7038,daily,2015-01-11,12.0,-2.1,3.7,0.0,0.0,9.8,8.88
Madrid,Spain,40.4168,-3.7038,daily,2015-01-12,11.0,-1.7,4.0,0.0,0.0,8.3,9.86
Madrid,Spain,40.4168,-3.7038,daily,2015-01-13,10.9,1.2,5.1,0.0,0.0,10.1,9.79
Madrid,Spain,40.4168,-3.7038,daily,2015-01-14,8.4,0.8,5.0,0.0,0.0,7.4,6.32
Madrid,Spain,40.4168,-3.7038,daily,2015-01-15,9.3,2.7,5.8,2.9,2.9,20.7,4.58
Madrid,Spain,40.4168,-3.7038,daily,2015-01-16,7.5,-0.2,4.6,3.3,3.3,19.9,8.55
Madrid,Spain,40.4168,-3.7038,daily,2015-01-17,6.5,-1.0,1.9,0.0,0.0,11.7,10.3
Madrid,Spain,40.4168,-3.7038,daily,2015-01-18,3.2,-0.5,1.3,7.2,3.7,7.2,2.6
Madrid,Spain,40.4168,-3.7038,daily,2015-01-19,5.8,0.1,2.4,2.0,1.4,23.5,9.59
Madrid,Spain,40.4168,-3.7038,daily,2015-01-20,5.1,-1.1,1.4,0.0,0.0,7.3,7.1
Madrid,Spain,40.4168,-3.7038,daily,2015-01-21,5.4,-1.8,1.3,1.0,1.0,13.7,7.52
Madrid,Spain,40.4168,-3.7038,daily,2015-01-22,7.5,-1.1,2.6,0.0,0.0,19.8,8.71
Madrid,Spain,40.4168,-3.7038,daily,2015-01-23,6.9,-0.0,2.5,0.0,0.0,14.3,10.67
Madrid,Spain,40.4168,-3.7038,daily,2015-01-24,9.4,-2.6,2.3,0.0,0.0,11.7,11.34
Madrid,Spain,40.4168,-3.7038,daily,2015-01-25,10.4,0.7,4.9,0.0,0.0,16.7,11.21
Madrid,Spain,40.4168,-3.7038,daily,2015-01-26,10.8,-1.6,3.7,0.0,0.0,8.0,11.15
Madrid,Spain,40.4168,-3.7038,daily,2015-01-27,11.1,-1.9,4.2,0.0,0.0,13.9,9.73
Madrid,Spain,40.4168,-3.7038,daily,2015-01-28,11.7,-1.0,5.0,0.0,0.0,8.4,11.64
Madrid,Spain,40.4168,-3.7038,daily,2015-01-29,11.1,0.3,6.2,0.0,0.0,19.2,8.0
Madrid,Spain,40.4168,-3.7038,daily,2015-01-30,13.6,8.8,10.5,4.3,4.3,29.4,5.45
Madrid,Spain,40.4168,-3.7038,daily,2015-01-31,10.0,1.7,6.2,7.6,7.6,27.2,10.59
Madrid,Spain,40.4168,-3.7038,daily,2015-02-01,7.2,0.8,3.2,0.0,0.0,22.0,10.89
Madrid,Spain,40.4168,-3.7038,daily,2015-02-02,4.1,0.5,2.6,5.2,5.0,22.5,4.86
Madrid,Spain,40.4168,-3.7038,daily,2015-02-03,7.7,1.2,4.2,1.7,1.7,22.1,8.54
Madrid,Spain,40.4168,-3.7038,daily,2015-02-04,3.8,-1.1,1.0,0.5,0.5,24.6,10.93
Madrid,Spain,40.4168,-3.7038,daily,2015-02-05,4.5,-1.7,1.1,0.0,0.0,27.0,11.07
