city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Milan,Italy,45.4642,9.19,daily,2015-01-01,4.5,-4.0,-0.6,0.0,0.0,7.7,6.34
Milan,Italy,45.4642,9.19,daily,2015-01-02,8.3,-3.4,1.2,0.0,0.0,8.5,6.32
Milan,Italy,45.4642,9.19,daily,2015-01-03,9.6,0.0,3.8,0.0,0.0,9.3,5.74
Milan,Italy,45.4642,9.19,daily,2015-01-04,13.4,1.7,7.0,0.0,0.0,18.9,6.24
Milan,Italy,45.4642,9.19,daily,2015-01-05,9.1,-1.2,3.0,0.0,0.0,12.4,6.73
Milan,Italy,45.4642,9.19,daily,2015-01-06,8.4,-0.6,2.6,0.0,0.0,7.6,6.62
Milan,Italy,45.4642,9.19,daily,2015-01-07,6.7,-1.9,1.8,0.0,0.0,8.5,5.61
Milan,Italy,45.4642,9.19,daily,2015-01-08,6.6,-1.1,2.5,0.0,0.0,7.4,4.96
Milan,Italy,45.4642,9.19,daily,2015-01-09,9.1,-1.2,3.1,0.0,0.0,13.4,5.24
Milan,Italy,45.4642,9.19,daily,2015-01-10,13.9,3.6,7.6,0.0,0.0,14.0,6.21
Milan,Italy,45.4642,9.19,daily,2015-01-11,13.1,1.7,6.9,0.0,0.0,23.5,6.85
Milan,Italy,45.4642,9.19,daily,2015-01-12,11.1,-1.3,4.2,0.0,0.0,8.9,7.14
Milan,Italy,45.4642,9.19,daily,2015-01-13,9.4,-0.9,4.4,0.0,0.0,6.4,3.2
Milan,Italy,45.4642,9.19,daily,2015-01-14,8.9,0.3,5.4,0.0,0.0,7.2,2.95
Milan,Italy,45.4642,9.19,daily,2015-01-15,7.4,0.2,4.4,1.4,1.4,7.0,2.34
Milan,Italy,45.4642,9.19,daily,2015-01-16,8.3,5.7,7.0,23.2,23.2,21.9,1.29
Milan,Italy,45.4642,9.19,daily,2015-01-17,9.3,2.1,7.0,23.0,23.0,11.2,3.45
Milan,Italy,45.4642,9.19,daily,2015-01-18,7.7,-1.8,3.5,0.2,0.2,6.3,5.82
Milan,Italy,45.4642,9.19,daily,2015-01-19,6.6,-0.8,2.9,0.0,0.0,6.5,4.99
Milan,Italy,45.4642,9.19,daily,2015-01-20,6.0,0.7,3.2,0.7,0.7,7.9,2.51
Milan,Italy,45.4642,9.19,daily,2015-01-21,4.1,-1.4,2.0,15.1,14.6,9.3,1.05
Milan,Italy,45.4642,9.19,daily,2015-01-22,6.0,0.1,3.9,12.5,12.5,7.2,1.72
Milan,Italy,45.4642,9.19,daily,2015-01-23,10.7,-2.0,2.8,0.0,0.0,10.1,7.73
Milan,Italy,45.4642,9.19,daily,2015-01-24,10.1,-1.7,3.5,0.0,0.0,15.6,8.4
Milan,Italy,45.4642,9.19,daily,2015-01-25,8.7,1.5,4.5,0.0,0.0,15.7,7.8
Milan,Italy,45.4642,9.19,daily,2015-01-26,7.5,-2.6,2.5,0.0,0.0,13.1,8.51
Milan,Italy,45.4642,9.19,daily,2015-01-27,8.9,-2.4,2.2,0.0,0.0,7.0,7.31
Milan,Italy,45.4642,9.19,daily,2015-01-28,7.9,-3.1,1.8,0.0,0.0,7.6,8.38
Milan,Italy,45.4642,9.19,daily,2015-01-29,5.1,-2.4,1.4,0.5,0.2,11.5,4.04
Milan,Italy,45.4642,9.19,daily,2015-01-30,7.6,0.2,2.5,3.9,1.0,19.9,8.19
Milan,Italy,45.4642,9.19,daily,2015-01-31,6.5,-3.7,1.2,0.3,0.3,9.6,8.97
Milan,Italy,45.4642,9.19,daily,2015-02-01,7.8,-3.5,1.3,0.0,0.0,11.7,9.66
Milan,Italy,45.4642,9.19,daily,2015-02-02,7.8,-3.3,1.2,0.0,0.0,10.4,9.71
Milan,Italy,45.4642,9.19,daily,2015-02-03,4.3,-3.7,0.3,1.4,0.9,8.9,4.77
Milan,Italy,45.4642,9.19,daily,2015-02-04,5.2,-0.3,2.4,1.1,1.1,10.4,4.44
Milan,Italy,45.4642,9.19,daily,2015-02-05,2.1,-0.1,0.9,34.1,7.6,9.1,1.22
Milan,Italy,45.4642,9.19,daily,2015-02-06,2.0,-0.6,0.5,20.1,9.5,9.1,3.96
Milan,Italy,45.4642,9.19,daily,2015-02-07,5.5,-1.1,2.3,1.5,1.3,7.9,5.78
Milan,Italy,45.4642,9.19,daily,2015-02-08,8.0,-3.3,1.5,0.0,0.0,20.9,10.05
Milan,Italy,45.4642,9.19,daily,2015-02-09,6.6,-1.1,1.9,0.0,0.0,8.0,10.97
Milan,Italy,45.4642,9.19,daily,2015-02-10,11.7,-1.5,4.9,0.0,0.0,7.3,10.88
Milan,Italy,45.4642,9.19,daily,2015-02-11,10.9,-1.9,4.3,0.0,0.0,6.6,10.95
Milan,Italy,45.4642,9.19,daily,2015-02-12,8.6,-2.3,2.5,0.0,0.0,8.9,9.86
Milan,Italy,45.4642,9.19,daily,2015-02-13,6.8,1.8,4.1,1.0,1.0,6.6,4.67
Milan,Italy,45.4642,9.19,daily,2015-02-14,4.7,2.4,4.0,17.2,17.1,11.2,1.55
Milan,Italy,45.4642,9.19,daily,2015-02-15,5.6,3.2,4.7,19.8,19.8,10.2,1.02
Milan,Italy,45.4642,9.19,daily,2015-02-16,11.4,3.4,7.0,0.4,0.4,10.8,6.17
Milan,Italy,45.4642,9.19,daily,2015-02-17,12.4,2.4,6.7,0.0,0.0,10.8,11.62
Milan,Italy,45.4642,9.19,daily,2015-02-18,9.2,2.5,5.2,0.0,0.0,8.7,9.8
Milan,Italy,45.4642,9.19,daily,2015-02-19,10.1,-2.5,3.9,0.0,0.0,6.1,11.96
Milan,Italy,45.4642,9.19,daily,2015-02-20,9.3,-2.5,3.6,0.0,0.0,8.5,11.03
Milan,Italy,45.4642,9.19,daily,2015-02-21,6.2,3.0,4.6,13.9,13.6,19.4,4.16
Milan,Italy,45.4642,9.19,daily,2015-02-22,9.7,-0.4,5.0,13.0,12.6,16.4,7.43
Milan,Italy,45.4642,9.19,daily,2015-02-23,11.1,-2.7,4.3,0.0,0.0,6.9,10.29
Milan,Italy,45.4642,9.19,daily,2015-02-24,8.5,1.9,5.5,1.3,1.3,17.4,3.3
Milan,Italy,45.4642,9.19,daily,2015-02-25,11.7,1.2,7.2,0.0,0.0,16.2,10.84
Milan,Italy,45.4642,9.19,daily,2015-02-26,11.1,-1.9,4.9,0.0,0.0,10.4,12.69
Milan,Italy,45.4642,9.19,daily,2015-02-27,10.0,-0.1,5.1,0.0,0.0,8.7,7.81
Milan,Italy,45.4642,9.19,daily,2015-02-28,10.5,0.9,5.5,0.0,0.0,6.1,7.21
Milan,Italy,45.4642,9.19,daily,2015-03-01,11.5,1.8,6.4,0.0,0.0,7.9,10.66
Milan,Italy,45.4642,9.19,daily,2015-03-02,12.3,3.7,7.7,0.0,0.0,8.0,8.01
Milan,Italy,45.4642,9.19,daily,2015-03-03,13.5,1.6,7.6,0.0,0.0,14.5,13.99
Milan,Italy,45.4642,9.19,daily,2015-03-04,11.5,3.5,7.5,1.9,1.9,17.0,8.35
Milan,Italy,45.4642,9.19,daily,2015-03-05,11.4,3.1,7.0,0.0,0.0,28.2,15.73
Milan,Italy,45.4642,9.19,daily,2015-03-06,11.7,-1.1,5.7,0.0,0.0,11.2,15.9
Milan,Italy,45.4642,9.19,daily,2015-03-07,10.2,-0.2,4.8,0.0,0.0,12.2,15.24
Milan,Italy,45.4642,9.19,daily,2015-03-08,11.7,-0.6,5.4,0.0,0.0,9.4,15.93
Milan,Italy,45.4642,9.19,daily,2015-03-09,10.9,-0.7,5.0,0.0,0.0,7.9,14.24
Milan,Italy,45.4642,9.19,daily,2015-03-10,14.3,-1.3,6.9,0.0,0.0,7.9,16.34
Milan,Italy,45.4642,9.19,daily,2015-03-11,17.2,1.9,9.2,0.0,0.0,13.2,16.78
Milan,Italy,45.4642,9.19,daily,2015-03-12,13.5,2.9,8.3,0.0,0.0,9.2,17.06
Milan,Italy,45.4642,9.19,daily,2015-03-13,14.0,0.0,7.7,0.0,0.0,9.8,16.47
Milan,Italy,45.4642,9.19,daily,2015-03-14,12.1,4.8,8.2,0.0,0.0,10.9,13.08
Milan,Italy,45.4642,9.19,daily,2015-03-15,10.7,5.9,7.9,2.9,2.9,16.6,7.25
Milan,Italy,45.4642,9.19,daily,2015-03-16,8.7,5.7,7.1,16.9,16.9,11.2,3.07
Milan,Italy,45.4642,9.19,daily,2015-03-17,12.6,6.4,8.8,10.3,10.3,8.0,5.46
Milan,Italy,45.4642,9.19,daily,2015-03-18,15.5,3.2,9.3,0.0,0.0,8.4,15.95
Milan,Italy,45.4642,9.19,daily,2015-03-19,15.7,3.8,9.8,0.0,0.0,7.9,16.97
Milan,Italy,45.4642,9.19,daily,2015-03-20,14.2,6.3,10.3,0.0,0.0,8.3,12.66
Milan,Italy,45.4642,9.19,daily,2015-03-21,12.2,7.3,9.5,1.7,1.7,9.4,9.14
Milan,Italy,45.4642,9.19,daily,2015-03-22,11.1,3.9,8.2,5.8,5.8,14.8,5.81
Milan,Italy,45.4642,9.19,daily,2015-03-23,14.5,2.2,8.7,0.0,0.0,7.9,14.28
Milan,Italy,45.4642,9.19,daily,2015-03-24,13.7,5.7,9.7,2.9,2.9,12.0,11.47
Milan,Italy,45.4642,9.19,daily,2015-03-25,12.6,7.7,9.7,14.1,14.1,11.4,5.05
Milan,Italy,45.4642,9.19,daily,2015-03-26,13.3,7.4,10.3,1.4,1.4,6.8,8.01
Milan,Italy,45.4642,9.19,daily,2015-03-27,17.4,4.8,11.2,0.0,0.0,22.3,20.72
Milan,Italy,45.4642,9.19,daily,2015-03-28,16.5,3.7,11.2,0.0,0.0,12.4,20.65
Milan,Italy,45.4642,9.19,daily,2015-03-29,17.2,6.4,12.0,0.0,0.0,9.2,18.01
Milan,Italy,45.4642,9.19,daily,2015-03-30,19.5,6.0,12.8,0.0,0.0,16.0,18.42
Milan,Italy,45.4642,9.19,daily,2015-03-31,20.8,6.5,14.1,0.0,0.0,22.0,19.56
Milan,Italy,45.4642,9.19,daily,2015-04-01,15.0,7.3,11.9,0.0,0.0,28.5,22.14
Milan,Italy,45.4642,9.19,daily,2015-04-02,16.2,4.3,10.8,0.0,0.0,14.4,20.44
Milan,Italy,45.4642,9.19,daily,2015-04-03,13.7,6.0,10.5,0.0,0.0,18.7,18.17
Milan,Italy,45.4642,9.19,daily,2015-04-04,10.7,6.8,8.5,2.3,2.3,12.8,12.52
Milan,Italy,45.4642,9.19,daily,2015-04-05,10.0,5.1,7.5,8.7,8.7,10.1,11.17
Milan,Italy,45.4642,9.19,daily,2015-04-06,13.8,0.8,7.9,0.0,0.0,15.8,21.91
Milan,Italy,45.4642,9.19,daily,2015-04-07,13.8,4.2,9.0,0.0,0.0,13.0,23.45
Milan,Italy,45.4642,9.19,daily,2015-04-08,17.4,2.4,10.7,0.0,0.0,11.4,23.11
Milan,Italy,45.4642,9.19,daily,2015-04-09,18.1,5.2,11.8,0.0,0.0,10.0,22.89
