city,country,latitude,longitude,data_type,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,shortwave_radiation_sum
Munich,Germany,48.1351,11.582,daily,2015-01-01,1.4,-8.1,-2.9,0.0,0.0,10.0,3.52
Munich,Germany,48.1351,11.582,daily,2015-01-02,6.8,-7.8,-0.2,4.5,4.5,25.0,2.87
Munich,Germany,48.1351,11.582,daily,2015-01-03,7.3,-0.5,2.3,19.1,16.5,37.7,1.89
Munich,Germany,48.1351,11.582,daily,2015-01-04,4.5,-0.7,0.1,4.0,2.4,21.0,3.34
Munich,Germany,48.1351,11.582,daily,2015-01-05,2.4,-2.8,-0.5,0.0,0.0,16.4,4.94
Munich,Germany,48.1351,11.582,daily,2015-01-06,5.4,-1.8,0.4,0.0,0.0,7.4,5.46
Munich,Germany,48.1351,11.582,daily,2015-01-07,2.2,-4.6,-0.5,1.2,1.2,13.3,1.04
Munich,Germany,48.1351,11.582,daily,2015-01-08,6.5,-0.7,3.4,2.8,2.8,34.6,2.12
Munich,Germany,48.1351,11.582,daily,2015-01-09,8.2,5.1,6.7,8.4,8.4,37.6,1.73
Munich,Germany,48.1351,11.582,daily,2015-01-10,12.9,7.8,10.8,3.2,3.2,41.3,3.84
Munich,Germany,48.1351,11.582,daily,2015-01-11,8.6,0.8,3.2,15.3,14.5,31.5,3.32
Munich,Germany,48.1351,11.582,daily,2015-01-12,6.7,1.2,4.0,0.1,0.0,29.5,3.96
Munich,Germany,48.1351,11.582,daily,2015-01-13,10.3,-2.3,2.6,0.0,0.0,12.3,6.08
Munich,Germany,48.1351,11.582,daily,2015-01-14,4.6,-0.3,2.5,5.0,5.0,25.4,1.7
Munich,Germany,48.1351,11.582,daily,2015-01-15,7.7,-1.2,2.1,0.0,0.0,10.4,3.73
Munich,Germany,48.1351,11.582,daily,2015-01-16,9.0,-1.8,2.7,0.0,0.0,14.2,5.01
Munich,Germany,48.1351,11.582,daily,2015-01-17,2.6,0.2,1.1,12.3,7.1,14.9,0.98
Munich,Germany,48.1351,11.582,daily,2015-01-18,3.0,-2.2,0.3,0.1,0.0,8.0,2.97
Munich,Germany,48.1351,11.582,daily,2015-01-19,2.2,-2.7,-0.9,0.0,0.0,6.6,5.81
Munich,Germany,48.1351,11.582,daily,2015-01-20,2.6,-2.4,-0.0,0.0,0.0,6.4,4.62
Munich,Germany,48.1351,11.582,daily,2015-01-21,3.2,-4.3,-1.0,0.0,0.0,14.6,5.66
Munich,Germany,48.1351,11.582,daily,2015-01-22,2.7,-2.5,-0.1,0.0,0.0,9.0,4.55
Munich,Germany,48.1351,11.582,daily,2015-01-23,0.7,-0.7,-0.1,1.7,0.0,11.2,1.3
Munich,Germany,48.1351,11.582,daily,2015-01-24,0.8,-1.3,-0.5,0.0,0.0,11.6,2.94
Munich,Germany,48.1351,11.582,daily,2015-01-25,0.1,-4.4,-1.6,3.2,0.0,15.9,3.95
Munich,Germany,48.1351,11.582,daily,2015-01-26,1.3,-2.8,-1.2,4.5,0.0,16.7,6.65
Munich,Germany,48.1351,11.582,daily,2015-01-27,0.8,-1.9,-0.1,10.0,0.9,21.2,5.02
Munich,Germany,48.1351,11.582,daily,2015-01-28,1.8,-3.6,-1.1,0.3,0.0,18.4,5.92
Munich,Germany,48.1351,11.582,daily,2015-01-29,3.1,-0.5,0.8,3.3,1.4,20.6,6.75
Munich,Germany,48.1351,11.582,daily,2015-01-30,0.3,-4.8,-1.7,2.4,0.0,27.0,4.65
Munich,Germany,48.1351,11.582,daily,2015-01-31,2.0,-6.0,-2.0,0.8,0.0,21.7,6.69
Munich,Germany,48.1351,11.582,daily,2015-02-01,0.7,-8.7,-3.6,2.2,0.4,16.8,6.9
Munich,Germany,48.1351,11.582,daily,2015-02-02,0.6,-4.6,-1.6,4.2,0.2,21.7,5.56
Munich,Germany,48.1351,11.582,daily,2015-02-03,-0.3,-10.0,-5.5,0.0,0.0,11.3,7.8
Munich,Germany,48.1351,11.582,daily,2015-02-04,-0.5,-7.6,-4.6,0.0,0.0,10.7,7.26
Munich,Germany,48.1351,11.582,daily,2015-02-05,-1.4,-8.3,-3.9,0.2,0.0,24.5,3.84
Munich,Germany,48.1351,11.582,daily,2015-02-06,-1.4,-5.3,-3.4,0.0,0.0,27.7,5.52
Munich,Germany,48.1351,11.582,daily,2015-02-07,-0.6,-11.4,-5.6,0.0,0.0,18.1,8.92
Munich,Germany,48.1351,11.582,daily,2015-02-08,-0.3,-11.1,-4.1,2.0,0.0,23.7,7.15
Munich,Germany,48.1351,11.582,daily,2015-02-09,-0.4,-7.7,-2.8,0.7,0.0,25.0,2.66
Munich,Germany,48.1351,11.582,daily,2015-02-10,2.7,-3.0,-0.1,0.0,0.0,14.8,5.23
Munich,Germany,48.1351,11.582,daily,2015-02-11,5.2,-5.3,-1.1,0.0,0.0,9.4,8.9
Munich,Germany,48.1351,11.582,daily,2015-02-12,6.7,-5.6,-0.7,0.0,0.0,6.8,8.93
Munich,Germany,48.1351,11.582,daily,2015-02-13,6.7,-5.9,-1.2,0.0,0.0,7.3,9.49
Munich,Germany,48.1351,11.582,daily,2015-02-14,5.5,-3.9,-0.4,0.0,0.0,11.2,9.81
Munich,Germany,48.1351,11.582,daily,2015-02-15,5.8,-3.9,-0.3,0.0,0.0,10.8,10.18
Munich,Germany,48.1351,11.582,daily,2015-02-16,4.4,-3.7,-0.2,0.0,0.0,9.5,9.88
Munich,Germany,48.1351,11.582,daily,2015-02-17,3.6,-4.3,-1.1,0.0,0.0,7.4,9.08
Munich,Germany,48.1351,11.582,daily,2015-02-18,3.1,-3.0,-0.7,0.0,0.0,8.6,8.0
Munich,Germany,48.1351,11.582,daily,2015-02-19,6.5,-5.1,-0.5,0.0,0.0,7.6,10.0
Munich,Germany,48.1351,11.582,daily,2015-02-20,10.4,-4.3,1.8,0.0,0.0,9.4,11.5
Munich,Germany,48.1351,11.582,daily,2015-02-21,9.9,-4.7,2.0,0.1,0.1,13.5,9.25
Munich,Germany,48.1351,11.582,daily,2015-02-22,3.0,-1.7,0.6,3.5,0.5,11.3,4.51
Munich,Germany,48.1351,11.582,daily,2015-02-23,8.0,-5.4,1.2,2.8,2.8,15.9,8.75
Munich,Germany,48.1351,11.582,daily,2015-02-24,4.5,-1.1,1.5,1.0,0.9,14.9,6.54
Munich,Germany,48.1351,11.582,daily,2015-02-25,5.0,-2.2,1.0,0.1,0.0,9.1,7.93
Munich,Germany,48.1351,11.582,daily,2015-02-26,5.9,-2.7,0.6,0.0,0.0,9.2,10.35
Munich,Germany,48.1351,11.582,daily,2015-02-27,7.8,-3.4,1.6,3.6,1.3,13.0,11.52
Munich,Germany,48.1351,11.582,daily,2015-02-28,4.3,-3.2,1.0,1.9,0.2,11.9,5.93
Munich,Germany,48.1351,11.582,daily,2015-03-01,5.6,-3.5,1.9,2.7,2.6,19.4,2.7
